BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) PAK TUA FAUZI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) CIKGU KADIR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' DR. FADZLI HASSAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,235,3,72,120,195,22,18
2,029/34/00,UNDI AWAL,BILIK B DEWAN IXORA IBU PEJABAT POLIS DAERAH MACHANG,1,2,0,1,1,2,0,0
3,029/34/01,SIMPUL BERLUBANG,SEKOLAH KEBANGSAAN PANGKAL MAK WAN,1,350,3,96,248,347,3,0
3,029/34/01,SIMPUL BERLUBANG,SEKOLAH KEBANGSAAN PANGKAL MAK WAN,2,453,4,108,339,451,2,0
3,029/34/01,SIMPUL BERLUBANG,SEKOLAH KEBANGSAAN PANGKAL MAK WAN,3,430,2,109,318,429,1,0
4,029/34/02,KELAWEH,SEKOLAH KEBANGSAAN KELAWEH,1,321,4,88,224,316,5,0
4,029/34/02,KELAWEH,SEKOLAH KEBANGSAAN KELAWEH,2,321,4,86,231,321,0,0
4,029/34/02,KELAWEH,SEKOLAH KEBANGSAAN KELAWEH,3,344,2,82,260,344,0,0
4,029/34/02,KELAWEH,SEKOLAH KEBANGSAAN KELAWEH,4,320,2,69,247,318,2,0
4,029/34/02,KELAWEH,SEKOLAH KEBANGSAAN KELAWEH,5,386,4,111,269,384,2,0
5,029/34/03,PAK ROMAN,SEKOLAH KEBANGSAAN PAK ROMAN,1,268,1,71,196,268,0,0
5,029/34/03,PAK ROMAN,SEKOLAH KEBANGSAAN PAK ROMAN,2,271,4,48,214,266,5,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,1,319,6,87,223,316,3,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,2,316,3,73,236,312,4,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,3,352,6,58,286,350,2,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,4,289,4,43,241,288,1,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,5,298,9,56,232,297,1,0
6,029/34/04,PANGKAL MELERET,SEKOLAH KEBANGSAAN PANGKAL MELERET,6,420,4,73,342,419,1,0
7,029/34/05,PALOH RAWA,SEKOLAH KEBANGSAAN PALOH RAWA,1,341,3,92,245,340,1,0
7,029/34/05,PALOH RAWA,SEKOLAH KEBANGSAAN PALOH RAWA,2,338,3,73,260,336,2,0
7,029/34/05,PALOH RAWA,SEKOLAH KEBANGSAAN PALOH RAWA,3,348,0,65,281,346,2,0
7,029/34/05,PALOH RAWA,SEKOLAH KEBANGSAAN PALOH RAWA,4,336,2,48,285,335,1,0
7,029/34/05,PALOH RAWA,SEKOLAH KEBANGSAAN PALOH RAWA,5,410,5,84,314,403,7,0
8,029/34/06,BATU 30,SEKOLAH KEBANGSAAN PANGKAL JENEREH,1,315,4,58,248,310,5,0
8,029/34/06,BATU 30,SEKOLAH KEBANGSAAN PANGKAL JENEREH,2,315,3,72,238,313,2,0
8,029/34/06,BATU 30,SEKOLAH KEBANGSAAN PANGKAL JENEREH,3,336,5,49,280,334,2,0
8,029/34/06,BATU 30,SEKOLAH KEBANGSAAN PANGKAL JENEREH,4,300,6,58,235,299,1,0
8,029/34/06,BATU 30,SEKOLAH KEBANGSAAN PANGKAL JENEREH,5,371,5,76,290,371,0,0
9,029/34/07,KAMPUNG RAJA,SEKOLAH KEBANGSAAN KAMPONG PEK,1,322,4,88,229,321,1,0
9,029/34/07,KAMPUNG RAJA,SEKOLAH KEBANGSAAN KAMPONG PEK,2,311,2,72,234,308,3,0
9,029/34/07,KAMPUNG RAJA,SEKOLAH KEBANGSAAN KAMPONG PEK,3,234,4,48,181,233,1,0
9,029/34/07,KAMPUNG RAJA,SEKOLAH KEBANGSAAN KAMPONG PEK,4,287,2,55,229,286,1,0
10,029/34/08,KAMPUNG PAUH,SEKOLAH KEBANGSAAN TEMANGAN,1,279,5,119,150,274,5,0
10,029/34/08,KAMPUNG PAUH,SEKOLAH KEBANGSAAN TEMANGAN,2,370,5,151,214,370,0,0
11,029/34/09,BANDAR TEMANGAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,1,286,6,147,132,285,1,0
11,029/34/09,BANDAR TEMANGAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,2,276,5,99,171,275,1,0
11,029/34/09,BANDAR TEMANGAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,3,261,1,80,179,260,1,0
11,029/34/09,BANDAR TEMANGAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,4,264,2,66,196,264,0,0
11,029/34/09,BANDAR TEMANGAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,5,273,3,59,210,272,0,1
12,029/34/10,KAMPUNG KERILLA,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,1,322,7,103,206,316,6,0
12,029/34/10,KAMPUNG KERILLA,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,2,281,1,100,177,278,3,0
12,029/34/10,KAMPUNG KERILLA,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,3,372,0,103,266,369,1,2
12,029/34/10,KAMPUNG KERILLA,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,4,366,2,81,278,361,5,0
12,029/34/10,KAMPUNG KERILLA,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,5,387,1,104,280,385,2,0
13,029/34/11,PANGKAL CHUIT,SMU (A) AL-HASANIAH PANGKAL JENERIH,1,295,10,105,175,290,5,0
13,029/34/11,PANGKAL CHUIT,SMU (A) AL-HASANIAH PANGKAL JENERIH,2,334,12,118,203,333,1,0
13,029/34/11,PANGKAL CHUIT,SMU (A) AL-HASANIAH PANGKAL JENERIH,3,421,15,94,310,419,2,0
13,029/34/11,PANGKAL CHUIT,SMU (A) AL-HASANIAH PANGKAL JENERIH,4,335,8,79,248,335,0,0
13,029/34/11,PANGKAL CHUIT,SMU (A) AL-HASANIAH PANGKAL JENERIH,5,383,16,90,275,381,2,0
JUMLAH,,,,49,15764,212,3967,11446,15625,118,21
