BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ALMIDI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO ADHAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,747,346,324,670,61,16
2,030/36/00,UNDI AWAL,RUMAH PERKEP BALAI POLIS NIBONG,1,49,19,30,49,0,0
2,030/36/00,UNDI AWAL,DEWAN BESAR REJIMEN SEMPADAN BATALION PERTAMA KEM BATU 11 TANAH MERAH,1,0,0,0,0,0,0
2,030/36/00,UNDI AWAL,DEWAN BESAR REJIMEN SEMPADAN BATALION PERTAMA KEM BATU 11 TANAH MERAH,2,279,184,95,279,0,0
3,030/36/01,BUKIT BUNGA,SEKOLAH MENENGAH KEBANGSAAN BUKIT BUNGA,1,182,114,68,182,0,0
3,030/36/01,BUKIT BUNGA,SEKOLAH MENENGAH KEBANGSAAN BUKIT BUNGA,2,258,163,93,256,2,0
3,030/36/01,BUKIT BUNGA,SEKOLAH MENENGAH KEBANGSAAN BUKIT BUNGA,3,313,230,79,309,4,0
3,030/36/01,BUKIT BUNGA,SEKOLAH MENENGAH KEBANGSAAN BUKIT BUNGA,4,313,227,85,312,1,0
3,030/36/01,BUKIT BUNGA,SEKOLAH MENENGAH KEBANGSAAN BUKIT BUNGA,5,363,275,86,361,2,0
4,030/36/02,JAKAR,SEKOLAH KEBANGSAAN NIK DAUD,1,289,179,108,287,2,0
4,030/36/02,JAKAR,SEKOLAH KEBANGSAAN NIK DAUD,2,323,230,91,321,1,1
4,030/36/02,JAKAR,SEKOLAH KEBANGSAAN NIK DAUD,3,328,218,109,327,1,0
5,030/36/03,NIBONG,SEKOLAH KEBANGSAAN NIK DAUD,4,198,110,87,197,1,0
5,030/36/03,NIBONG,SEKOLAH KEBANGSAAN NIK DAUD,5,228,156,71,227,1,0
5,030/36/03,NIBONG,SEKOLAH KEBANGSAAN NIK DAUD,6,249,171,77,248,1,0
6,030/36/04,JEDOK TUA,SMU (ARAB) DARUL ULUM,1,235,120,113,233,2,0
6,030/36/04,JEDOK TUA,SMU (ARAB) DARUL ULUM,2,314,218,96,314,0,0
6,030/36/04,JEDOK TUA,SMU (ARAB) DARUL ULUM,3,307,202,104,306,1,0
