BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATUK KAMARUDIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) NH NASRUL HADI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,299,170,83,253,27,19
2,030/37/00,UNDI AWAL,DEWAN PERKEP IBU PEJABAT POLIS DAERAH JELI,1,163,28,135,163,0,0
3,030/37/01,KALAI,SEKOLAH KEBANGSAAN KALAI,1,371,207,161,368,3,0
3,030/37/01,KALAI,SEKOLAH KEBANGSAAN KALAI,2,364,266,95,361,3,0
3,030/37/01,KALAI,SEKOLAH KEBANGSAAN KALAI,3,343,230,110,340,3,0
4,030/37/02,GUNONG,SEKOLAH KEBANGSAAN BATU MELINTANG,1,333,218,112,330,3,0
4,030/37/02,GUNONG,SEKOLAH KEBANGSAAN BATU MELINTANG,2,399,289,104,393,6,0
4,030/37/02,GUNONG,SEKOLAH KEBANGSAAN BATU MELINTANG,3,330,258,70,328,2,0
4,030/37/02,GUNONG,SEKOLAH KEBANGSAAN BATU MELINTANG,4,379,293,82,375,4,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),1,277,185,91,276,1,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),2,301,201,100,301,0,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),3,383,287,92,379,4,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),4,332,256,73,329,3,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),5,305,225,76,301,4,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),6,326,240,86,326,0,0
5,030/37/03,BANDAR JELI,SEKOLAH KEBANGSAAN JELI (1),7,407,302,98,400,7,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,1,292,182,106,288,4,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,2,320,195,121,316,4,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,3,418,306,111,417,1,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,4,379,270,109,379,0,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,5,334,227,106,333,1,0
6,030/37/04,GEMANG,SEKOLAH KEBANGSAAN GEMANG,6,393,262,130,392,1,0
7,030/37/05,AIR LANAS,"MAAHAD AL-SABIRIN, AYER LANAS",1,314,178,136,314,0,0
7,030/37/05,AIR LANAS,"MAAHAD AL-SABIRIN, AYER LANAS",2,335,212,120,332,3,0
7,030/37/05,AIR LANAS,"MAAHAD AL-SABIRIN, AYER LANAS",3,257,153,100,253,4,0
7,030/37/05,AIR LANAS,"MAAHAD AL-SABIRIN, AYER LANAS",4,322,223,99,322,0,0
8,030/37/06,LEGEH,SEKOLAH KEBANGSAAN LEGEH,1,335,248,84,332,3,0
8,030/37/06,LEGEH,SEKOLAH KEBANGSAAN LEGEH,2,426,327,98,425,1,0
9,030/37/07,SUNGAI SATAN,SEKOLAH KEBANGSAAN LEGEH,3,336,255,81,336,0,0
9,030/37/07,SUNGAI SATAN,SEKOLAH KEBANGSAAN LEGEH,4,397,309,87,396,1,0
9,030/37/07,SUNGAI SATAN,SEKOLAH KEBANGSAAN LEGEH,5,385,308,77,385,0,0
10,030/37/08,BERDANG,SEKOLAH KEBANGSAAN PASIR DUSUN,1,322,200,121,321,1,0
10,030/37/08,BERDANG,SEKOLAH KEBANGSAAN PASIR DUSUN,2,356,222,128,350,6,0
10,030/37/08,BERDANG,SEKOLAH KEBANGSAAN PASIR DUSUN,3,406,295,107,402,4,0
10,030/37/08,BERDANG,SEKOLAH KEBANGSAAN PASIR DUSUN,4,358,253,103,356,2,0
10,030/37/08,BERDANG,SEKOLAH KEBANGSAAN PASIR DUSUN,5,428,289,131,420,8,0
11,030/37/09,POS SUNGAI RUAL,SEKOLAH KEBANGSAAN SUNGAI RUAL,1,418,33,376,409,8,1
12,030/37/10,KEDAI AIR LANAS,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,1,279,172,103,275,4,0
12,030/37/10,KEDAI AIR LANAS,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,2,362,244,116,360,2,0
12,030/37/10,KEDAI AIR LANAS,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,3,337,240,97,337,0,0
12,030/37/10,KEDAI AIR LANAS,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,4,388,277,111,388,0,0
JUMLAH,,,,41,14209,9535,4526,14061,128,20
