BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO ' HADI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) YAMIN ANUAR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,627,313,290,603,14,10
2,030/38/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BATU MELINTANG,1,9,1,8,9,0,0
2,030/38/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS KUALA BALAH,1,5,1,4,5,0,0
2,030/38/00,UNDI AWAL,KOMPLEKS SAJIAN BATALION KE-2 REJIMEN SEMPADAN KEM BATU MELINTANG,1,39,27,12,39,0,0
2,030/38/00,UNDI AWAL,KOMPLEKS SAJIAN BATALION KE-2 REJIMEN SEMPADAN KEM BATU MELINTANG,2,107,65,42,107,0,0
3,030/38/01,BATU MELINTANG,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,1,300,162,136,298,2,0
3,030/38/01,BATU MELINTANG,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,2,271,181,88,269,2,0
3,030/38/01,BATU MELINTANG,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,3,324,204,117,321,3,0
4,030/38/02,PENDOK,SEKOLAH KEBANGSAAN PENDOK,1,344,209,129,338,6,0
4,030/38/02,PENDOK,SEKOLAH KEBANGSAAN PENDOK,2,259,184,74,258,1,0
4,030/38/02,PENDOK,SEKOLAH KEBANGSAAN PENDOK,3,279,204,72,276,3,0
5,030/38/03,SUNGAI LONG,SEKOLAH KEBANGSAAN SUNGAI LONG,1,351,272,78,350,1,0
5,030/38/03,SUNGAI LONG,SEKOLAH KEBANGSAAN SUNGAI LONG,2,448,359,84,443,5,0
6,030/38/04,LUBOK BONGOR,SEKOLAH KEBANGSAAN LUBOK BONGOR,1,334,181,148,329,5,0
6,030/38/04,LUBOK BONGOR,SEKOLAH KEBANGSAAN LUBOK BONGOR,2,308,186,118,304,4,0
6,030/38/04,LUBOK BONGOR,SEKOLAH KEBANGSAAN LUBOK BONGOR,3,337,213,122,335,2,0
6,030/38/04,LUBOK BONGOR,SEKOLAH KEBANGSAAN LUBOK BONGOR,4,297,209,87,296,1,0
6,030/38/04,LUBOK BONGOR,SEKOLAH KEBANGSAAN LUBOK BONGOR,5,349,221,128,349,0,0
7,030/38/05,KUBOR DATU,SEKOLAH KEBANGSAAN KUBOR DATU,1,357,199,155,354,3,0
7,030/38/05,KUBOR DATU,SEKOLAH KEBANGSAAN KUBOR DATU,2,389,257,131,388,1,0
7,030/38/05,KUBOR DATU,SEKOLAH KEBANGSAAN KUBOR DATU,3,348,237,111,348,0,0
8,030/38/06,JERIMBONG,SEKOLAH KEBANGSAAN BUKIT JERING,1,329,148,176,324,5,0
8,030/38/06,JERIMBONG,SEKOLAH KEBANGSAAN BUKIT JERING,2,330,181,144,325,5,0
8,030/38/06,JERIMBONG,SEKOLAH KEBANGSAAN BUKIT JERING,3,390,266,122,388,2,0
8,030/38/06,JERIMBONG,SEKOLAH KEBANGSAAN BUKIT JERING,4,372,245,125,370,2,0
8,030/38/06,JERIMBONG,SEKOLAH KEBANGSAAN BUKIT JERING,5,370,244,124,368,2,0
9,030/38/07,KEDAI KUALA BALAH,SEKOLAH KEBANGSAAN KUALA BALAH,1,318,120,194,314,4,0
9,030/38/07,KEDAI KUALA BALAH,SEKOLAH KEBANGSAAN KUALA BALAH,2,334,218,110,328,6,0
9,030/38/07,KEDAI KUALA BALAH,SEKOLAH KEBANGSAAN KUALA BALAH,3,303,195,108,303,0,0
10,030/38/08,KAMPUNG BHARU TG.ABD.RAHMAN PUTRA,SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,1,312,179,130,309,3,0
10,030/38/08,KAMPUNG BHARU TG.ABD.RAHMAN PUTRA,SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,2,367,253,111,364,3,0
10,030/38/08,KAMPUNG BHARU TG.ABD.RAHMAN PUTRA,SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,3,362,252,107,359,3,0
JUMLAH,,,,32,9869,6186,3585,9771,88,10
