BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE YIE,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) HAJI ZUBIR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,211,37,124,161,21,29
2,031/39/01,PASIR KELANG,SEKOLAH KEBANGSAAN PASIR KELANG,1,342,158,182,340,2,0
2,031/39/01,PASIR KELANG,SEKOLAH KEBANGSAAN PASIR KELANG,2,320,86,226,312,8,0
2,031/39/01,PASIR KELANG,SEKOLAH KEBANGSAAN PASIR KELANG,3,268,70,196,266,2,0
3,031/39/02,KUALA NAL,SEKOLAH KEBANGSAAN KUALA NAL,1,326,78,244,322,4,0
3,031/39/02,KUALA NAL,SEKOLAH KEBANGSAAN KUALA NAL,2,282,38,237,275,7,0
3,031/39/02,KUALA NAL,SEKOLAH KEBANGSAAN KUALA NAL,3,282,47,232,279,3,0
4,031/39/03,BUKIT SIREH,SEKOLAH KEBANGSAAN KAMPONG BEDAL,1,294,86,205,291,3,0
4,031/39/03,BUKIT SIREH,SEKOLAH KEBANGSAAN KAMPONG BEDAL,2,391,116,272,388,3,0
4,031/39/03,BUKIT SIREH,SEKOLAH KEBANGSAAN KAMPONG BEDAL,3,296,70,224,294,2,0
4,031/39/03,BUKIT SIREH,SEKOLAH KEBANGSAAN KAMPONG BEDAL,4,300,58,239,297,3,0
4,031/39/03,BUKIT SIREH,SEKOLAH KEBANGSAAN KAMPONG BEDAL,5,365,77,287,364,1,0
5,031/39/04,BATU JONG,SEKOLAH KEBANGSAAN BATU JONG,1,320,113,200,313,6,1
5,031/39/04,BATU JONG,SEKOLAH KEBANGSAAN BATU JONG,2,323,94,226,320,3,0
5,031/39/04,BATU JONG,SEKOLAH KEBANGSAAN BATU JONG,3,255,62,192,254,1,0
5,031/39/04,BATU JONG,SEKOLAH KEBANGSAAN BATU JONG,4,289,71,215,286,3,0
6,031/39/05,KEROH,SEKOLAH MENENGAH KEBANGSAAN KEROH,1,247,81,163,244,2,1
6,031/39/05,KEROH,SEKOLAH MENENGAH KEBANGSAAN KEROH,2,279,66,212,278,1,0
6,031/39/05,KEROH,SEKOLAH MENENGAH KEBANGSAAN KEROH,3,297,73,222,295,2,0
7,031/39/06,PASIR GAJAH,SEKOLAH KEBANGSAAN PASIR GAJAH,1,305,133,165,298,7,0
7,031/39/06,PASIR GAJAH,SEKOLAH KEBANGSAAN PASIR GAJAH,2,348,131,216,347,1,0
7,031/39/06,PASIR GAJAH,SEKOLAH KEBANGSAAN PASIR GAJAH,3,300,77,219,296,4,0
7,031/39/06,PASIR GAJAH,SEKOLAH KEBANGSAAN PASIR GAJAH,4,290,81,208,289,1,0
8,031/39/07,TELEKONG,SEKOLAH KEBANGSAAN TELKONG,1,313,99,205,304,9,0
8,031/39/07,TELEKONG,SEKOLAH KEBANGSAAN TELKONG,2,362,84,273,357,5,0
8,031/39/07,TELEKONG,SEKOLAH KEBANGSAAN TELKONG,3,265,52,210,262,3,0
8,031/39/07,TELEKONG,SEKOLAH KEBANGSAAN TELKONG,4,331,69,261,330,1,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,1,282,76,198,274,8,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,2,330,74,251,325,5,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,3,390,71,316,387,3,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,4,317,51,266,317,0,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,5,300,55,244,299,1,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,6,336,50,285,335,1,0
9,031/39/08,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI EMBAK,7,385,68,315,383,2,0
10,031/39/09,CHENULANG,SEKOLAH KEBANGSAAN CHENULANG,1,326,88,231,319,7,0
10,031/39/09,CHENULANG,SEKOLAH KEBANGSAAN CHENULANG,2,387,95,289,384,3,0
10,031/39/09,CHENULANG,SEKOLAH KEBANGSAAN CHENULANG,3,284,52,230,282,2,0
10,031/39/09,CHENULANG,SEKOLAH KEBANGSAAN CHENULANG,4,263,58,205,263,0,0
10,031/39/09,CHENULANG,SEKOLAH KEBANGSAAN CHENULANG,5,355,84,271,355,0,0
11,031/39/10,R.K.T. MENGKEBANG,SEKOLAH KEBANGSAAN BATU MENGKEBANG,1,326,40,280,320,6,0
