BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DR ZUBER,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) LAWYER MIE,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,290,92,158,250,19,21
2,031/40/00,UNDI AWAL,"DEWAN SERBAGUNA PERUMAHAN POLIS SUNGAI DURIAN, KUALA KRAI",1,237,144,92,236,1,0
3,031/40/01,LADANG TAKU,SEKOLAH KEBANGSAAN LADANG TAKU,1,234,66,165,231,3,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,1,287,92,193,285,2,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,2,293,74,218,292,1,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,3,305,47,258,305,0,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,4,287,48,239,287,0,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,5,265,60,205,265,0,0
4,031/40/02,KAMPUNG BHARU GUCHIL UTARA,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,6,322,73,247,320,2,0
5,031/40/03,SRI GUCHIL,KOLEJ VOKASIONAL KUALA KRAI,1,272,136,136,272,0,0
5,031/40/03,SRI GUCHIL,KOLEJ VOKASIONAL KUALA KRAI,2,300,128,171,299,1,0
5,031/40/03,SRI GUCHIL,KOLEJ VOKASIONAL KUALA KRAI,3,241,78,162,240,1,0
5,031/40/03,SRI GUCHIL,KOLEJ VOKASIONAL KUALA KRAI,4,218,70,147,217,1,0
5,031/40/03,SRI GUCHIL,KOLEJ VOKASIONAL KUALA KRAI,5,346,110,233,343,3,0
6,031/40/04,KAMPUNG BHARU GUCHIL TENGAH,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,1,290,104,185,289,1,0
6,031/40/04,KAMPUNG BHARU GUCHIL TENGAH,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,2,301,79,220,299,2,0
6,031/40/04,KAMPUNG BHARU GUCHIL TENGAH,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,3,238,63,175,238,0,0
6,031/40/04,KAMPUNG BHARU GUCHIL TENGAH,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,4,234,51,182,233,1,0
