BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK IME KU ZAKI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE FIRDAUS,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,121,54,24,78,6,37
2,031/42/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS DABONG,1,12,0,12,12,0,0
3,031/42/01,KANDEK,SMU (A) NURUL IHSAN KG. KANDEK,1,297,280,13,293,4,0
4,031/42/02,KUALA GRIS,SEKOLAH KEBANGSAAN KUALA GERIS,1,310,131,171,302,8,0
4,031/42/02,KUALA GRIS,SEKOLAH KEBANGSAAN KUALA GERIS,2,231,146,83,229,2,0
4,031/42/02,KUALA GRIS,SEKOLAH KEBANGSAAN KUALA GERIS,3,241,152,87,239,2,0
5,031/42/03,DABONG,SEKOLAH MENENGAH KEBANGSAAN DABONG,1,346,171,173,344,2,0
5,031/42/03,DABONG,SEKOLAH MENENGAH KEBANGSAAN DABONG,2,318,189,124,313,5,0
5,031/42/03,DABONG,SEKOLAH MENENGAH KEBANGSAAN DABONG,3,343,195,142,337,6,0
6,031/42/04,JELAWANG,SEKOLAH KEBANGSAAN MEMPELAM JELAWANG,1,322,142,177,319,3,0
6,031/42/04,JELAWANG,SEKOLAH KEBANGSAAN MEMPELAM JELAWANG,2,290,171,116,287,3,0
6,031/42/04,JELAWANG,SEKOLAH KEBANGSAAN MEMPELAM JELAWANG,3,286,164,119,283,3,0
7,031/42/05,KEMUBU,SEKOLAH KEBANGSAAN KEMUBU,1,321,200,114,314,7,0
7,031/42/05,KEMUBU,SEKOLAH KEBANGSAAN KEMUBU,2,433,287,142,429,4,0
7,031/42/05,KEMUBU,SEKOLAH KEBANGSAAN KEMUBU,3,360,271,88,359,1,0
7,031/42/05,KEMUBU,SEKOLAH KEBANGSAAN KEMUBU,4,378,275,99,374,4,0
8,031/42/06,BINTANG,SEKOLAH KEBANGSAAN SERI MAHLIGAI,1,336,165,162,327,9,0
8,031/42/06,BINTANG,SEKOLAH KEBANGSAAN SERI MAHLIGAI,2,413,245,166,411,2,0
8,031/42/06,BINTANG,SEKOLAH KEBANGSAAN SERI MAHLIGAI,3,390,239,144,383,7,0
9,031/42/07,BUKIT ABU,DEWAN LADANG BUKIT ABU,1,199,114,82,196,3,0
9,031/42/07,BUKIT ABU,DEWAN LADANG BUKIT ABU,2,226,172,52,224,2,0
10,031/42/08,TEMIANG,SEKOLAH KEBANGSAAN SLOW TEMIANG,1,220,133,85,218,2,0
10,031/42/08,TEMIANG,SEKOLAH KEBANGSAAN SLOW TEMIANG,2,255,188,65,253,2,0
10,031/42/08,TEMIANG,SEKOLAH KEBANGSAAN SLOW TEMIANG,3,256,199,55,254,2,0
11,031/42/09,KAMPUNG SUNGAI MEL,SEKOLAH KEBANGSAAN SUNGAI MENGKUANG,1,226,135,87,222,4,0
11,031/42/09,KAMPUNG SUNGAI MEL,SEKOLAH KEBANGSAAN SUNGAI MENGKUANG,2,270,196,72,268,1,1
11,031/42/09,KAMPUNG SUNGAI MEL,SEKOLAH KEBANGSAAN SUNGAI MENGKUANG,3,285,211,73,284,1,0
12,031/42/10,PEMBERIAN,SEKOLAH KEBANGSAAN PEMBERIAN,1,305,177,125,302,3,0
12,031/42/10,PEMBERIAN,SEKOLAH KEBANGSAAN PEMBERIAN,2,312,231,78,309,3,0
13,031/42/11,OLAK JERAM,SEKOLAH KEBANGSAAN SG SAM,1,326,184,139,323,3,0
13,031/42/11,OLAK JERAM,SEKOLAH KEBANGSAAN SG SAM,2,317,200,114,314,2,1
14,031/42/12,BIAK,SEKOLAH KEBANGSAAN BIAK,1,298,155,143,298,0,0
JUMLAH,,,,32,9243,5772,3326,9098,106,39
