BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) AB AZIZ BIN YUSOFF,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) MOHD AZIZI ABU NAIM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,120,38,60,98,15,7
2,032/43/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BERTAM,1,13,8,5,13,0,0
3,032/43/01,TOHOI,SEKOLAH KEBANGSAAN TOHOI,1,274,258,13,271,3,0
4,032/43/02,POS SIMPOR,DEWAN ORANG RAMAI POS SIMPOR,1,126,118,5,123,3,0
4,032/43/02,POS SIMPOR,DEWAN ORANG RAMAI POS SIMPOR,2,103,96,5,101,2,0
5,032/43/03,SUNGAI PUIAN,PUSAT PENDIDIKAN KOMINITI POS GOB,1,200,186,11,197,3,0
6,032/43/04,SUNGAI JENERA,SEKOLAH KEBANGSAAN SRI PERMAI (JHEOA),1,214,172,39,211,3,0
6,032/43/04,SUNGAI JENERA,SEKOLAH KEBANGSAAN SRI PERMAI (JHEOA),2,235,182,52,234,1,0
7,032/43/05,SUNGAI WIAS,SEKOLAH KEBANGSAAN PULAT,1,279,246,29,275,4,0
8,032/43/06,JEREK,SEKOLAH KEBANGSAAN JEREK,1,348,151,193,344,4,0
8,032/43/06,JEREK,SEKOLAH KEBANGSAAN JEREK,2,266,84,181,265,1,0
8,032/43/06,JEREK,SEKOLAH KEBANGSAAN JEREK,3,267,98,167,265,2,0
9,032/43/07,BERTAM BARU,SEKOLAH KEBANGSAAN BERTAM,1,284,144,136,280,4,0
9,032/43/07,BERTAM BARU,SEKOLAH KEBANGSAAN BERTAM,2,247,95,152,247,0,0
9,032/43/07,BERTAM BARU,SEKOLAH KEBANGSAAN BERTAM,3,266,90,176,266,0,0
10,032/43/08,PASIR TUMBOH,SEKOLAH KEBANGSAAN PASIR TUMBUH,1,301,119,174,293,8,0
10,032/43/08,PASIR TUMBOH,SEKOLAH KEBANGSAAN PASIR TUMBUH,2,270,92,178,270,0,0
11,032/43/09,LADANG SEDC,SEKOLAH KEBANGSAAN SUNGAI TERAH,1,279,85,191,276,3,0
11,032/43/09,LADANG SEDC,SEKOLAH KEBANGSAAN SUNGAI TERAH,2,270,69,199,268,2,0
12,032/43/10,JERAM TEKOH,SEKOLAH KEBANGSAAN JERAM TEKOH,1,337,156,177,333,4,0
12,032/43/10,JERAM TEKOH,SEKOLAH KEBANGSAAN JERAM TEKOH,2,376,160,213,373,3,0
12,032/43/10,JERAM TEKOH,SEKOLAH KEBANGSAAN JERAM TEKOH,3,314,115,198,313,1,0
12,032/43/10,JERAM TEKOH,SEKOLAH KEBANGSAAN JERAM TEKOH,4,295,116,178,294,1,0
13,032/43/11,SUNGAI ASAP,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ASAP,1,337,218,117,335,2,0
13,032/43/11,SUNGAI ASAP,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ASAP,2,338,168,167,335,3,0
13,032/43/11,SUNGAI ASAP,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ASAP,3,329,149,178,327,2,0
13,032/43/11,SUNGAI ASAP,SEKOLAH MENENGAH KEBANGSAAN SUNGAI ASAP,4,322,141,179,320,2,0
14,032/43/12,RENOK,SEKOLAH KEBANGSAAN RENOK BARU,1,334,168,164,332,2,0
14,032/43/12,RENOK,SEKOLAH KEBANGSAAN RENOK BARU,2,353,138,212,350,3,0
14,032/43/12,RENOK,SEKOLAH KEBANGSAAN RENOK BARU,3,363,112,249,361,2,0
15,032/43/13,KUALA SUNGAI,SEKOLAH KEBANGSAAN KUALA SUNGAI,1,188,76,110,186,2,0
16,032/43/14,BERTAM LAMA,TABIKA SRI BAKAWALI,1,299,107,187,294,5,0
17,032/43/15,STAR,SEKOLAH KEBANGSAAN STAR,1,298,114,182,296,2,0
17,032/43/15,STAR,SEKOLAH KEBANGSAAN STAR,2,279,104,173,277,2,0
18,032/43/16,PERASU,SEKOLAH KEBANGSAAN PERASU,1,371,159,209,368,3,0
18,032/43/16,PERASU,SEKOLAH KEBANGSAAN PERASU,2,336,98,235,333,3,0
18,032/43/16,PERASU,SEKOLAH KEBANGSAAN PERASU,3,389,150,237,387,2,0
19,032/43/17,SERIAN,BALAI RAYA KAMPUNG BATU 12 SERIAN,1,165,72,91,163,2,0
19,032/43/17,SERIAN,BALAI RAYA KAMPUNG BATU 12 SERIAN,2,184,66,118,184,0,0
20,032/43/18,MERANTO,SEKOLAH KEBANGSAAN MERANTO,1,308,187,117,304,4,0
20,032/43/18,MERANTO,SEKOLAH KEBANGSAAN MERANTO,2,250,143,107,250,0,0
21,032/43/19,KESEDAR LIMAU KASTURI,SEKOLAH KEBANGSAAN LIMAU KASTURI (2),1,202,84,114,198,4,0
21,032/43/19,KESEDAR LIMAU KASTURI,SEKOLAH KEBANGSAAN LIMAU KASTURI (2),2,161,35,125,160,1,0
22,032/43/20,LIMAU KASTURI,SEKOLAH KEBANGSAAN LIMAU KASTURI (1),1,322,144,174,318,4,0
22,032/43/20,LIMAU KASTURI,SEKOLAH KEBANGSAAN LIMAU KASTURI (1),2,265,84,180,264,1,0
22,032/43/20,LIMAU KASTURI,SEKOLAH KEBANGSAAN LIMAU KASTURI (1),3,274,112,160,272,2,0
JUMLAH,,,,46,12351,5707,6517,12224,120,7
