BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO SHAARI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) AMRAN ARIFIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,115,61,35,96,6,13
2,032/44/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS PALOH,1,16,3,13,16,0,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,1,333,164,167,331,2,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,2,373,209,163,372,1,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,3,395,256,136,392,3,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,4,367,244,120,364,3,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,5,394,256,137,393,1,0
3,032/44/01,FELDA SUNGAI CHIKU 3,SEKOLAH MENENGAH KEBANGSAAN BANDAR CHIKU,6,431,282,146,428,3,0
4,032/44/02,PASIR LINGGI,SEKOLAH KEBANGSAAN PASIR LINGGI,1,197,24,169,193,4,0
5,032/44/03,KESEDAR PALOH,SEKOLAH MENENGAH KEBANGSAAN PALOH,1,344,161,177,338,6,0
5,032/44/03,KESEDAR PALOH,SEKOLAH MENENGAH KEBANGSAAN PALOH,2,328,202,124,326,2,0
5,032/44/03,KESEDAR PALOH,SEKOLAH MENENGAH KEBANGSAAN PALOH,3,332,219,113,332,0,0
6,032/44/04,KESEDAR SUNGAI CHALIL,SEKOLAH KEBANGSAAN CHALIL,1,346,138,208,346,0,0
6,032/44/04,KESEDAR SUNGAI CHALIL,SEKOLAH KEBANGSAAN CHALIL,2,320,162,157,319,1,0
7,032/44/05,LEBIR,SEKOLAH KEBANGSAAN LEBIR,1,304,133,170,303,1,0
7,032/44/05,LEBIR,SEKOLAH KEBANGSAAN LEBIR,2,221,123,92,215,6,0
8,032/44/06,KESEDAR PALOH 3,SEKOLAH KEBANGSAAN PALOH 3,1,351,139,203,342,9,0
8,032/44/06,KESEDAR PALOH 3,SEKOLAH KEBANGSAAN PALOH 3,2,355,213,141,354,1,0
8,032/44/06,KESEDAR PALOH 3,SEKOLAH KEBANGSAAN PALOH 3,3,360,220,136,356,4,0
9,032/44/07,ARING,SEKOLAH KEBANGSAAN ARING,1,331,209,119,328,3,0
9,032/44/07,ARING,SEKOLAH KEBANGSAAN ARING,2,268,176,90,266,2,0
9,032/44/07,ARING,SEKOLAH KEBANGSAAN ARING,3,287,176,110,286,1,0
9,032/44/07,ARING,SEKOLAH KEBANGSAAN ARING,4,268,175,92,267,1,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,1,374,223,147,370,4,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,2,352,230,118,348,4,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,3,314,213,101,314,0,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,4,274,194,80,274,0,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,5,314,227,87,314,0,0
10,032/44/08,FELDA SUNGAI CHIKU 1,SEKOLAH MENENGAH KEBANGSAAN CHIKU 2,6,331,227,104,331,0,0
11,032/44/09,FELDA SUNGAI CHIKU 7,SEKOLAH KEBANGSAAN CHIKU 7,1,388,175,209,384,4,0
11,032/44/09,FELDA SUNGAI CHIKU 7,SEKOLAH KEBANGSAAN CHIKU 7,2,333,203,129,332,1,0
11,032/44/09,FELDA SUNGAI CHIKU 7,SEKOLAH KEBANGSAAN CHIKU 7,3,306,198,106,304,2,0
11,032/44/09,FELDA SUNGAI CHIKU 7,SEKOLAH KEBANGSAAN CHIKU 7,4,327,186,138,324,3,0
12,032/44/10,FELDA SUNGAI CHIKU 2,SEKOLAH KEBANGSAAN SRI CHIKU 2,1,357,208,146,354,3,0
12,032/44/10,FELDA SUNGAI CHIKU 2,SEKOLAH KEBANGSAAN SRI CHIKU 2,2,303,199,102,301,2,0
12,032/44/10,FELDA SUNGAI CHIKU 2,SEKOLAH KEBANGSAAN SRI CHIKU 2,3,278,190,88,278,0,0
12,032/44/10,FELDA SUNGAI CHIKU 2,SEKOLAH KEBANGSAAN SRI CHIKU 2,4,313,202,110,312,1,0
13,032/44/11,KESEDAR PALOH 2,SEKOLAH KEBANGSAAN PALOH 1 & 2,1,348,143,200,343,5,0
13,032/44/11,KESEDAR PALOH 2,SEKOLAH KEBANGSAAN PALOH 1 & 2,2,404,234,168,402,2,0
13,032/44/11,KESEDAR PALOH 2,SEKOLAH KEBANGSAAN PALOH 1 & 2,3,362,210,151,361,1,0
JUMLAH,,,,40,12714,7407,5202,12609,92,13
