UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.078_P.078/POSTAL VOTE_001/UNDI POS_1,PAHANG,POSTAL VOTE,P.078,CAMERON HIGHLANDS,P.078/POSTAL VOTE,POSTAL VOTE,078/UNDI POS,UNDI POS,UNDI POS,1,165,MIC,DATUK SERI G. PALANIVEL,MALE,,131,DAP,M. MANOGARAN,MALE,,17,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,9,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,158,5,2,1,1
P.078_P.078/EARLY VOTE_078/01/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,TANAH RATA,078/01/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,187,MIC,DATUK SERI G. PALANIVEL,MALE,,184,DAP,M. MANOGARAN,MALE,,0,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,186,1,0,1,1
P.078_P.078/EARLY VOTE_078/02/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,JELAI,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,13,MIC,DATUK SERI G. PALANIVEL,MALE,,11,DAP,M. MANOGARAN,MALE,,1,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,13,0,0,1,1
P.078_N.01_078/01/01_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/01,LADANG SUNGAI PALAS,SEK. JENIS KEB. (T) LADANG SUNGAI PALAS,1,153,MIC,DATUK SERI G. PALANIVEL,MALE,,103,DAP,M. MANOGARAN,MALE,,38,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,144,9,0,1,1
P.078_N.01_078/01/02_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,1,277,MIC,DATUK SERI G. PALANIVEL,MALE,,62,DAP,M. MANOGARAN,MALE,,214,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,276,1,0,1,1
P.078_N.01_078/01/02_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,2,410,MIC,DATUK SERI G. PALANIVEL,MALE,,68,DAP,M. MANOGARAN,MALE,,334,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,5,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,408,2,0,1,1
P.078_N.01_078/01/02_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,3,415,MIC,DATUK SERI G. PALANIVEL,MALE,,70,DAP,M. MANOGARAN,MALE,,336,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,7,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,413,2,0,1,1
P.078_N.01_078/01/02_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,4,429,MIC,DATUK SERI G. PALANIVEL,MALE,,45,DAP,M. MANOGARAN,MALE,,376,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,6,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,427,2,0,1,1
P.078_N.01_078/01/03_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/03,LADANG BLUE VALLEY,SEK. JENIS KEB. (T) LADANG BLUE VALLEY,1,244,MIC,DATUK SERI G. PALANIVEL,MALE,,87,DAP,M. MANOGARAN,MALE,,148,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,240,4,0,1,1
P.078_N.01_078/01/04_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS TERISU,SEK. KEB. TERISU,1,293,MIC,DATUK SERI G. PALANIVEL,MALE,,257,DAP,M. MANOGARAN,MALE,,13,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,2,275,18,0,1,1
P.078_N.01_078/01/05_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,KUALA TERLA,SEK. JENIS KEB. (C) KUALA TERLA,1,274,MIC,DATUK SERI G. PALANIVEL,MALE,,71,DAP,M. MANOGARAN,MALE,,187,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,262,12,0,1,1
