Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZLINA BINTI AZINAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD RAWI BIN ABD HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JUHARI BIN BULAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,534,46,331,79,456,49,29,UNDI POS,UNDI POS
2,004/01/00,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1.0,208,38,124,46,208,0,0,UNDI AWAL,UNDI AWAL
3,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",1.0,314,85,153,70,308,6,0,KUALA TERIANG ,UNDI BIASA
3,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",2.0,469,152,138,175,465,4,0,KUALA TERIANG ,UNDI BIASA
3,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",3.0,426,144,127,152,423,3,0,KUALA TERIANG ,UNDI BIASA
4,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",1.0,277,41,96,127,264,13,0,EWA ,UNDI BIASA
4,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",2.0,511,112,144,252,508,3,0,EWA ,UNDI BIASA
4,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",3.0,475,91,102,278,471,4,0,EWA ,UNDI BIASA
5,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",1.0,280,65,127,80,272,8,0,PADANG LALANG ,UNDI BIASA
5,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",2.0,618,100,245,258,603,15,0,PADANG LALANG ,UNDI BIASA
5,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",3.0,578,129,189,251,569,9,0,PADANG LALANG ,UNDI BIASA
5,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",4.0,529,113,152,260,525,4,0,PADANG LALANG ,UNDI BIASA
5,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",5.0,499,109,129,258,496,3,0,PADANG LALANG ,UNDI BIASA
6,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",1.0,304,29,147,118,294,10,0,KILIM ,UNDI BIASA
6,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",2.0,308,58,119,130,307,1,0,KILIM ,UNDI BIASA
6,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",3.0,294,55,74,164,293,1,0,KILIM ,UNDI BIASA
7,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",1.0,298,29,131,121,281,17,0,LADANG SUNGAI RAYA ,UNDI BIASA
7,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",2.0,444,45,160,207,412,32,0,LADANG SUNGAI RAYA ,UNDI BIASA
7,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",3.0,413,38,162,205,405,1,7,LADANG SUNGAI RAYA ,UNDI BIASA
7,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",4.0,396,73,126,186,385,11,0,LADANG SUNGAI RAYA ,UNDI BIASA
8,004/01/06,"DEWAN HOMESTAY DESA WANG TOK RENDONG, LANGKAWI",1.0,325,19,161,138,318,7,0,WANG TOK RENDONG ,UNDI BIASA
8,004/01/06,"DEWAN HOMESTAY DESA WANG TOK RENDONG, LANGKAWI",2.0,331,28,118,182,328,3,0,WANG TOK RENDONG ,UNDI BIASA
9,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",1.0,289,36,130,117,283,6,0,ULU MELAKA ,UNDI BIASA
9,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",2.0,455,68,136,248,452,3,0,ULU MELAKA ,UNDI BIASA
