Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD REJAB MD AKHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD AZHAR BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR SALMEE SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,376,92,115,94,301,27,48,UNDI POS,UNDI POS
2,005/03/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1.0,26,5,14,6,25,1,0,UNDI AWAL,UNDI AWAL
3,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1.0,301,82,105,95,282,19,0,KAMPUNG BAHAGIA ,UNDI BIASA
3,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2.0,348,108,101,137,346,2,0,KAMPUNG BAHAGIA ,UNDI BIASA
3,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3.0,323,120,72,130,322,1,0,KAMPUNG BAHAGIA ,UNDI BIASA
4,005/03/02,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",1.0,317,26,163,115,304,13,0,KAMPUNG PERING ,UNDI BIASA
4,005/03/02,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",2.0,320,28,110,178,316,4,0,KAMPUNG PERING ,UNDI BIASA
5,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",1.0,308,17,130,150,297,11,0,KAMPUNG KANDIS ,UNDI BIASA
5,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",2.0,309,41,105,159,305,4,0,KAMPUNG KANDIS ,UNDI BIASA
5,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",3.0,294,35,78,174,287,7,0,KAMPUNG KANDIS ,UNDI BIASA
6,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",1.0,256,52,92,105,249,7,0,PEKAN KODIANG ,UNDI BIASA
6,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",2.0,502,109,144,245,498,4,0,PEKAN KODIANG ,UNDI BIASA
6,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",3.0,473,152,85,235,472,1,0,PEKAN KODIANG ,UNDI BIASA
6,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",4.0,441,162,76,202,440,1,0,PEKAN KODIANG ,UNDI BIASA
7,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1.0,263,82,101,75,258,5,0,KAMPUNG KODIANG ,UNDI BIASA
7,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2.0,490,127,173,174,474,16,0,KAMPUNG KODIANG ,UNDI BIASA
7,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3.0,460,152,140,166,458,2,0,KAMPUNG KODIANG ,UNDI BIASA
7,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",4.0,415,124,105,185,414,1,0,KAMPUNG KODIANG ,UNDI BIASA
7,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",5.0,411,128,92,190,410,1,0,KAMPUNG KODIANG ,UNDI BIASA
8,005/03/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",3.0,316,40,153,115,308,8,0,KAMPUNG SIPUTEH ,UNDI BIASA
8,005/03/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",4.0,542,120,200,218,538,4,0,KAMPUNG SIPUTEH ,UNDI BIASA
9,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",1.0,278,103,77,90,270,8,0,MEGAT DEWA ,UNDI BIASA
9,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",2.0,555,197,138,213,548,7,0,MEGAT DEWA ,UNDI BIASA
9,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",3.0,470,209,72,184,465,5,0,MEGAT DEWA ,UNDI BIASA
10,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",1.0,257,91,76,79,246,11,0,BUKIT HANTU ,UNDI BIASA
10,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",2.0,454,169,137,143,449,5,0,BUKIT HANTU ,UNDI BIASA
10,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",3.0,439,171,114,151,436,3,0,BUKIT HANTU ,UNDI BIASA
10,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",4.0,428,200,74,154,428,0,0,BUKIT HANTU ,UNDI BIASA
11,005/03/09,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",5.0,295,180,50,60,290,5,0,MESJID PAYA ,UNDI BIASA
11,005/03/09,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",6.0,559,338,78,140,556,3,0,MESJID PAYA ,UNDI BIASA
12,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",1.0,293,122,94,63,279,14,0,BATU 4 JALAN SANGLANG ,UNDI BIASA
12,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",2.0,456,162,141,147,450,6,0,BATU 4 JALAN SANGLANG ,UNDI BIASA
12,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",3.0,421,148,111,156,415,6,0,BATU 4 JALAN SANGLANG ,UNDI BIASA
13,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",1.0,300,123,107,60,290,10,0,MANGGOL ,UNDI BIASA
13,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",2.0,425,202,109,112,423,2,0,MANGGOL ,UNDI BIASA
13,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",3.0,405,199,78,127,404,1,0,MANGGOL ,UNDI BIASA
14,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",1.0,291,77,114,92,283,8,0,TOK KEPAK ,UNDI BIASA
14,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",2.0,507,142,170,192,504,3,0,TOK KEPAK ,UNDI BIASA
15,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",1.0,266,70,121,63,254,12,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA
15,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",2.0,439,136,156,140,432,7,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA
