Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULHAZMI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI HJ MUKHRIZ TUN MAHATHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMINUDDIN BIN OMAR (PAK TAM),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,977,140,380,272,792,58,127,UNDI POS,UNDI POS
2,006/06/00,"DEWAN SERBAGUNA, IPD KUBANG PASU",1.0,349,26,122,199,347,2,0,UNDI AWAL ,UNDI AWAL
2,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,1.0,346,99,123,117,339,7,0,UNDI AWAL ,UNDI AWAL
2,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,2.0,326,77,106,132,315,11,0,UNDI AWAL ,UNDI AWAL
3,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",1.0,284,47,138,90,275,9,0,PAYA KEMUNTING ,UNDI BIASA
3,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",2.0,580,110,303,160,573,7,0,PAYA KEMUNTING ,UNDI BIASA
3,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",3.0,478,90,301,83,474,4,0,PAYA KEMUNTING ,UNDI BIASA
4,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",1.0,294,80,83,123,286,8,0,KAMPUNG KULUANG ,UNDI BIASA
4,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",2.0,311,84,136,91,311,0,0,KAMPUNG KULUANG ,UNDI BIASA
4,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",3.0,281,96,136,49,281,0,0,KAMPUNG KULUANG ,UNDI BIASA
5,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",1.0,311,68,101,128,297,14,0,MALAU ,UNDI BIASA
5,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",2.0,318,70,138,107,315,3,0,MALAU ,UNDI BIASA
5,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",3.0,310,55,179,74,308,2,0,MALAU ,UNDI BIASA
6,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",4.0,311,52,104,150,306,5,0,PADANG PANJANG ,UNDI BIASA
6,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",5.0,480,115,212,151,478,2,0,PADANG PANJANG ,UNDI BIASA
6,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",6.0,427,102,241,81,424,3,0,PADANG PANJANG ,UNDI BIASA
7,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",1.0,317,64,76,170,310,7,0,WANG TEPUS ,UNDI BIASA
7,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",2.0,395,79,148,166,393,2,0,WANG TEPUS ,UNDI BIASA
