Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. MUNIR BIN HJ. ZAKARIA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PAK TUAN SYED FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ BADROL HISHAM BIN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,597,200,63,206,469,52,76,UNDI POS,UNDI POS
2,007/07/00,"CAWANGAN LATIHAN, IBU PEJABAT POLIS DAERAH PADANG TERAP",1.0,200,30,22,148,200,0,0,UNDI AWAL,UNDI AWAL
3,007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",1.0,308,83,45,163,291,17,0,PADANG SANAI ,UNDI BIASA
3,007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",2.0,353,135,58,157,350,3,0,PADANG SANAI ,UNDI BIASA
3,007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",3.0,313,112,72,124,308,5,0,PADANG SANAI ,UNDI BIASA
4,007/07/02,"SEKOLAH KEBANGSAAN KUBANG PALAS, KUALA NERANG",1.0,316,114,32,159,305,11,0,KUBANG PALAS ,UNDI BIASA
4,007/07/02,"SEKOLAH KEBANGSAAN KUBANG PALAS, KUALA NERANG",2.0,564,247,97,215,559,5,0,KUBANG PALAS ,UNDI BIASA
5,007/07/03,"SEKOLAH MENENGAH KEBANGSAAN PADANG TERAP, KUALA NERANG",1.0,292,107,43,130,280,12,0,GULA PADANG TERAP ,UNDI BIASA
5,007/07/03,"SEKOLAH MENENGAH KEBANGSAAN PADANG TERAP, KUALA NERANG",2.0,417,197,94,123,414,3,0,GULA PADANG TERAP ,UNDI BIASA
6,007/07/04,MAKTAB MAHMUD PADANG TERAP,1.0,316,118,28,157,303,12,1,PADANG NYIOR ,UNDI BIASA
6,007/07/04,MAKTAB MAHMUD PADANG TERAP,2.0,323,149,50,118,317,6,0,PADANG NYIOR ,UNDI BIASA
6,007/07/04,MAKTAB MAHMUD PADANG TERAP,3.0,274,119,62,91,272,2,0,PADANG NYIOR ,UNDI BIASA
7,007/07/05,MAKTAB MAHMUD PADANG TERAP,4.0,579,239,83,247,569,10,0,KAMPUNG PISANG ,UNDI BIASA
8,007/07/06,"SEKOLAH KEBANGSAAN PADANG TERAP, KUALA NERANG",1.0,308,156,29,107,292,16,0,KAMPUNG TANJONG ,UNDI BIASA
8,007/07/06,"SEKOLAH KEBANGSAAN PADANG TERAP, KUALA NERANG",2.0,508,262,58,170,490,18,0,KAMPUNG TANJONG ,UNDI BIASA
8,007/07/06,"SEKOLAH KEBANGSAAN PADANG TERAP, KUALA NERANG",3.0,475,243,86,139,468,7,0,KAMPUNG TANJONG ,UNDI BIASA
9,007/07/07,"SEKOLAH KEBANGSAAN TUALAK, KUALA NERANG",1.0,302,154,16,118,288,14,0,TUALAK ,UNDI BIASA
9,007/07/07,"SEKOLAH KEBANGSAAN TUALAK, KUALA NERANG",2.0,641,312,54,267,633,8,0,TUALAK ,UNDI BIASA
9,007/07/07,"SEKOLAH KEBANGSAAN TUALAK, KUALA NERANG",3.0,554,288,81,184,553,1,0,TUALAK ,UNDI BIASA
