Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ MOHD RADZI BIN MD AMIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASHIM BIN IDRIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMA NORIAH BINTI IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,387,126,39,137,302,40,45,UNDI POS,UNDI POS
2,007/08/00,"CAWANGAN LATIHAN, IBU PEJABAT POLIS DAERAH PADANG TERAP",1.0,24,4,2,18,24,0,0,UNDI AWAL,UNDI AWAL
3,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",1.0,315,154,32,119,305,10,0,KUALA TEKAI ,UNDI BIASA
3,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",2.0,525,286,61,175,522,3,0,KUALA TEKAI ,UNDI BIASA
3,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",3.0,470,241,67,158,466,4,0,KUALA TEKAI ,UNDI BIASA
4,007/08/02,PUSAT KOKURIKULUM DAERAH PADANG TERAP,1.0,323,104,47,164,315,8,0,KAMPUNG MUSA ,UNDI BIASA
4,007/08/02,PUSAT KOKURIKULUM DAERAH PADANG TERAP,2.0,360,157,65,130,352,8,0,KAMPUNG MUSA ,UNDI BIASA
4,007/08/02,PUSAT KOKURIKULUM DAERAH PADANG TERAP,3.0,341,151,88,101,340,1,0,KAMPUNG MUSA ,UNDI BIASA
5,007/08/03,SEKOLAH KEBANGSAAN PEDU,1.0,318,77,85,149,311,7,0,PEDU ,UNDI BIASA
5,007/08/03,SEKOLAH KEBANGSAAN PEDU,2.0,432,123,140,155,418,14,0,PEDU ,UNDI BIASA
5,007/08/03,SEKOLAH KEBANGSAAN PEDU,3.0,386,95,176,109,380,6,0,PEDU ,UNDI BIASA
6,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",1.0,321,177,19,123,319,2,0,TONG PELU ,UNDI BIASA
6,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",2.0,490,284,50,149,483,7,0,TONG PELU ,UNDI BIASA
6,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",3.0,432,251,53,126,430,2,0,TONG PELU ,UNDI BIASA
7,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",1.0,313,206,6,94,306,7,0,KAMPUNG MESJID ,UNDI BIASA
7,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",2.0,628,415,33,172,620,7,1,KAMPUNG MESJID ,UNDI BIASA
7,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",3.0,579,389,45,140,574,5,0,KAMPUNG MESJID ,UNDI BIASA
7,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",4.0,553,369,40,141,550,3,0,KAMPUNG MESJID ,UNDI BIASA
8,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",1.0,329,216,9,97,322,7,0,BELUKAR LUAS ,UNDI BIASA
8,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",2.0,556,347,49,145,541,15,0,BELUKAR LUAS ,UNDI BIASA
8,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",3.0,514,358,36,112,506,8,0,BELUKAR LUAS ,UNDI BIASA
9,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",1.0,326,206,18,99,323,3,0,KUBANG BEMBAN ,UNDI BIASA
9,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",2.0,498,304,26,164,494,4,0,KUBANG BEMBAN ,UNDI BIASA
9,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",3.0,471,317,32,110,459,12,0,KUBANG BEMBAN ,UNDI BIASA
10,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",4.0,306,133,14,131,278,28,0,TANDOP BESAR ,UNDI BIASA
10,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",5.0,634,300,69,256,625,8,1,TANDOP BESAR ,UNDI BIASA
10,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",6.0,584,299,87,196,582,2,0,TANDOP BESAR ,UNDI BIASA
10,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",7.0,559,261,92,202,555,4,0,TANDOP BESAR ,UNDI BIASA
11,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",1.0,288,80,54,122,256,32,0,NAKA ,UNDI BIASA
11,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",2.0,605,166,140,276,582,23,0,NAKA ,UNDI BIASA
11,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",3.0,569,201,148,212,561,8,0,NAKA ,UNDI BIASA
11,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",4.0,544,231,130,178,539,5,0,NAKA ,UNDI BIASA
12,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",1.0,323,14,104,189,307,16,0,LAMDIN ,UNDI BIASA
12,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",2.0,406,6,153,203,362,11,33,LAMDIN ,UNDI BIASA
12,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",3.0,341,4,171,143,318,23,0,LAMDIN ,UNDI BIASA
13,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",1.0,315,105,54,117,276,39,0,NAMI ,UNDI BIASA
13,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",2.0,304,105,56,135,296,8,0,NAMI ,UNDI BIASA
13,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",3.0,296,104,80,110,294,2,0,NAMI ,UNDI BIASA
14,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",1.0,308,52,27,222,301,7,0,FELDA LUBOK MERBAU A ,UNDI BIASA
14,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",2.0,490,86,88,299,473,17,0,FELDA LUBOK MERBAU A ,UNDI BIASA
14,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",3.0,451,128,103,219,450,1,0,FELDA LUBOK MERBAU A ,UNDI BIASA
14,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",4.0,438,132,115,190,437,1,0,FELDA LUBOK MERBAU A ,UNDI BIASA
15,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",1.0,293,19,31,197,247,46,0,FELDA LUBOK MERBAU B ,UNDI BIASA
15,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",2.0,402,81,61,256,398,4,0,FELDA LUBOK MERBAU B ,UNDI BIASA
15,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",3.0,382,123,89,165,377,5,0,FELDA LUBOK MERBAU B ,UNDI BIASA
15,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",4.0,370,106,85,176,367,3,0,FELDA LUBOK MERBAU B ,UNDI BIASA
16,007/08/14,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",5.0,396,71,103,213,387,9,0,KAMPUNG MAHAWANGSA PADANG TERAP ,UNDI BIASA
