Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. MOHAMMAD NAWAR BIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DZAHER AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN ROMANI WAN SALIM WAN ROMANI WAN SALIM Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,764,228,142,253,623,47,94,UNDI POS,UNDI POS
2,008/10/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1.0,22,13,3,2,18,4,0,UNDI AWAL ,UNDI AWAL
2,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",1.0,509,165,129,209,503,6,0,UNDI AWAL ,UNDI AWAL
2,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",2.0,525,157,141,215,513,12,0,UNDI AWAL ,UNDI AWAL
2,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",3.0,428,140,146,136,422,6,0,UNDI AWAL ,UNDI AWAL
2,008/10/00,"DEWAN MAKAN, KEM BUKIT PINANG",1.0,424,160,106,153,419,5,0,UNDI AWAL ,UNDI AWAL
3,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",1.0,312,116,35,152,303,8,1,PAYA LENGKUAS ,UNDI BIASA
3,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",2.0,370,118,53,198,369,1,0,PAYA LENGKUAS ,UNDI BIASA
3,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",3.0,344,92,59,191,342,2,0,PAYA LENGKUAS ,UNDI BIASA
4,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",1.0,262,81,113,63,257,5,0,BUKIT PINANG ,UNDI BIASA
4,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",2.0,586,149,254,180,583,3,0,BUKIT PINANG ,UNDI BIASA
4,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",3.0,532,116,247,168,531,1,0,BUKIT PINANG ,UNDI BIASA
4,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",4.0,521,98,225,197,520,1,0,BUKIT PINANG ,UNDI BIASA
5,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",1.0,289,108,47,126,281,8,0,TITI BARU ,UNDI BIASA
5,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",2.0,487,138,99,246,483,4,0,TITI BARU ,UNDI BIASA
5,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",3.0,439,87,109,240,436,3,0,TITI BARU ,UNDI BIASA
6,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",1.0,297,89,30,169,288,9,0,KUBANG LINTAH ,UNDI BIASA
6,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",2.0,369,87,60,217,364,5,0,KUBANG LINTAH ,UNDI BIASA
6,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",3.0,340,52,94,188,334,6,0,KUBANG LINTAH ,UNDI BIASA
