Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL MALIK BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ PHAHROLRAZI ZAWAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,574,149,199,108,456,39,79,UNDI POS,UNDI POS
2,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",1.0,284,116,113,45,274,10,0,KAMPUNG GELAM ,UNDI BIASA
2,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",2.0,485,188,171,121,480,5,0,KAMPUNG GELAM ,UNDI BIASA
2,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",3.0,442,202,119,120,441,1,0,KAMPUNG GELAM ,UNDI BIASA
2,009/14/01,"SEKOLAH KEBANGSAAN KAMPONG GELAM, JALAN DATUK KUMBAR",4.0,456,188,139,129,456,0,0,KAMPUNG GELAM ,UNDI BIASA
3,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",1.0,303,72,168,49,289,14,0,ALOR MELINTANG ,UNDI BIASA
3,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",2.0,488,156,227,98,481,7,0,ALOR MELINTANG ,UNDI BIASA
3,009/14/02,"SEKOLAH KEBANGSAAN ALOR MELINTANG, JALAN DATUK KUMBAR",3.0,432,149,179,101,429,3,0,ALOR MELINTANG ,UNDI BIASA
4,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",1.0,296,129,121,38,288,8,0,TITI HAJI IDRIS ,UNDI BIASA
4,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",2.0,343,170,112,60,342,1,0,TITI HAJI IDRIS ,UNDI BIASA
4,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",3.0,314,165,87,61,313,1,0,TITI HAJI IDRIS ,UNDI BIASA
5,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",1.0,290,153,91,20,264,26,0,TOK SIBIL ,UNDI BIASA
5,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",2.0,457,269,133,47,449,8,0,TOK SIBIL ,UNDI BIASA
5,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",3.0,422,245,121,45,411,11,0,TOK SIBIL ,UNDI BIASA
5,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",4.0,408,230,110,64,404,4,0,TOK SIBIL ,UNDI BIASA
6,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",1.0,292,101,111,35,247,45,0,ALOR BINJAL ,UNDI BIASA
6,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",2.0,379,173,136,68,377,2,0,ALOR BINJAL ,UNDI BIASA
6,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",3.0,351,155,111,83,349,2,0,ALOR BINJAL ,UNDI BIASA
7,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",1.0,304,149,122,22,293,11,0,TOK KELING ,UNDI BIASA
7,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",2.0,610,336,186,68,590,20,0,TOK KELING ,UNDI BIASA
7,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",3.0,557,329,137,90,556,1,0,TOK KELING ,UNDI BIASA
8,009/14/07,"SEKOLAH KEBANGSAAN LAHAR BUDI, ALOR SETAR",1.0,280,114,79,81,274,0,6,LAHAR BUDI ,UNDI BIASA
8,009/14/07,"SEKOLAH KEBANGSAAN LAHAR BUDI, ALOR SETAR",2.0,421,212,97,108,417,4,0,LAHAR BUDI ,UNDI BIASA
9,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",1.0,305,78,170,47,295,10,0,ALOR MENGKUDU ,UNDI BIASA
9,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",2.0,462,132,220,106,458,4,0,ALOR MENGKUDU ,UNDI BIASA
9,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",3.0,448,134,172,139,445,3,0,ALOR MENGKUDU ,UNDI BIASA
9,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",4.0,426,146,137,140,423,3,0,ALOR MENGKUDU ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",1.0,289,33,89,161,283,6,0,TAMAN SAGA ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",2.0,588,76,122,389,587,1,0,TAMAN SAGA ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",3.0,578,82,83,410,575,3,0,TAMAN SAGA ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",4.0,528,60,73,393,526,2,0,TAMAN SAGA ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",5.0,502,56,46,398,500,2,0,TAMAN SAGA ,UNDI BIASA
10,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",6.0,527,84,70,372,526,1,0,TAMAN SAGA ,UNDI BIASA
11,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",1.0,312,50,73,186,309,3,0,TAMAN SULTAN ABDUL HALIM ,UNDI BIASA
11,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",2.0,485,70,95,318,483,2,0,TAMAN SULTAN ABDUL HALIM ,UNDI BIASA
11,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",3.0,434,58,61,314,433,1,0,TAMAN SULTAN ABDUL HALIM ,UNDI BIASA
11,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",4.0,444,128,69,247,444,0,0,TAMAN SULTAN ABDUL HALIM ,UNDI BIASA
12,009/14/11,"KOLEJ SULTAN ABDUL HAMID, ALOR SETAR",1.0,313,23,50,237,310,3,0,JALAN LANGGAR ,UNDI BIASA
13,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",1.0,247,38,96,106,240,7,0,KAMPUNG TANJONG BENDAHARA ,UNDI BIASA
13,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",2.0,511,99,135,270,504,7,0,KAMPUNG TANJONG BENDAHARA ,UNDI BIASA
13,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",3.0,503,112,112,269,493,10,0,KAMPUNG TANJONG BENDAHARA ,UNDI BIASA
13,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",4.0,458,122,79,255,456,2,0,KAMPUNG TANJONG BENDAHARA ,UNDI BIASA
14,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",1.0,261,42,97,117,256,5,0,KERIANG PULAU ,UNDI BIASA
14,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",2.0,533,100,188,220,508,25,0,KERIANG PULAU ,UNDI BIASA
14,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",3.0,492,146,161,183,490,2,0,KERIANG PULAU ,UNDI BIASA
14,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",4.0,496,190,113,190,493,3,0,KERIANG PULAU ,UNDI BIASA
15,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",1.0,291,62,123,95,280,11,0,SELARONG ,UNDI BIASA
15,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",2.0,563,94,172,292,558,5,0,SELARONG ,UNDI BIASA
15,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",3.0,511,96,101,311,508,3,0,SELARONG ,UNDI BIASA
15,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",4.0,476,103,101,272,476,0,0,SELARONG ,UNDI BIASA
15,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",5.0,527,161,99,267,527,0,0,SELARONG ,UNDI BIASA
16,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",1.0,281,54,103,118,275,6,0,TANDOP ,UNDI BIASA
16,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",2.0,373,93,88,187,368,4,1,TANDOP ,UNDI BIASA
16,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",3.0,329,92,67,170,329,0,0,TANDOP ,UNDI BIASA
