Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ OMAR BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL MUTHALIB BIN HARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ASMIRUL ANUAR B. ARIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,636,155,177,157,489,47,100,UNDI POS,UNDI POS
2,010/16/00,"DEWAN PANGSAPURI POLIS, JALAN KOLAM AIR, ALOR SETAR",1.0,19,3,11,5,19,0,0,UNDI AWAL,UNDI AWAL
3,010/16/01,"SEKOLAH KEBANGSAAN HJ ABDULLAH SADUN, ALOR JANGGUS",1.0,301,65,113,114,292,8,1,KUAR JAWA ,UNDI BIASA
3,010/16/01,"SEKOLAH KEBANGSAAN HJ ABDULLAH SADUN, ALOR JANGGUS",2.0,575,196,170,202,568,7,0,KUAR JAWA ,UNDI BIASA
4,010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",1.0,242,76,112,40,228,14,0,KUBANG JAWI ,UNDI BIASA
4,010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",2.0,529,149,245,120,514,15,0,KUBANG JAWI ,UNDI BIASA
4,010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",3.0,502,153,174,169,496,6,0,KUBANG JAWI ,UNDI BIASA
4,010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",4.0,451,154,112,180,446,5,0,KUBANG JAWI ,UNDI BIASA
4,010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",5.0,445,147,130,165,442,3,0,KUBANG JAWI ,UNDI BIASA
5,010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",1.0,292,104,92,81,277,15,0,KUBANG JAMBU ,UNDI BIASA
5,010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",2.0,404,139,139,120,398,6,0,KUBANG JAMBU ,UNDI BIASA
5,010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",3.0,379,168,95,112,375,4,0,KUBANG JAMBU ,UNDI BIASA
6,010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",1.0,275,90,88,90,268,7,0,KUBANG ROTAN ,UNDI BIASA
6,010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",2.0,622,212,153,252,617,5,0,KUBANG ROTAN ,UNDI BIASA
6,010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",3.0,567,224,138,202,564,3,0,KUBANG ROTAN ,UNDI BIASA
6,010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",4.0,535,209,112,212,533,2,0,KUBANG ROTAN ,UNDI BIASA
