Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL HALIM BIN SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. ISMAIL SALLEH Jumlah undian DATO' DR. ISMAIL SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,611,178,180,117,475,56,80,UNDI POS,UNDI POS
2,010/17/00,"DEWAN PANGSAPURI POLIS, JALAN KOLAM AIR, ALOR SETAR",1.0,10,0,10,0,10,0,0,UNDI AWAL,UNDI AWAL
3,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",1.0,281,60,104,115,279,2,0,TELOK KECHAI ,UNDI BIASA
3,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",2.0,438,143,121,170,434,4,0,TELOK KECHAI ,UNDI BIASA
3,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",3.0,405,121,62,222,405,0,0,TELOK KECHAI ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",1.0,273,61,84,123,268,5,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",2.0,524,124,118,275,517,7,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",3.0,532,149,106,276,531,1,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",4.0,496,116,80,300,496,0,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",5.0,470,120,71,278,469,1,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",6.0,456,127,58,269,454,2,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",7.0,452,116,52,284,452,0,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",8.0,444,111,42,291,444,0,0,TAMAN SOPHIA ,UNDI BIASA
4,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",9.0,475,101,52,322,475,0,0,TAMAN SOPHIA ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",1.0,254,105,96,48,249,4,1,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",2.0,609,169,216,198,583,26,0,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",3.0,614,170,172,267,609,5,0,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",4.0,588,216,111,254,581,6,1,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",5.0,557,179,103,271,553,4,0,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",6.0,513,155,87,270,512,1,0,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",7.0,515,179,82,251,512,3,0,TAMAN BERSATU ,UNDI BIASA
5,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",8.0,549,195,91,259,545,4,0,TAMAN BERSATU ,UNDI BIASA
6,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",1.0,276,77,115,70,262,14,0,TELOK BAGAN ,UNDI BIASA
6,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",2.0,608,189,193,220,602,6,0,TELOK BAGAN ,UNDI BIASA
6,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",3.0,545,226,116,198,540,5,0,TELOK BAGAN ,UNDI BIASA
6,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",4.0,563,193,111,251,555,8,0,TELOK BAGAN ,UNDI BIASA
7,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",1.0,290,132,91,60,283,7,0,KEBUN PINANG ,UNDI BIASA
7,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",2.0,417,210,75,132,417,0,0,KEBUN PINANG ,UNDI BIASA
8,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",1.0,286,102,118,42,262,24,0,TEBENGAU ,UNDI BIASA
8,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",2.0,494,211,195,86,492,2,0,TEBENGAU ,UNDI BIASA
8,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",3.0,468,207,161,96,464,4,0,TEBENGAU ,UNDI BIASA
8,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",4.0,445,206,122,114,442,3,0,TEBENGAU ,UNDI BIASA
9,010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",1.0,303,81,140,76,297,6,0,KAMPUNG BENUA ,UNDI BIASA
9,010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",2.0,340,108,105,124,337,3,0,KAMPUNG BENUA ,UNDI BIASA
10,010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN, SIMPANG EMPAT",1.0,282,8,32,236,276,6,0,TAMAN CENGKEH ,UNDI BIASA
