Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RAZAK KHAMIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SAIFUL SYAZWAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,525,60,166,200,426,23,76,UNDI POS,UNDI POS
2,011/19/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH PENDANG",1.0,20,2,2,16,20,0,0,UNDI AWAL,UNDI AWAL
3,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",1.0,278,48,102,117,267,11,0,KUBOR PANJANG ,UNDI BIASA
3,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",2.0,504,130,149,200,479,25,0,KUBOR PANJANG ,UNDI BIASA
3,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",3.0,474,128,180,164,472,2,0,KUBOR PANJANG ,UNDI BIASA
3,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",4.0,407,119,178,109,406,1,0,KUBOR PANJANG ,UNDI BIASA
3,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",5.0,389,100,164,123,387,2,0,KUBOR PANJANG ,UNDI BIASA
4,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",1.0,296,48,95,134,277,19,0,KAMPUNG PERUPOK ,UNDI BIASA
4,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",2.0,516,106,154,246,506,10,0,KAMPUNG PERUPOK ,UNDI BIASA
4,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",3.0,510,139,185,179,503,7,0,KAMPUNG PERUPOK ,UNDI BIASA
4,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",4.0,454,129,169,155,453,1,0,KAMPUNG PERUPOK ,UNDI BIASA
5,011/19/03,"DEWAN PENDIDIKAN AGAMA BUDDHA WATT SIAM KAMPUNG CHINA, PENDANG",1.0,308,155,19,124,298,10,0,KAMPUNG CHINA ,UNDI BIASA
