Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD AZAM BIN ABD SAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAHRAN DATO' ABDULLAH (LAH PAK),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' NORMA BINTI AWANG Jumlah undian DATO' NORMA BINTI AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,534,235,63,162,460,26,48,UNDI POS,UNDI POS
2,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",1.0,290,153,26,104,283,7,0,MATANG BULOH ,UNDI BIASA
2,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",2.0,540,303,168,65,536,4,0,MATANG BULOH ,UNDI BIASA
2,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",3.0,495,293,66,132,491,4,0,MATANG BULOH ,UNDI BIASA
2,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",4.0,468,276,68,124,468,0,0,MATANG BULOH ,UNDI BIASA
3,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",1.0,323,184,30,103,317,6,0,SUNGAI DEDAP ,UNDI BIASA
3,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",2.0,506,312,70,121,503,3,0,SUNGAI DEDAP ,UNDI BIASA
3,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",3.0,466,317,47,97,461,5,0,SUNGAI DEDAP ,UNDI BIASA
3,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",4.0,467,320,59,85,464,3,0,SUNGAI DEDAP ,UNDI BIASA
4,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",1.0,291,184,35,67,286,5,0,GELAM TIGA ,UNDI BIASA
4,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",2.0,432,271,66,93,430,2,0,GELAM TIGA ,UNDI BIASA
4,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",3.0,411,282,60,67,409,2,0,GELAM TIGA ,UNDI BIASA
5,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",4.0,309,257,10,26,293,16,0,BUKIT CHORAS ,UNDI BIASA
5,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",5.0,543,459,40,44,543,0,0,BUKIT CHORAS ,UNDI BIASA
6,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",1.0,289,218,29,39,286,3,0,BUKIT BESAR ,UNDI BIASA
6,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",2.0,604,460,71,64,595,9,0,BUKIT BESAR ,UNDI BIASA
6,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",3.0,555,417,64,74,555,0,0,BUKIT BESAR ,UNDI BIASA
6,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",4.0,544,427,69,47,543,1,0,BUKIT BESAR ,UNDI BIASA
7,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",1.0,305,166,50,83,299,6,0,SIMPANG TIGA LUAR ,UNDI BIASA
7,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",2.0,569,307,94,164,565,4,0,SIMPANG TIGA LUAR ,UNDI BIASA
7,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",3.0,528,345,75,107,527,1,0,SIMPANG TIGA LUAR ,UNDI BIASA
8,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",1.0,289,49,123,109,281,8,0,SIMPANG TIGA ,UNDI BIASA
8,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",2.0,442,128,184,129,441,1,0,SIMPANG TIGA ,UNDI BIASA
8,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",3.0,427,140,150,135,425,2,0,SIMPANG TIGA ,UNDI BIASA
9,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",1.0,322,141,46,128,315,7,0,SELENGKOH ,UNDI BIASA
9,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",2.0,343,158,64,120,342,1,0,SELENGKOH ,UNDI BIASA
9,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",3.0,335,143,72,119,334,1,0,SELENGKOH ,UNDI BIASA
10,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",1.0,294,115,36,138,289,5,0,SUNGAI DAUN ,UNDI BIASA
10,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",2.0,462,197,80,179,456,6,0,SUNGAI DAUN ,UNDI BIASA
10,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",3.0,437,231,75,127,433,4,0,SUNGAI DAUN ,UNDI BIASA
10,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",4.0,420,218,66,135,419,1,0,SUNGAI DAUN ,UNDI BIASA
11,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1.0,301,84,91,121,296,5,0,SUNGAI LIMAU ,UNDI BIASA
11,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2.0,400,140,104,152,396,3,1,SUNGAI LIMAU ,UNDI BIASA
11,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3.0,376,161,105,108,374,1,1,SUNGAI LIMAU ,UNDI BIASA
12,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1.0,304,123,45,131,299,5,0,KABU SEPULOH ,UNDI BIASA
12,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2.0,524,230,117,173,520,4,0,KABU SEPULOH ,UNDI BIASA
12,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3.0,493,249,101,142,492,1,0,KABU SEPULOH ,UNDI BIASA
12,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",4.0,496,285,85,120,490,6,0,KABU SEPULOH ,UNDI BIASA
13,012/20/12,"SEKOLAH KEBANGSAAN SUNGAI KERING, KAMPUNG SUNGAI KERING",1.0,343,114,26,200,340,3,0,SUNGAI KERING ,UNDI BIASA
14,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",1.0,306,135,38,132,305,1,0,SEDAKA ,UNDI BIASA
14,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",2.0,541,281,79,179,539,1,1,SEDAKA ,UNDI BIASA
14,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",3.0,520,290,78,136,504,16,0,SEDAKA ,UNDI BIASA
15,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",4.0,299,130,33,121,284,15,0,ULU SEDAKA ,UNDI BIASA
15,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",5.0,547,299,81,163,543,4,0,ULU SEDAKA ,UNDI BIASA
15,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",6.0,501,306,85,108,499,1,1,ULU SEDAKA ,UNDI BIASA
16,012/20/15,"SEKOLAH MENENGAH KEBANGSAAN  BATU 17, PADANG LUMAT",1.0,305,143,46,113,302,3,0,PADANG LUMAT ,UNDI BIASA
16,012/20/15,"SEKOLAH MENENGAH KEBANGSAAN  BATU 17, PADANG LUMAT",2.0,410,203,90,106,399,11,0,PADANG LUMAT ,UNDI BIASA
17,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",1.0,300,111,72,111,294,6,0,BATU ENAM BELAS ,UNDI BIASA
17,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",2.0,441,171,112,153,436,5,0,BATU ENAM BELAS ,UNDI BIASA
17,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",3.0,400,228,104,68,400,0,0,BATU ENAM BELAS ,UNDI BIASA
