Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SAFFUAN BIN SABARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSODDAK HJ AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,480,106,123,162,391,26,63,UNDI POS,UNDI POS
2,012/21/00,"DEWAN DATO ZAMRI, IBU PEJABAT POLIS DAERAH YAN",1.0,135,11,20,96,127,8,0,UNDI AWAL,UNDI AWAL
3,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",1.0,263,98,72,87,257,6,0,PONDOK HAJI MAJID ,UNDI BIASA
3,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",2.0,410,167,122,115,404,6,0,PONDOK HAJI MAJID ,UNDI BIASA
3,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",3.0,385,138,163,82,383,2,0,PONDOK HAJI MAJID ,UNDI BIASA
3,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",4.0,380,126,165,88,379,1,0,PONDOK HAJI MAJID ,UNDI BIASA
4,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",1.0,277,161,55,57,273,4,0,TAMAN SRI WANGSA ,UNDI BIASA
4,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",2.0,541,263,148,129,540,1,0,TAMAN SRI WANGSA ,UNDI BIASA
4,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",3.0,490,230,170,88,488,2,0,TAMAN SRI WANGSA ,UNDI BIASA
4,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",4.0,499,223,175,101,499,0,0,TAMAN SRI WANGSA ,UNDI BIASA
5,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",1.0,260,65,83,108,256,4,0,PONDOK HAJI HUSSEIN ,UNDI BIASA
5,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",2.0,416,129,149,134,412,4,0,PONDOK HAJI HUSSEIN ,UNDI BIASA
5,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",3.0,382,126,156,86,368,14,0,PONDOK HAJI HUSSEIN ,UNDI BIASA
5,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",4.0,391,113,183,90,386,5,0,PONDOK HAJI HUSSEIN ,UNDI BIASA
6,012/21/04,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI ENG, TEROI",1.0,306,52,108,137,297,9,0,TITI TERAS ,UNDI BIASA
6,012/21/04,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI ENG, TEROI",2.0,357,79,166,109,354,3,0,TITI TERAS ,UNDI BIASA
7,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",1.0,268,78,50,131,259,9,0,TEROI ,UNDI BIASA
7,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",2.0,592,228,152,211,591,1,0,TEROI ,UNDI BIASA
7,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",3.0,527,206,178,141,525,2,0,TEROI ,UNDI BIASA
8,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",1.0,297,61,98,129,288,9,0,TITI SERONG ,UNDI BIASA
8,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",2.0,365,94,127,140,361,4,0,TITI SERONG ,UNDI BIASA
8,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",3.0,353,91,159,94,344,9,0,TITI SERONG ,UNDI BIASA
9,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",1.0,297,44,88,156,288,9,0,KUALA YAN KECHIL ,UNDI BIASA
9,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",2.0,331,68,134,124,326,5,0,KUALA YAN KECHIL ,UNDI BIASA
9,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",3.0,298,80,120,92,292,6,0,KUALA YAN KECHIL ,UNDI BIASA
10,012/21/08,"SEKOLAH KEBANGSAAN YAN KECHIL, YAN",1.0,277,117,51,108,276,1,0,PEKAN SUNGAI YAN ,UNDI BIASA
