Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL MUZAINI BIN AZIZAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' BOEY CHIN GAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PALANIAPPAN A/L MARIMUTHU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,447,101,138,117,0,356,36,55,UNDI POS,UNDI POS
2,012/22/00,"BILIK GERAKAN KEM HOBART, UNIT LAPANG SASAR",1.0,54,16,27,11,0,54,0,0,UNDI AWAL ,UNDI AWAL
2,012/22/00,"BILIK MAKLUMAT BALAI, BALAI POLIS GURUN",1.0,59,6,8,44,0,58,1,0,UNDI AWAL ,UNDI AWAL
3,012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",1.0,257,143,17,93,0,253,4,0,PEKAN JENIANG ,UNDI BIASA
3,012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",2.0,346,191,70,83,0,344,2,0,PEKAN JENIANG ,UNDI BIASA
4,012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",1.0,276,63,60,146,1,270,6,0,KAMPUNG JENIANG ,UNDI BIASA
4,012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",2.0,496,185,181,126,0,492,4,0,KAMPUNG JENIANG ,UNDI BIASA
5,012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",1.0,299,39,99,143,0,281,18,0,BATU SEPULOH ,UNDI BIASA
5,012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",2.0,453,110,173,165,1,449,3,1,BATU SEPULOH ,UNDI BIASA
5,012/22/03,"SEKOLAH JENIS KEBANGSAAN (CINA) JENIANG, JENIANG",3.0,425,133,181,108,0,422,3,0,BATU SEPULOH ,UNDI BIASA
6,012/22/04,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",3.0,287,68,46,148,0,262,25,0,BATU 9 ,UNDI BIASA
6,012/22/04,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",4.0,272,66,97,104,0,267,5,0,BATU 9 ,UNDI BIASA
7,012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",1.0,269,173,13,68,0,254,15,0,PADANG LEMBU ,UNDI BIASA
7,012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",2.0,609,354,33,209,2,598,11,0,PADANG LEMBU ,UNDI BIASA
7,012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",3.0,571,358,61,140,0,559,12,0,PADANG LEMBU ,UNDI BIASA
7,012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",4.0,548,330,99,111,2,542,6,0,PADANG LEMBU ,UNDI BIASA
7,012/22/05,"SEKOLAH JENIS KEBANGSAAN (CINA) MAH WAH PADANG LEMBU, GURUN",5.0,529,237,160,127,0,524,5,0,PADANG LEMBU ,UNDI BIASA
8,012/22/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YANG KAO, GUAR CHEMPEDAK",1.0,437,67,170,194,0,431,6,0,SUNGAI ROTAN ,UNDI BIASA
9,012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",1.0,269,35,69,127,1,232,37,0,GURUN ,UNDI BIASA
9,012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",2.0,411,127,171,111,0,409,2,0,GURUN ,UNDI BIASA
9,012/22/07,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",3.0,389,129,178,81,0,388,0,1,GURUN ,UNDI BIASA
10,012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",4.0,282,73,82,122,0,277,5,0,PULAU CHENGAI ,UNDI BIASA
10,012/22/08,"SEKOLAH KEBANGSAAN GURUN (PUSAT), GURUN",5.0,343,101,128,107,1,337,6,0,PULAU CHENGAI ,UNDI BIASA
