Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAHADZIR BIN ABDUL HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD. NAZRI BIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMMAD SANUSI MD NOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,473,156,49,171,376,37,60,UNDI POS,UNDI POS
2,013/24/00,"PUSAT LATIHAN, IBU PEJABAT POLIS DAERAH SIK",1.0,9,8,1,0,9,0,0,UNDI AWAL,UNDI AWAL
3,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",1.0,314,133,92,79,304,10,0,PADANG CHICHAK ,UNDI BIASA
3,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",2.0,509,173,155,170,498,11,0,PADANG CHICHAK ,UNDI BIASA
3,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",3.0,469,135,134,197,466,3,0,PADANG CHICHAK ,UNDI BIASA
4,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",1.0,309,146,35,115,296,13,0,KAMPUNG BETONG ,UNDI BIASA
4,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",2.0,555,264,74,202,540,15,0,KAMPUNG BETONG ,UNDI BIASA
4,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",3.0,510,234,72,194,500,9,1,KAMPUNG BETONG ,UNDI BIASA
4,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",4.0,489,171,88,228,487,2,0,KAMPUNG BETONG ,UNDI BIASA
4,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",5.0,460,199,69,189,457,3,0,KAMPUNG BETONG ,UNDI BIASA
5,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",1.0,287,131,39,105,275,12,0,KOTA BUKIT ,UNDI BIASA
5,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",2.0,487,194,81,199,474,13,0,KOTA BUKIT ,UNDI BIASA
