Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JASPAL SINGH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SUMMUGAM A/L RENGASAMY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. MOHD ALI BIN SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,846,225,160,280,665,51,130,UNDI POS,UNDI POS
2,014/25/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1.0,365,222,37,105,364,1,0,UNDI AWAL,UNDI AWAL
3,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",1.0,307,144,66,86,296,11,0,KUALA SIN ,UNDI BIASA
3,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",2.0,538,185,133,216,534,4,0,KUALA SIN ,UNDI BIASA
4,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",1.0,295,165,60,49,274,21,0,KAMPUNG SUNGKAP ,UNDI BIASA
4,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",2.0,355,134,70,149,353,2,0,KAMPUNG SUNGKAP ,UNDI BIASA
5,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",1.0,265,119,115,16,250,15,0,BUKIT LEMBU ,UNDI BIASA
5,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",2.0,359,161,160,30,351,8,0,BUKIT LEMBU ,UNDI BIASA
5,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",3.0,327,142,141,39,322,5,0,BUKIT LEMBU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",1.0,261,131,97,30,258,3,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",2.0,616,270,192,148,610,6,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",3.0,632,212,203,186,601,31,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",4.0,610,190,215,197,602,8,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",5.0,609,135,242,227,604,5,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",6.0,583,140,254,182,576,5,2,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",7.0,515,111,261,142,514,1,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",8.0,485,117,228,138,483,2,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",9.0,503,122,220,155,497,6,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",10.0,503,98,208,195,501,2,0,TAMAN BANDAR BARU ,UNDI BIASA
6,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",11.0,534,112,162,255,529,5,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",1.0,266,66,179,11,256,10,0,SUNGAI LALANG ,UNDI BIASA
7,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",2.0,479,116,311,47,474,5,0,SUNGAI LALANG ,UNDI BIASA
7,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",3.0,501,81,333,79,493,8,0,SUNGAI LALANG ,UNDI BIASA
7,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",4.0,426,79,291,51,421,5,0,SUNGAI LALANG ,UNDI BIASA
7,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",5.0,417,54,262,98,414,2,1,SUNGAI LALANG ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",1.0,295,92,108,93,293,2,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",2.0,570,201,136,225,562,8,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",3.0,551,196,172,182,550,1,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",4.0,510,145,218,142,505,5,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",5.0,460,95,188,175,458,2,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",6.0,446,90,150,203,443,3,0,TAMAN DESA AMAN ,UNDI BIASA
8,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",7.0,481,89,159,231,479,2,0,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",1.0,291,74,195,16,285,6,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
9,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",2.0,622,98,418,103,619,3,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
9,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",3.0,607,57,400,150,607,0,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
9,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",4.0,535,35,395,105,535,0,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
9,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",5.0,563,38,339,182,559,4,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
10,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",1.0,296,74,148,71,293,3,0,TASEK APONG ,UNDI BIASA
10,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",2.0,545,118,318,108,544,1,0,TASEK APONG ,UNDI BIASA
10,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",3.0,486,55,331,96,482,4,0,TASEK APONG ,UNDI BIASA
10,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",4.0,474,59,282,132,473,1,0,TASEK APONG ,UNDI BIASA
10,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",5.0,493,65,307,117,489,3,1,TASEK APONG ,UNDI BIASA
11,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",1.0,245,59,168,11,238,7,0,AIR MENIDEH ,UNDI BIASA
11,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",2.0,506,98,375,27,500,6,0,AIR MENIDEH ,UNDI BIASA
11,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",3.0,472,58,376,35,469,3,0,AIR MENIDEH ,UNDI BIASA
11,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",4.0,444,50,329,64,443,1,0,AIR MENIDEH ,UNDI BIASA
12,014/25/10,"SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI, SUNGAI PETANI",1.0,393,91,250,50,391,2,0,JALAN BADLISHAH ,UNDI BIASA
13,014/25/11,INSTITUT KEMAHIRAN MARA SUNGAI PETANI,1.0,295,109,97,85,291,4,0,TAMAN PERUDA ,UNDI BIASA
13,014/25/11,INSTITUT KEMAHIRAN MARA SUNGAI PETANI,2.0,557,131,263,159,553,4,0,TAMAN PERUDA ,UNDI BIASA
13,014/25/11,INSTITUT KEMAHIRAN MARA SUNGAI PETANI,3.0,532,93,285,152,530,2,0,TAMAN PERUDA ,UNDI BIASA
13,014/25/11,INSTITUT KEMAHIRAN MARA SUNGAI PETANI,4.0,474,71,205,196,472,2,0,TAMAN PERUDA ,UNDI BIASA
13,014/25/11,INSTITUT KEMAHIRAN MARA SUNGAI PETANI,5.0,505,68,233,204,505,0,0,TAMAN PERUDA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",1.0,298,109,109,76,294,4,0,TAMAN RIA UTARA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",2.0,533,128,199,201,528,4,1,TAMAN RIA UTARA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",3.0,502,73,286,136,495,5,2,TAMAN RIA UTARA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",4.0,450,73,200,175,448,1,1,TAMAN RIA UTARA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",5.0,448,51,182,214,447,1,0,TAMAN RIA UTARA ,UNDI BIASA
14,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",6.0,447,42,169,235,446,1,0,TAMAN RIA UTARA ,UNDI BIASA
15,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",1.0,273,100,150,18,268,5,0,UNITED PETANI ,UNDI BIASA
15,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",2.0,392,102,239,41,382,10,0,UNITED PETANI ,UNDI BIASA
15,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",3.0,339,38,218,82,338,1,0,UNITED PETANI ,UNDI BIASA
16,014/25/14,"SEKOLAH KEBANGSAAN PATANI PARA, SUNGAI PETANI",1.0,208,82,87,10,179,29,0,PETANI PARA ,UNDI BIASA
17,014/25/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PALANISAMY KUMARAN, BAHAGIAN SUNGAI",1.0,296,106,139,30,275,20,1,BUKIT RUSA ,UNDI BIASA
