Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ANUAR BIN ABDUL HAMID (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN HAJI ANNUAR BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HANIF BIN GHAZALI Jumlah undian USTAZ HANIF BIN GHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,963,135,347,272,754,108,101,UNDI POS,UNDI POS
2,014/26/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1.0,41,9,21,11,41,0,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",1.0,455,124,188,135,447,8,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",2.0,477,110,189,135,434,43,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",3.0,464,98,180,180,458,6,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",4.0,464,111,137,205,453,11,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",5.0,478,125,207,143,475,3,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",6.0,451,92,198,145,435,16,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",7.0,407,94,170,129,393,14,0,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",8.0,422,69,177,173,419,2,1,UNDI AWAL ,UNDI AWAL
2,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",9.0,416,71,191,150,412,3,1,UNDI AWAL ,UNDI AWAL
3,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",1.0,274,51,127,76,254,19,1,BUJANG ,UNDI BIASA
3,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",2.0,526,83,209,215,507,19,0,BUJANG ,UNDI BIASA
3,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",3.0,512,97,166,248,511,1,0,BUJANG ,UNDI BIASA
3,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",4.0,470,119,107,240,466,4,0,BUJANG ,UNDI BIASA
3,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",5.0,448,109,106,233,448,0,0,BUJANG ,UNDI BIASA
4,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",1.0,293,84,119,83,286,7,0,PEKAN SABTU MERBOK ,UNDI BIASA
4,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",2.0,369,143,104,116,363,6,0,PEKAN SABTU MERBOK ,UNDI BIASA
4,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",3.0,330,110,74,146,330,0,0,PEKAN SABTU MERBOK ,UNDI BIASA
5,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",1.0,309,20,143,139,302,6,1,SIMPANG TIGA PASIR ,UNDI BIASA
5,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",2.0,537,43,165,310,518,8,11,SIMPANG TIGA PASIR ,UNDI BIASA
5,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",3.0,504,69,100,332,501,3,0,SIMPANG TIGA PASIR ,UNDI BIASA
6,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",1.0,302,57,92,144,293,9,0,PEKAN MERBOK ,UNDI BIASA
6,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",2.0,468,87,127,252,466,2,0,PEKAN MERBOK ,UNDI BIASA
6,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",3.0,438,56,90,289,435,3,0,PEKAN MERBOK ,UNDI BIASA
7,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",1.0,299,21,158,95,274,25,0,KAMPUNG PASIR ,UNDI BIASA
7,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",2.0,336,38,148,147,333,3,0,KAMPUNG PASIR ,UNDI BIASA
7,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",3.0,315,51,111,151,313,2,0,KAMPUNG PASIR ,UNDI BIASA
8,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",1.0,306,43,164,84,291,15,0,KAMPUNG HUMA ,UNDI BIASA
8,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",2.0,360,79,147,124,350,10,0,KAMPUNG HUMA ,UNDI BIASA
8,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",3.0,341,73,126,137,336,5,0,KAMPUNG HUMA ,UNDI BIASA
9,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",1.0,269,123,108,34,265,4,0,TANJONG DAWAI ,UNDI BIASA
9,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",2.0,475,212,156,78,446,29,0,TANJONG DAWAI ,UNDI BIASA
