Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ROSLI YUSOF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ FADZLI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO ALI BIN YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,657,104,214,189,507,0,150,UNDI POS,UNDI POS
2,015/27/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1.0,34,3,7,23,33,1,0,UNDI AWAL,UNDI AWAL
3,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",1.0,286,28,117,131,276,10,0,BUKIT KECHIK ,UNDI BIASA
3,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",2.0,576,65,261,241,567,9,0,BUKIT KECHIK ,UNDI BIASA
3,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",3.0,534,74,273,181,528,6,0,BUKIT KECHIK ,UNDI BIASA
3,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",4.0,501,67,276,156,499,2,0,BUKIT KECHIK ,UNDI BIASA
4,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",1.0,350,31,140,128,299,13,38,BUKIT MERIAM ,UNDI BIASA
4,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",2.0,346,46,198,99,343,2,1,BUKIT MERIAM ,UNDI BIASA
4,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",3.0,306,52,174,75,301,5,0,BUKIT MERIAM ,UNDI BIASA
5,015/27/03,MAKTAB MAHMUD KUALA MUDA,1.0,296,36,157,97,290,6,0,SINTOK BUGIS ,UNDI BIASA
