Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR ROBERT LING,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIK GU HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NUR HIDAYAH FOO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,526,112,2,139,175,428,6,92,UNDI POS,UNDI POS
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",1.0,263,150,0,82,27,259,4,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",2.0,584,293,2,181,100,576,8,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",3.0,589,286,4,170,120,580,9,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",4.0,573,269,1,151,146,567,6,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",5.0,587,315,1,133,136,585,2,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",6.0,551,324,1,118,98,541,10,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",7.0,555,352,2,99,99,552,3,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",8.0,538,355,1,102,75,533,5,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",9.0,527,345,2,88,90,525,2,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",10.0,501,319,2,77,100,498,2,1,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",11.0,486,278,2,68,136,484,2,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",12.0,500,292,0,64,138,494,6,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",13.0,497,244,3,70,180,497,0,0,TAMAN RIA JAYA ,UNDI BIASA
2,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",14.0,532,230,2,85,213,530,2,0,TAMAN RIA JAYA ,UNDI BIASA
3,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",1.0,245,190,0,43,11,244,1,0,TAMAN MUTIARA ,UNDI BIASA
3,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",2.0,550,460,1,63,21,545,5,0,TAMAN MUTIARA ,UNDI BIASA
3,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",3.0,541,455,0,48,32,535,5,1,TAMAN MUTIARA ,UNDI BIASA
3,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",4.0,520,428,1,39,48,516,4,0,TAMAN MUTIARA ,UNDI BIASA
4,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",1.0,253,209,3,37,3,252,1,0,PEKAN LAMA ,UNDI BIASA
4,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",2.0,444,385,0,50,5,440,3,1,PEKAN LAMA ,UNDI BIASA
4,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",3.0,440,395,0,37,6,438,2,0,PEKAN LAMA ,UNDI BIASA
4,015/29/03,"SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN LAMA, SUNGAI PETANI",4.0,426,392,1,26,4,423,3,0,PEKAN LAMA ,UNDI BIASA
5,015/29/04,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",1.0,313,27,0,131,140,298,15,0,PADANG BULOH ,UNDI BIASA
5,015/29/04,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",2.0,582,73,3,150,338,564,18,0,PADANG BULOH ,UNDI BIASA
6,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",3.0,310,42,1,152,108,303,7,0,KAMPUNG SIDAM ,UNDI BIASA
6,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",4.0,468,83,1,132,247,463,5,0,KAMPUNG SIDAM ,UNDI BIASA
6,015/29/05,"SEKOLAH KEBANGSAAN SIDAM KIRI, PADANG SERAI",5.0,433,76,1,104,252,433,0,0,KAMPUNG SIDAM ,UNDI BIASA
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",1.0,229,150,2,55,20,227,2,0,KAMPUNG RAJA ,UNDI BIASA
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",2.0,575,347,1,128,93,569,6,0,KAMPUNG RAJA ,UNDI BIASA
