Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU ABD NASIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD RAHIM KECHIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD NOOR BIN MOHD AMIN (HAJI NOQ),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,787,246,86,280,612,89,86,UNDI POS,UNDI POS
2,016/30/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH BALING",1.0,266,32,19,191,242,23,1,UNDI AWAL,UNDI AWAL
3,016/30/01,"TAMAN UMMI KEDA KAMPUNG BATU 8, TANJUNG PARI",1.0,313,103,16,183,302,11,0,KAMPUNG BATU LAPAN ,UNDI BIASA
3,016/30/01,"TAMAN UMMI KEDA KAMPUNG BATU 8, TANJUNG PARI",2.0,467,242,39,185,466,1,0,KAMPUNG BATU LAPAN ,UNDI BIASA
4,016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",1.0,314,158,8,135,301,13,0,TANJONG PARI ,UNDI BIASA
4,016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",2.0,419,242,29,145,416,3,0,TANJONG PARI ,UNDI BIASA
4,016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",3.0,392,249,23,120,392,0,0,TANJONG PARI ,UNDI BIASA
5,016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",1.0,310,179,15,103,297,13,0,KAMPUNG WENG ,UNDI BIASA
5,016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",2.0,460,287,37,133,457,3,0,KAMPUNG WENG ,UNDI BIASA
5,016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",3.0,426,317,31,75,423,3,0,KAMPUNG WENG ,UNDI BIASA
6,016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",1.0,319,189,9,107,305,14,0,KAMPUNG SURAU ,UNDI BIASA
6,016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",2.0,567,326,33,199,558,9,0,KAMPUNG SURAU ,UNDI BIASA
6,016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",3.0,521,353,42,124,519,2,0,KAMPUNG SURAU ,UNDI BIASA
6,016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",4.0,511,357,26,125,508,3,0,KAMPUNG SURAU ,UNDI BIASA
7,016/30/05,"TADIKA KEDA TAMAN UMMI, KAMPUNG ULU LEGONG, BALING",1.0,509,173,29,302,504,4,1,KAMPUNG LEGONG ,UNDI BIASA
8,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",1.0,293,98,33,152,283,10,0,KAMPUNG LALANG ,UNDI BIASA
8,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",2.0,451,207,66,173,446,5,0,KAMPUNG LALANG ,UNDI BIASA
8,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",3.0,407,229,46,130,405,2,0,KAMPUNG LALANG ,UNDI BIASA
8,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",4.0,403,210,41,150,401,2,0,KAMPUNG LALANG ,UNDI BIASA
9,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",1.0,321,161,17,135,313,8,0,KAMPUNG LUAR ,UNDI BIASA
9,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",2.0,390,231,38,112,381,9,0,KAMPUNG LUAR ,UNDI BIASA
9,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",3.0,383,258,36,86,380,3,0,KAMPUNG LUAR ,UNDI BIASA
10,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",1.0,312,119,17,162,298,14,0,KAMPUNG BANDAR ,UNDI BIASA
10,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",2.0,471,241,29,196,466,5,0,KAMPUNG BANDAR ,UNDI BIASA
10,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",3.0,408,232,33,138,403,5,0,KAMPUNG BANDAR ,UNDI BIASA
10,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",4.0,398,211,42,142,395,3,0,KAMPUNG BANDAR ,UNDI BIASA
11,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",1.0,332,92,20,202,314,18,0,TANDOP ,UNDI BIASA
11,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",2.0,480,187,40,239,466,14,0,TANDOP ,UNDI BIASA
11,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",3.0,436,199,33,197,429,7,0,TANDOP ,UNDI BIASA
12,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",1.0,308,55,34,212,301,7,0,BONGOR MESJID ,UNDI BIASA
12,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",2.0,471,166,88,213,467,3,1,BONGOR MESJID ,UNDI BIASA
12,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",3.0,422,152,96,170,418,3,1,BONGOR MESJID ,UNDI BIASA
13,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",4.0,318,61,46,200,307,11,0,BONGOR SEKOLAH ,UNDI BIASA
13,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",5.0,306,105,48,151,304,2,0,BONGOR SEKOLAH ,UNDI BIASA
13,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",6.0,294,106,62,124,292,2,0,BONGOR SEKOLAH ,UNDI BIASA
14,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",1.0,320,39,42,223,304,16,0,KAMPUNG HAJI ABBAS ,UNDI BIASA
14,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",2.0,307,79,56,172,307,0,0,KAMPUNG HAJI ABBAS ,UNDI BIASA
14,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",3.0,316,104,76,134,314,2,0,KAMPUNG HAJI ABBAS ,UNDI BIASA
15,016/30/13,"DEWAN ORANG RAMAI KAMPUNG RAMBONG, BALING",1.0,321,173,24,114,311,10,0,RAMBONG BALING ,UNDI BIASA
15,016/30/13,"DEWAN ORANG RAMAI KAMPUNG RAMBONG, BALING",2.0,454,283,46,119,448,3,3,RAMBONG BALING ,UNDI BIASA
16,016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",1.0,302,151,38,101,290,12,0,BATU 7 JALAN KROH ,UNDI BIASA
16,016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",2.0,469,262,81,122,465,3,1,BATU 7 JALAN KROH ,UNDI BIASA
17,016/30/15,"TABIKA PERPADUAN KAMPUNG SIMPANG EMPAT, BALING",1.0,316,16,153,139,308,7,1,SIMPANG EMPAT ,UNDI BIASA
17,016/30/15,"TABIKA PERPADUAN KAMPUNG SIMPANG EMPAT, BALING",2.0,586,85,299,198,582,3,1,SIMPANG EMPAT ,UNDI BIASA
18,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",1.0,262,14,137,108,259,3,0,PEKAN BALING ,UNDI BIASA
18,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",2.0,486,51,264,166,481,5,0,PEKAN BALING ,UNDI BIASA
18,016/30/16,"SEKOLAH KEBANGSAAN BALING,BALING",3.0,431,91,225,115,431,0,0,PEKAN BALING ,UNDI BIASA
19,016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",1.0,272,54,107,109,270,2,0,BUKIT BALING ,UNDI BIASA
19,016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",2.0,295,115,101,77,293,2,0,BUKIT BALING ,UNDI BIASA
20,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",1.0,298,63,74,161,298,0,0,SEBRANG BALING ,UNDI BIASA
20,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",2.0,364,93,114,154,361,3,0,SEBRANG BALING ,UNDI BIASA
20,016/30/18,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",3.0,355,120,128,105,353,2,0,SEBRANG BALING ,UNDI BIASA
