Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' US NAJMI HJ AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU JOHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HARUN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,520,173,43,192,408,43,69,UNDI POS,UNDI POS
2,016/31/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH BALING",1.0,18,0,0,18,18,0,0,UNDI AWAL,UNDI AWAL
3,016/31/01,"SEKOLAH  KEBANGSAAN LANAI, PARIT PANJANG",1.0,309,125,81,95,301,8,0,CHAROK SALANG ,UNDI BIASA
3,016/31/01,"SEKOLAH  KEBANGSAAN LANAI, PARIT PANJANG",2.0,580,351,126,90,567,13,0,CHAROK SALANG ,UNDI BIASA
4,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",1.0,315,68,21,215,304,11,0,KAMPUNG ASAM JAWA ,UNDI BIASA
4,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",2.0,512,179,56,270,505,7,0,KAMPUNG ASAM JAWA ,UNDI BIASA
4,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",3.0,470,193,67,206,466,4,0,KAMPUNG ASAM JAWA ,UNDI BIASA
5,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",4.0,308,90,33,181,304,4,0,CHAROK KELIAN ,UNDI BIASA
5,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",5.0,417,161,53,197,411,6,0,CHAROK KELIAN ,UNDI BIASA
5,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",6.0,388,155,75,155,385,3,0,CHAROK KELIAN ,UNDI BIASA
6,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",1.0,309,109,35,152,296,13,0,SUNGAI LIMAU ,UNDI BIASA
6,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",2.0,500,233,82,176,491,9,0,SUNGAI LIMAU ,UNDI BIASA
6,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",3.0,464,223,79,162,464,0,0,SUNGAI LIMAU ,UNDI BIASA
7,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",1.0,307,104,35,162,301,5,1,CHAROK BEMBAN ,UNDI BIASA
7,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",2.0,632,288,111,228,627,5,0,CHAROK BEMBAN ,UNDI BIASA
7,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",3.0,586,297,118,171,586,0,0,CHAROK BEMBAN ,UNDI BIASA
8,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",1.0,319,105,11,193,309,10,0,GUA REBAN ,UNDI BIASA
8,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",2.0,478,232,20,206,458,20,0,GUA REBAN ,UNDI BIASA
8,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",3.0,445,195,62,187,444,1,0,GUA REBAN ,UNDI BIASA
9,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",1.0,313,80,49,181,310,3,0,KAMPUNG PADANG ,UNDI BIASA
9,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",2.0,438,139,105,193,437,1,0,KAMPUNG PADANG ,UNDI BIASA
9,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",3.0,415,156,83,172,411,4,0,KAMPUNG PADANG ,UNDI BIASA
10,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",3.0,310,199,18,88,305,5,0,LANAI ,UNDI BIASA
10,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",4.0,471,336,22,109,467,4,0,LANAI ,UNDI BIASA
10,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",5.0,407,274,33,96,403,4,0,LANAI ,UNDI BIASA
11,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",1.0,325,175,24,121,320,5,0,MENGKUANG ,UNDI BIASA
11,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",2.0,468,256,37,173,466,1,1,MENGKUANG ,UNDI BIASA
11,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",3.0,415,219,54,133,406,9,0,MENGKUANG ,UNDI BIASA
11,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",4.0,407,232,41,133,406,1,0,MENGKUANG ,UNDI BIASA
12,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",1.0,311,86,15,207,308,3,0,LUBOK KABU ,UNDI BIASA
12,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",2.0,397,170,28,198,396,1,0,LUBOK KABU ,UNDI BIASA
12,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",3.0,403,185,30,174,389,14,0,LUBOK KABU ,UNDI BIASA
13,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",1.0,285,46,134,101,281,4,0,KUALA PEGANG ,UNDI BIASA
13,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",2.0,373,120,159,91,370,3,0,KUALA PEGANG ,UNDI BIASA
13,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",3.0,348,137,122,89,348,0,0,KUALA PEGANG ,UNDI BIASA
14,016/31/12,"SEKOLAH  KEBANGSAAN KUALA KUPANG, PEKAN KUPANG",1.0,449,151,114,180,445,4,0,KAMPUNG RAJA ,UNDI BIASA
15,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",1.0,300,106,46,141,293,7,0,KAMPUNG LANDAK ,UNDI BIASA
