Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR (B) MANSOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO KHAIRUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,412,114,36,165,315,33,64,UNDI POS,UNDI POS
2,016/32/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH BALING",1.0,32,3,2,26,31,1,0,UNDI AWAL,UNDI AWAL
3,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",1.0,303,65,17,206,288,14,1,FELDA TELOI KANAN ,UNDI BIASA
3,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",2.0,620,168,78,364,610,10,0,FELDA TELOI KANAN ,UNDI BIASA
3,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",3.0,565,220,116,224,560,3,2,FELDA TELOI KANAN ,UNDI BIASA
3,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",4.0,531,204,94,227,525,6,0,FELDA TELOI KANAN ,UNDI BIASA
4,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",1.0,318,167,6,135,308,10,0,KAMPUNG GUAR CHEMPEDAK ,UNDI BIASA
4,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",2.0,621,416,31,168,615,6,0,KAMPUNG GUAR CHEMPEDAK ,UNDI BIASA
4,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",3.0,573,428,30,113,571,2,0,KAMPUNG GUAR CHEMPEDAK ,UNDI BIASA
5,016/32/03,TABIKA KEMAS KAMPUNG PADANG KULIM,1.0,314,126,23,162,311,3,0,PADANG KULIM ,UNDI BIASA
