Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ASMADI ABU TALIB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' USTAZAH SITI ASHAH BINTI GHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,482,143,133,81,357,35,90,UNDI POS,UNDI POS
2,017/33/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,50,43,5,1,49,1,0,UNDI AWAL,UNDI AWAL
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",1.0,269,149,67,29,245,24,0,GUAR LOBAK ,UNDI BIASA
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",2.0,552,276,146,117,539,13,0,GUAR LOBAK ,UNDI BIASA
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",3.0,553,229,225,95,549,3,1,GUAR LOBAK ,UNDI BIASA
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",4.0,544,182,255,104,541,3,0,GUAR LOBAK ,UNDI BIASA
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",5.0,468,149,203,112,464,4,0,GUAR LOBAK ,UNDI BIASA
3,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",6.0,467,133,219,109,461,6,0,GUAR LOBAK ,UNDI BIASA
4,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",1.0,310,156,119,18,293,17,0,SIDAM KANAN ,UNDI BIASA
4,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",2.0,612,209,322,73,604,8,0,SIDAM KANAN ,UNDI BIASA
4,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",3.0,562,176,293,90,559,3,0,SIDAM KANAN ,UNDI BIASA
5,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",1.0,315,197,73,31,301,14,0,KUALA SEDIM ,UNDI BIASA
5,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",2.0,331,144,137,49,330,1,0,KUALA SEDIM ,UNDI BIASA
5,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",3.0,295,113,136,44,293,2,0,KUALA SEDIM ,UNDI BIASA
6,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",1.0,274,102,72,91,265,9,0,PEKAN MERBAU PULAS ,UNDI BIASA
6,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",2.0,427,123,171,133,427,0,0,PEKAN MERBAU PULAS ,UNDI BIASA
6,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",3.0,370,84,184,99,367,3,0,PEKAN MERBAU PULAS ,UNDI BIASA
7,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",1.0,310,159,106,40,305,5,0,KAMPUNG JEMERLI ,UNDI BIASA
7,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",2.0,330,152,116,58,326,4,0,KAMPUNG JEMERLI ,UNDI BIASA
7,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",3.0,297,97,140,59,296,1,0,KAMPUNG JEMERLI ,UNDI BIASA
8,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",1.0,291,116,123,37,276,15,0,BAGAN SENA ,UNDI BIASA
8,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",2.0,480,185,210,77,472,8,0,BAGAN SENA ,UNDI BIASA
8,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",3.0,444,141,191,110,442,2,0,BAGAN SENA ,UNDI BIASA
