Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI AHMAD TAUFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) M. THURAISINGAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,693,172,166,172,510,49,134,UNDI POS,UNDI POS
2,017/34/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,29,2,7,20,29,0,0,UNDI AWAL,UNDI AWAL
3,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",1.0,274,178,18,67,263,11,0,PEKAN PADANG SERAI ,UNDI BIASA
3,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",2.0,471,324,65,78,467,4,0,PEKAN PADANG SERAI ,UNDI BIASA
3,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",3.0,442,289,91,58,438,4,0,PEKAN PADANG SERAI ,UNDI BIASA
3,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",4.0,425,252,119,52,423,2,0,PEKAN PADANG SERAI ,UNDI BIASA
4,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",1.0,290,219,17,52,288,2,0,JALAN BALING ,UNDI BIASA
4,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",2.0,429,289,69,63,421,8,0,JALAN BALING ,UNDI BIASA
4,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",3.0,387,233,104,49,386,1,0,JALAN BALING ,UNDI BIASA
5,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM,KULIM",1.0,270,119,62,80,261,9,0,JALAN LUNAS ,UNDI BIASA
5,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM,KULIM",2.0,437,148,192,95,435,2,0,JALAN LUNAS ,UNDI BIASA
6,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",1.0,292,156,38,88,282,10,0,HENRIETTA ,UNDI BIASA
6,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",2.0,588,272,154,156,582,6,0,HENRIETTA ,UNDI BIASA
