Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YEO KENG CHUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHUA THIONG GEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD KHAIRI SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE AH LEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,739,77,256,241,0,574,65,100,UNDI POS,UNDI POS
2,018/35/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,477,47,336,89,0,472,5,0,UNDI AWAL ,UNDI AWAL
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",1.0,325,24,169,125,0,318,7,0,UNDI AWAL ,UNDI AWAL
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",2.0,349,30,185,130,0,345,4,0,UNDI AWAL ,UNDI AWAL
3,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",1.0,300,41,163,90,0,294,6,0,KAMPUNG TEBUAN ,UNDI BIASA
3,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",2.0,529,70,219,231,0,520,9,0,KAMPUNG TEBUAN ,UNDI BIASA
3,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",3.0,507,71,181,254,0,506,1,0,KAMPUNG TEBUAN ,UNDI BIASA
4,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",1.0,291,15,121,149,0,285,6,0,ULU MAHANG ,UNDI BIASA
4,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",2.0,415,51,95,265,0,411,4,0,ULU MAHANG ,UNDI BIASA
4,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",3.0,367,38,61,264,0,363,4,0,ULU MAHANG ,UNDI BIASA
5,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",1.0,275,44,146,78,0,268,7,0,PEKAN MAHANG ,UNDI BIASA
5,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",2.0,314,59,86,168,0,313,1,0,PEKAN MAHANG ,UNDI BIASA
5,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",3.0,293,32,63,197,0,292,1,0,PEKAN MAHANG ,UNDI BIASA
6,018/35/04,"SEKOLAH KEBANGSAAN LADANG DUBLIN, JALAN MAHANG",1.0,343,127,138,67,0,332,11,0,LADANG SUNGAI DINGIN ,UNDI BIASA
7,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",1.0,312,20,223,51,0,294,18,0,FELDA GUNONG BONGSU ,UNDI BIASA
7,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",2.0,524,103,219,193,1,516,8,0,FELDA GUNONG BONGSU ,UNDI BIASA
7,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",3.0,500,97,196,197,1,491,9,0,FELDA GUNONG BONGSU ,UNDI BIASA
8,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",1.0,275,113,106,46,1,266,9,0,KARANGAN ,UNDI BIASA
8,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",2.0,488,199,157,120,1,477,11,0,KARANGAN ,UNDI BIASA
