Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ROHAIZAT JAAFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' NORSABRINA BINTI MOHD NOOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AZIMI BIN DAIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,448,166,146,65,377,21,50,UNDI POS,UNDI POS
2,018/36/00,"DEWAN ANGGERIK, IBU PEJABAT POLIS DAERAH BANDAR BAHARU",1.0,200,24,163,11,198,1,1,UNDI AWAL,UNDI AWAL
3,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",1.0,350,121,137,33,291,17,42,SUNGAI BATU ,UNDI BIASA
3,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",2.0,342,154,128,59,341,1,0,SUNGAI BATU ,UNDI BIASA
3,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",3.0,334,158,101,72,331,3,0,SUNGAI BATU ,UNDI BIASA
4,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",1.0,287,91,144,44,279,8,0,SUNGAI TAKA ,UNDI BIASA
4,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",2.0,408,195,136,70,401,7,0,SUNGAI TAKA ,UNDI BIASA
4,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",3.0,378,204,104,69,377,1,0,SUNGAI TAKA ,UNDI BIASA
5,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",1.0,287,116,121,44,281,6,0,SUNGAI TENGAS ,UNDI BIASA
5,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",2.0,490,193,198,93,484,6,0,SUNGAI TENGAS ,UNDI BIASA
5,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",3.0,463,211,138,111,460,3,0,SUNGAI TENGAS ,UNDI BIASA
5,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",4.0,434,194,109,128,431,3,0,SUNGAI TENGAS ,UNDI BIASA
6,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",1.0,272,18,59,185,262,10,0,SELAMA ,UNDI BIASA
6,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",2.0,469,69,126,265,460,8,1,SELAMA ,UNDI BIASA
6,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",3.0,424,88,76,257,421,3,0,SELAMA ,UNDI BIASA
7,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",1.0,266,63,117,74,254,12,0,BATU LINTANG ,UNDI BIASA
7,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",2.0,521,157,200,147,504,17,0,BATU LINTANG ,UNDI BIASA
7,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",3.0,475,133,155,183,471,4,0,BATU LINTANG ,UNDI BIASA
8,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",1.0,265,26,84,153,263,2,0,KAMPUNG EE GUAN ,UNDI BIASA
8,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",2.0,412,67,101,239,407,5,0,KAMPUNG EE GUAN ,UNDI BIASA
8,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",3.0,370,88,76,204,368,2,0,KAMPUNG EE GUAN ,UNDI BIASA
9,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",1.0,280,29,70,175,274,6,0,PEKAN SERDANG ,UNDI BIASA
9,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",2.0,543,71,124,334,529,14,0,PEKAN SERDANG ,UNDI BIASA
9,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",3.0,512,79,96,335,510,2,0,PEKAN SERDANG ,UNDI BIASA
9,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",4.0,495,92,78,322,492,2,1,PEKAN SERDANG ,UNDI BIASA
10,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",1.0,275,92,125,41,258,17,0,BATU 16 ,UNDI BIASA
10,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",2.0,440,186,154,94,434,6,0,BATU 16 ,UNDI BIASA
10,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",3.0,419,228,115,72,415,4,0,BATU 16 ,UNDI BIASA
10,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",4.0,386,173,97,99,369,17,0,BATU 16 ,UNDI BIASA
11,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",1.0,302,96,171,31,298,4,0,RELAU ,UNDI BIASA
11,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",2.0,454,168,205,74,447,7,0,RELAU ,UNDI BIASA
11,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",3.0,442,203,158,77,438,4,0,RELAU ,UNDI BIASA
11,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",4.0,404,171,124,101,396,8,0,RELAU ,UNDI BIASA
12,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",1.0,285,60,164,53,277,8,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
12,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",2.0,577,186,207,175,568,9,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
12,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",3.0,547,180,201,160,541,6,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
13,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",1.0,290,74,136,70,280,8,2,AYER PUTEH ,UNDI BIASA
13,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",2.0,325,135,84,105,324,1,0,AYER PUTEH ,UNDI BIASA
14,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",1.0,279,63,161,33,257,22,0,TELOK SERA ,UNDI BIASA
14,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",2.0,309,75,152,80,307,2,0,TELOK SERA ,UNDI BIASA
14,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",3.0,292,117,105,69,291,1,0,TELOK SERA ,UNDI BIASA
15,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",1.0,273,66,100,103,269,4,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
15,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",2.0,414,105,128,177,410,4,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
15,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",3.0,393,149,88,155,392,1,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
16,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",1.0,297,89,159,43,291,6,0,KERAT TELUNJOK ,UNDI BIASA
16,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",2.0,366,152,132,76,360,6,0,KERAT TELUNJOK ,UNDI BIASA
16,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",3.0,354,163,123,68,354,0,0,KERAT TELUNJOK ,UNDI BIASA
17,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",1.0,350,55,98,113,266,13,71,SUNGAI KECHIL ULU ,UNDI BIASA
17,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",2.0,519,136,156,215,507,10,2,SUNGAI KECHIL ULU ,UNDI BIASA
