Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1972,725,614,325,1664,95,213,UNDI POS,UNDI POS
2,006/05/00,"BILIK LATIHAN, UPP BUKIT KAYU HITAM",1.0,180,114,45,21,180,0,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",1.0,238,157,30,48,235,3,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",2.0,338,207,55,73,335,3,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"BILIK KULIAH 2 , PALAPES UUM",1.0,35,17,10,8,35,0,0,UNDI AWAL ,UNDI AWAL
3,006/06/00,"DEWAN SERBAGUNA, IPD KUBANG PASU",1.0,349,217,96,30,343,6,0,UNDI AWAL ,UNDI AWAL
3,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,1.0,346,136,91,114,341,5,0,UNDI AWAL ,UNDI AWAL
3,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,2.0,326,160,75,80,315,11,0,UNDI AWAL ,UNDI AWAL
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",1.0,290,159,88,37,284,6,0,BUKIT KAYU HITAM ,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",2.0,423,173,167,77,417,6,0,BUKIT KAYU HITAM ,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",3.0,372,106,200,63,369,3,0,BUKIT KAYU HITAM ,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",4.0,383,88,239,56,383,0,0,BUKIT KAYU HITAM ,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",1.0,332,207,92,18,317,11,4,FELDA BUKIT TANGGA ,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",2.0,433,206,179,43,428,0,5,FELDA BUKIT TANGGA ,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",3.0,420,139,209,71,419,1,0,FELDA BUKIT TANGGA ,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",4.0,398,127,203,66,396,2,0,FELDA BUKIT TANGGA ,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",1.0,303,76,129,85,290,13,0,TEMIN ,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",2.0,313,54,175,83,312,1,0,TEMIN ,UNDI BIASA
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",3.0,291,58,167,65,290,1,0,TEMIN ,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1.0,296,154,87,35,276,20,0,FELDA LAKA SELATAN ,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2.0,468,166,188,110,464,4,0,FELDA LAKA SELATAN ,UNDI BIASA
7,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3.0,426,137,201,84,422,4,0,FELDA LAKA SELATAN ,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1.0,296,135,90,66,291,5,0,FELDA BATU LAPAN ,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2.0,429,152,197,75,424,5,0,FELDA BATU LAPAN ,UNDI BIASA
8,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3.0,378,122,182,73,377,1,0,FELDA BATU LAPAN ,UNDI BIASA
