Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) OTHMAN BIN ABDUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN SAIFUL WAN JAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PENGHULU MALIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1309,468,415,179,3,1065,81,163,UNDI POS,UNDI POS
2,011/18/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH PENDANG",1.0,156,127,12,13,0,152,4,0,UNDI AWAL ,UNDI AWAL
3,011/19/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH PENDANG",1.0,20,16,2,2,0,20,0,0,UNDI AWAL ,UNDI AWAL
4,011/18/01,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",1.0,304,161,92,42,2,297,7,0,SRI PUDAK ,UNDI BIASA
4,011/18/01,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",2.0,464,148,202,112,1,463,1,0,SRI PUDAK ,UNDI BIASA
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",1.0,299,121,146,23,0,290,9,0,KEPALA BUKIT ,UNDI BIASA
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",2.0,447,193,177,75,0,445,2,0,KEPALA BUKIT ,UNDI BIASA
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",3.0,410,127,209,70,0,406,4,0,KEPALA BUKIT ,UNDI BIASA
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",4.0,392,108,188,92,0,388,4,0,KEPALA BUKIT ,UNDI BIASA
6,011/18/03,MAKTAB MAHMUD PENDANG,1.0,308,87,176,38,1,302,6,0,KAMPUNG PENYAROM ,UNDI BIASA
6,011/18/03,MAKTAB MAHMUD PENDANG,2.0,520,102,302,115,0,519,1,0,KAMPUNG PENYAROM ,UNDI BIASA
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",3.0,297,103,102,88,0,293,3,1,TANAH MERAH ,UNDI BIASA
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",4.0,372,111,141,118,0,370,2,0,TANAH MERAH ,UNDI BIASA
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",5.0,327,86,147,92,1,326,1,0,TANAH MERAH ,UNDI BIASA
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",1.0,305,94,173,28,0,295,10,0,KAMPUNG RAMBAI ,UNDI BIASA
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",2.0,489,179,238,67,0,484,5,0,KAMPUNG RAMBAI ,UNDI BIASA
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",3.0,447,114,257,72,0,443,4,0,KAMPUNG RAMBAI ,UNDI BIASA
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",4.0,437,126,221,85,1,433,4,0,KAMPUNG RAMBAI ,UNDI BIASA
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",1.0,280,94,128,53,0,275,5,0,KUBANG JELAI ,UNDI BIASA
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",2.0,484,140,199,137,1,477,7,0,KUBANG JELAI ,UNDI BIASA
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",3.0,461,107,232,120,0,459,2,0,KUBANG JELAI ,UNDI BIASA
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",4.0,445,110,202,129,0,441,4,0,KUBANG JELAI ,UNDI BIASA
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",1.0,272,104,30,138,0,272,0,0,PEKAN TOKAI ,UNDI BIASA
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",2.0,619,187,94,335,0,616,2,1,PEKAN TOKAI ,UNDI BIASA
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",3.0,577,131,134,309,0,574,3,0,PEKAN TOKAI ,UNDI BIASA
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",4.0,563,131,134,294,0,559,4,0,PEKAN TOKAI ,UNDI BIASA
11,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI KAMPUNG PULAI TOKAI,",1.0,316,152,114,47,0,313,3,0,KAMPUNG PULAI ,UNDI BIASA
11,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI KAMPUNG PULAI TOKAI,",2.0,369,114,161,93,0,368,1,0,KAMPUNG PULAI ,UNDI BIASA
12,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",1.0,314,62,204,43,2,311,3,0,ALOR BESAR ,UNDI BIASA
12,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",2.0,354,47,247,58,0,352,2,0,ALOR BESAR ,UNDI BIASA
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",1.0,300,89,137,69,0,295,5,0,KOBAH ,UNDI BIASA
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",2.0,456,110,238,106,0,454,2,0,KOBAH ,UNDI BIASA
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",3.0,405,97,227,80,0,404,1,0,KOBAH ,UNDI BIASA
13,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",4.0,388,74,245,66,1,386,1,1,KOBAH ,UNDI BIASA
14,011/18/11,"SEKOLAH MENENGAH KEBANGSAAN PENDANG, PENDANG",1.0,210,45,134,30,0,209,1,0,TEMPOYAK ,UNDI BIASA
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",1.0,251,75,66,107,1,249,2,0,SEBRANG PENDANG ,UNDI BIASA
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",2.0,503,140,128,206,1,475,27,1,SEBRANG PENDANG ,UNDI BIASA
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",3.0,511,104,176,227,1,508,3,0,SEBRANG PENDANG ,UNDI BIASA
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",4.0,448,66,194,186,1,447,1,0,SEBRANG PENDANG ,UNDI BIASA
15,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",5.0,434,75,212,145,1,433,1,0,SEBRANG PENDANG ,UNDI BIASA
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",1.0,295,123,98,67,1,289,6,0,PEKAN PENDANG ,UNDI BIASA
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",2.0,314,83,122,108,0,313,1,0,PEKAN PENDANG ,UNDI BIASA
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",3.0,284,57,130,96,0,283,1,0,PEKAN PENDANG ,UNDI BIASA
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",1.0,286,88,163,28,0,279,7,0,BUKIT RAYA ,UNDI BIASA
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",2.0,590,174,301,111,0,586,4,0,BUKIT RAYA ,UNDI BIASA
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",3.0,523,104,310,105,0,519,4,0,BUKIT RAYA ,UNDI BIASA
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",4.0,482,84,264,133,0,481,1,0,BUKIT RAYA ,UNDI BIASA
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",1.0,303,64,219,16,1,300,3,0,BANGGOL BESI ,UNDI BIASA
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",2.0,450,69,338,41,0,448,2,0,BANGGOL BESI ,UNDI BIASA
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",3.0,404,64,278,58,1,401,3,0,BANGGOL BESI ,UNDI BIASA
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",4.0,401,278,63,57,0,398,3,0,BANGGOL BESI ,UNDI BIASA
