Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ TARMIZI SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MANSOR BIN ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZLI CHE UDA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,982,349,352,105,806,71,105,UNDI POS,UNDI POS
2,013/23/00,"PUSAT LATIHAN, IBU PEJABAT POLIS DAERAH SIK",1.0,161,37,113,8,158,3,0,UNDI AWAL ,UNDI AWAL
3,013/24/00,"PUSAT LATIHAN, IBU PEJABAT POLIS DAERAH SIK",1.0,9,2,6,1,9,0,0,UNDI AWAL ,UNDI AWAL
4,013/23/01,"SEKOLAH KEBANGSAAN KOTA AUR, KOTA AUR",1.0,304,123,152,23,298,6,0,KOTA AUR ,UNDI BIASA
4,013/23/01,"SEKOLAH KEBANGSAAN KOTA AUR, KOTA AUR",2.0,295,168,99,26,293,2,0,KOTA AUR ,UNDI BIASA
5,013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",1.0,309,132,150,14,296,13,0,BELANTEK ,UNDI BIASA
5,013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",2.0,505,246,231,25,502,3,0,BELANTEK ,UNDI BIASA
5,013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",3.0,484,234,208,39,481,3,0,BELANTEK ,UNDI BIASA
5,013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",4.0,472,252,174,44,470,2,0,BELANTEK ,UNDI BIASA
6,013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",1.0,298,141,125,23,289,9,0,KAMPUNG GULAU ,UNDI BIASA
6,013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",2.0,471,250,169,37,456,15,0,KAMPUNG GULAU ,UNDI BIASA
6,013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",3.0,444,235,155,50,440,4,0,KAMPUNG GULAU ,UNDI BIASA
6,013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",4.0,437,274,106,52,432,5,0,KAMPUNG GULAU ,UNDI BIASA
6,013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",5.0,420,260,120,36,416,4,0,KAMPUNG GULAU ,UNDI BIASA
7,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",1.0,308,65,131,98,294,14,0,KUBANG KESOM ,UNDI BIASA
7,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",2.0,332,69,115,133,317,15,0,KUBANG KESOM ,UNDI BIASA
7,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",3.0,298,90,91,112,293,5,0,KUBANG KESOM ,UNDI BIASA
8,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1.0,320,210,101,4,315,5,0,CHEPIR ,UNDI BIASA
8,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2.0,651,462,150,26,638,12,1,CHEPIR ,UNDI BIASA
8,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3.0,585,431,120,29,580,5,0,CHEPIR ,UNDI BIASA
9,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",1.0,293,123,116,40,279,14,0,KAMPUNG CHONG ,UNDI BIASA
9,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",2.0,590,224,239,109,572,18,0,KAMPUNG CHONG ,UNDI BIASA
9,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",3.0,565,263,170,122,555,10,0,KAMPUNG CHONG ,UNDI BIASA
9,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",4.0,539,250,152,132,534,5,0,KAMPUNG CHONG ,UNDI BIASA
9,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",5.0,502,219,166,116,501,1,0,KAMPUNG CHONG ,UNDI BIASA
10,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1.0,324,167,139,7,313,11,0,BENDANG MAN ,UNDI BIASA
10,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2.0,528,310,194,18,522,6,0,BENDANG MAN ,UNDI BIASA
10,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3.0,503,292,172,33,497,6,0,BENDANG MAN ,UNDI BIASA
11,013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",1.0,309,163,131,10,304,5,0,DURIAN BURONG ,UNDI BIASA
11,013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",2.0,517,287,185,41,513,3,1,DURIAN BURONG ,UNDI BIASA
12,013/23/09,"KOLEJ KEDA, SIK",1.0,309,133,129,33,295,14,0,CHAROK KIT ,UNDI BIASA
12,013/23/09,"KOLEJ KEDA, SIK",2.0,403,230,116,51,397,6,0,CHAROK KIT ,UNDI BIASA
12,013/23/09,"KOLEJ KEDA, SIK",3.0,366,189,116,56,361,5,0,CHAROK KIT ,UNDI BIASA
