Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD FAUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' TAJUL URUS HJ. MAT ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1809,364,431,645,1440,145,224,UNDI POS,UNDI POS
2,014/25/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1.0,365,50,59,255,364,1,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1.0,41,11,10,20,41,0,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",1.0,455,108,149,191,448,7,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",2.0,477,107,145,200,452,25,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",3.0,464,94,181,184,459,5,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",4.0,464,102,209,141,452,12,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",5.0,478,108,153,213,474,4,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",6.0,451,75,156,200,431,20,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",7.0,407,87,131,176,394,13,0,UNDI AWAL ,UNDI AWAL
