Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KARUPAIYA MUTUSAMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD SOBRI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. LEONG YONG KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1175,204,358,317,879,60,236,UNDI POS,UNDI POS
2,017/33/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,50,1,8,40,49,1,0,UNDI AWAL ,UNDI AWAL
3,017/34/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,29,1,8,20,29,0,0,UNDI AWAL ,UNDI AWAL
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",1.0,269,32,86,125,243,26,0,GUAR LOBAK ,UNDI BIASA
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",2.0,552,95,211,231,537,15,0,GUAR LOBAK ,UNDI BIASA
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",3.0,553,70,298,180,548,5,0,GUAR LOBAK ,UNDI BIASA
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",4.0,544,80,321,139,540,4,0,GUAR LOBAK ,UNDI BIASA
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",5.0,468,96,241,127,464,4,0,GUAR LOBAK ,UNDI BIASA
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",6.0,467,93,253,114,460,7,0,GUAR LOBAK ,UNDI BIASA
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",1.0,310,25,126,132,283,27,0,SIDAM KANAN ,UNDI BIASA
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",2.0,612,65,361,180,606,6,0,SIDAM KANAN ,UNDI BIASA
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",3.0,562,70,344,143,557,5,0,SIDAM KANAN ,UNDI BIASA
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",1.0,315,27,102,165,294,21,0,KUALA SEDIM ,UNDI BIASA
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",2.0,331,38,167,125,330,1,0,KUALA SEDIM ,UNDI BIASA
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",3.0,295,41,152,101,294,1,0,KUALA SEDIM ,UNDI BIASA
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",1.0,274,82,76,107,265,9,0,PEKAN MERBAU PULAS ,UNDI BIASA
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",2.0,427,120,204,102,426,1,0,PEKAN MERBAU PULAS ,UNDI BIASA
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",3.0,370,100,206,62,368,2,0,PEKAN MERBAU PULAS ,UNDI BIASA
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",1.0,293,42,119,132,293,0,0,KAMPUNG JEMERLI ,UNDI BIASA
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",2.0,330,50,143,130,323,7,0,KAMPUNG JEMERLI ,UNDI BIASA
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",3.0,297,55,155,80,290,7,0,KAMPUNG JEMERLI ,UNDI BIASA
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",1.0,291,32,134,115,281,10,0,BAGAN SENA ,UNDI BIASA
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",2.0,480,85,221,166,472,8,0,BAGAN SENA ,UNDI BIASA
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",3.0,444,94,240,107,441,3,0,BAGAN SENA ,UNDI BIASA
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",4.0,426,104,203,116,423,3,0,BAGAN SENA ,UNDI BIASA
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",5.0,440,72,253,112,437,3,0,BAGAN SENA ,UNDI BIASA
