Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ABD AZIZ HJ. SHEIKH FADZIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1187,462,222,280,964,75,148,UNDI POS,UNDI POS
2,018/35/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1.0,477,362,62,43,467,10,0,UNDI AWAL ,UNDI AWAL
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",1.0,325,216,36,68,320,5,0,UNDI AWAL ,UNDI AWAL
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",2.0,349,215,43,76,334,15,0,UNDI AWAL ,UNDI AWAL
3,018/36/00,"DEWAN ANGGERIK, IBU PEJABAT POLIS DAERAH BANDAR BAHARU",1.0,200,167,17,12,196,4,0,UNDI AWAL ,UNDI AWAL
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",1.0,300,161,53,80,294,6,0,KAMPUNG TEBUAN ,UNDI BIASA
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",2.0,529,232,101,188,521,8,0,KAMPUNG TEBUAN ,UNDI BIASA
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",3.0,507,199,101,206,506,1,0,KAMPUNG TEBUAN ,UNDI BIASA
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",1.0,291,135,24,126,285,6,0,ULU MAHANG ,UNDI BIASA
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",2.0,415,119,76,217,412,3,0,ULU MAHANG ,UNDI BIASA
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",3.0,367,72,61,231,364,3,0,ULU MAHANG ,UNDI BIASA
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",1.0,275,145,59,66,270,5,0,PEKAN MAHANG ,UNDI BIASA
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",2.0,314,90,82,137,309,5,0,PEKAN MAHANG ,UNDI BIASA
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",3.0,293,67,54,171,292,1,0,PEKAN MAHANG ,UNDI BIASA
7,018/35/04,"SEKOLAH KEBANGSAAN LADANG DUBLIN, JALAN MAHANG",1.0,343,140,139,53,332,11,0,LADANG SUNGAI DINGIN ,UNDI BIASA
8,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",1.0,312,236,24,30,290,22,0,FELDA GUNONG BONGSU ,UNDI BIASA
8,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",2.0,524,254,126,137,517,7,0,FELDA GUNONG BONGSU ,UNDI BIASA
