Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI ISMAIL BIN OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASMORNI BINTI TAMBY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. AZMI BIN HJ. SAMBUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,184,108,19,25,152,14,18,UNDI POS,UNDI POS
2,134/01/00,BILIK TAKLIMAT BALAI POLIS KUALA SUNGAI BARU,1.0,16,16,0,0,16,0,0,UNDI AWAL,UNDI AWAL
3,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,1.0,296,216,60,9,285,11,0,TANJUNG DAHAN ,UNDI BIASA
3,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,2.0,445,288,112,42,442,3,0,TANJUNG DAHAN ,UNDI BIASA
3,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,3.0,433,219,154,54,427,6,0,TANJUNG DAHAN ,UNDI BIASA
3,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,4.0,434,217,158,55,430,4,0,TANJUNG DAHAN ,UNDI BIASA
4,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,1.0,293,203,60,21,284,9,0,SUNGAI BARU HILIR ,UNDI BIASA
4,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,2.0,293,191,72,25,288,5,0,SUNGAI BARU HILIR ,UNDI BIASA
4,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,3.0,291,167,89,21,277,14,0,SUNGAI BARU HILIR ,UNDI BIASA
5,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,1.0,294,216,55,16,287,7,0,KAMPUNG TENGAH ,UNDI BIASA
5,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2.0,361,214,109,37,360,1,0,KAMPUNG TENGAH ,UNDI BIASA
5,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,3.0,358,197,118,37,352,6,0,KAMPUNG TENGAH ,UNDI BIASA
6,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,1.0,293,192,50,46,288,5,0,PERMATANG ,UNDI BIASA
6,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,2.0,430,235,108,84,427,3,0,PERMATANG ,UNDI BIASA
6,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,3.0,402,206,121,72,399,3,0,PERMATANG ,UNDI BIASA
6,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,4.0,373,176,122,73,371,2,0,PERMATANG ,UNDI BIASA
7,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,1.0,293,115,165,11,291,2,0,KUALA SUNGAI BARU ,UNDI BIASA
7,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,2.0,358,99,240,17,356,2,0,KUALA SUNGAI BARU ,UNDI BIASA
7,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,3.0,347,90,214,40,344,3,0,KUALA SUNGAI BARU ,UNDI BIASA
8,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,1.0,295,130,152,8,290,5,0,PAYA MENGKUANG ,UNDI BIASA
8,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,2.0,540,144,352,43,539,1,0,PAYA MENGKUANG ,UNDI BIASA
8,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,3.0,536,106,401,28,535,1,0,PAYA MENGKUANG ,UNDI BIASA
9,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,1.0,309,208,60,30,298,11,0,TELOK GONG ,UNDI BIASA
9,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,2.0,516,338,130,45,513,3,0,TELOK GONG ,UNDI BIASA
9,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,3.0,476,280,135,57,472,4,0,TELOK GONG ,UNDI BIASA
9,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,4.0,471,241,184,45,470,1,0,TELOK GONG ,UNDI BIASA
