Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ MD RAWI BIN MAHMUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ IMRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HALIM BACHIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,250,120,30,33,183,31,36,UNDI POS,UNDI POS
2,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,1.0,312,224,38,44,306,6,0,KAMPUNG PULAU ,UNDI BIASA
2,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,2.0,325,165,72,86,323,2,0,KAMPUNG PULAU ,UNDI BIASA
2,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,3.0,308,150,62,93,305,3,0,KAMPUNG PULAU ,UNDI BIASA
3,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,1.0,303,233,18,46,297,6,0,LUBOK REDAN ,UNDI BIASA
3,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,2.0,447,264,57,114,435,12,0,LUBOK REDAN ,UNDI BIASA
3,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,3.0,429,235,51,142,428,1,0,LUBOK REDAN ,UNDI BIASA
4,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,1.0,296,225,25,44,294,2,0,SUNGAI BARU TENGAH ,UNDI BIASA
4,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,2.0,438,270,69,92,431,7,0,SUNGAI BARU TENGAH ,UNDI BIASA
4,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,3.0,411,227,68,115,410,1,0,SUNGAI BARU TENGAH ,UNDI BIASA
4,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,4.0,409,177,75,155,407,1,1,SUNGAI BARU TENGAH ,UNDI BIASA
5,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,1.0,275,200,27,45,272,3,0,PENGKALAN BALAK ,UNDI BIASA
5,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,2.0,522,306,74,133,513,9,0,PENGKALAN BALAK ,UNDI BIASA
5,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,3.0,485,238,101,142,481,4,0,PENGKALAN BALAK ,UNDI BIASA
5,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,4.0,462,204,100,157,461,0,1,PENGKALAN BALAK ,UNDI BIASA
5,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,5.0,476,204,99,171,474,2,0,PENGKALAN BALAK ,UNDI BIASA
6,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,1.0,284,193,48,35,276,8,0,PASIR GEMBOR ,UNDI BIASA
6,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,2.0,564,380,111,67,558,6,0,PASIR GEMBOR ,UNDI BIASA
6,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,3.0,531,312,136,80,528,3,0,PASIR GEMBOR ,UNDI BIASA
6,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,4.0,497,257,129,108,494,3,0,PASIR GEMBOR ,UNDI BIASA
6,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,5.0,497,281,111,99,491,6,0,PASIR GEMBOR ,UNDI BIASA
