Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Ir. RIDHUAN DION BAKAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU ARSHAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SULAIMAN BIN MD ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,200,39,9,102,150,1,49,UNDI POS,UNDI POS
2,134/04/00,BILIK MAKLUMAT BALAI POLIS MASJID TANAH,1.0,40,4,6,27,37,3,0,UNDI AWAL ,UNDI AWAL
2,134/04/00,BILIK GERAKAN 96 DPP,1.0,220,40,45,130,215,5,0,UNDI AWAL ,UNDI AWAL
3,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,1.0,256,126,12,110,248,8,0,PEKAN MASJID TANAH ,UNDI BIASA
3,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,2.0,574,282,44,245,571,3,0,PEKAN MASJID TANAH ,UNDI BIASA
3,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,3.0,568,304,86,178,568,0,0,PEKAN MASJID TANAH ,UNDI BIASA
3,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,4.0,547,317,69,159,545,2,0,PEKAN MASJID TANAH ,UNDI BIASA
3,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,5.0,538,280,86,168,534,3,1,PEKAN MASJID TANAH ,UNDI BIASA
4,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),1.0,285,35,22,226,283,2,0,DURIAN DAUN ,UNDI BIASA
4,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),2.0,532,102,64,365,531,1,0,DURIAN DAUN ,UNDI BIASA
4,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),3.0,515,159,89,264,512,3,0,DURIAN DAUN ,UNDI BIASA
4,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),4.0,505,216,84,203,503,2,0,DURIAN DAUN ,UNDI BIASA
5,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,1.0,285,42,39,202,283,2,0,SUNGAI BARU HULU ,UNDI BIASA
5,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,2.0,584,147,126,307,580,4,0,SUNGAI BARU HULU ,UNDI BIASA
5,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,3.0,548,204,106,237,547,1,0,SUNGAI BARU HULU ,UNDI BIASA
5,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,4.0,524,203,124,189,516,8,0,SUNGAI BARU HULU ,UNDI BIASA
6,134/04/04,SEKOLAH KEBANGSAAN LENDU,1.0,287,95,12,172,279,8,0,PEKAN LENDU ,UNDI BIASA
6,134/04/04,SEKOLAH KEBANGSAAN LENDU,2.0,607,233,28,323,584,23,0,PEKAN LENDU ,UNDI BIASA
6,134/04/04,SEKOLAH KEBANGSAAN LENDU,3.0,556,284,52,219,555,1,0,PEKAN LENDU ,UNDI BIASA
6,134/04/04,SEKOLAH KEBANGSAAN LENDU,4.0,530,277,60,190,527,3,0,PEKAN LENDU ,UNDI BIASA
