Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ASRI SHAIK ABDUL AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAIRI SUBOH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LATIPAH BINTI OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,152,18,22,76,116,2,34,UNDI POS,UNDI POS
2,134/05/00,BILIK TAKLIMAT BALAI POLIS SIMPANG EMPAT,1.0,15,0,0,15,15,0,0,UNDI AWAL,UNDI AWAL
3,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,1.0,290,22,125,134,281,8,1,CHERANA PUTEH ,UNDI BIASA
3,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,2.0,443,53,188,189,430,12,1,CHERANA PUTEH ,UNDI BIASA
3,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,3.0,430,50,210,165,425,5,0,CHERANA PUTEH ,UNDI BIASA
3,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,4.0,422,73,173,174,420,2,0,CHERANA PUTEH ,UNDI BIASA
4,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,1.0,276,27,97,133,257,19,0,SIMPANG EMPAT ,UNDI BIASA
4,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,2.0,501,57,217,184,458,43,0,SIMPANG EMPAT ,UNDI BIASA
4,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,3.0,455,74,221,160,455,0,0,SIMPANG EMPAT ,UNDI BIASA
4,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,4.0,446,71,241,129,441,5,0,SIMPANG EMPAT ,UNDI BIASA
5,134/05/03,SEKOLAH KEBANGSAAN BERISU,1.0,280,34,63,177,274,6,0,BERISU ,UNDI BIASA
5,134/05/03,SEKOLAH KEBANGSAAN BERISU,2.0,310,62,110,136,308,2,0,BERISU ,UNDI BIASA
6,134/05/04,SEKOLAH KEBANGSAAN SUNGAI BULOH,1.0,513,99,151,259,509,4,0,SUNGAI BULOH ,UNDI BIASA
7,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,1.0,276,54,45,164,263,13,0,BATANG MELEKEK ,UNDI BIASA
7,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,2.0,414,115,97,194,406,8,0,BATANG MELEKEK ,UNDI BIASA
7,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,3.0,396,114,135,137,386,10,0,BATANG MELEKEK ,UNDI BIASA
8,134/05/06,SEKOLAH KEBANGSAAN RANTAU PANJANG,1.0,279,21,53,201,275,4,0,RANTAU PANJANG ,UNDI BIASA
8,134/05/06,SEKOLAH KEBANGSAAN RANTAU PANJANG,2.0,284,35,85,159,279,5,0,RANTAU PANJANG ,UNDI BIASA
9,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,1.0,286,22,60,198,280,6,0,AYER PAABAS ,UNDI BIASA
9,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,2.0,380,52,134,191,377,3,0,AYER PAABAS ,UNDI BIASA
9,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,3.0,378,58,162,154,374,4,0,AYER PAABAS ,UNDI BIASA
