Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PANIRCHELVAM A/L PICHAMUTHU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EMRANSYAH BIN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) G. SAMINATHAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,191,78,35,14,127,30,34,UNDI POS,UNDI POS
2,135/07/00,RUANG REHAT BALAI POLIS GADEK,1.0,38,32,3,3,38,0,0,UNDI AWAL,UNDI AWAL
3,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,1.0,203,63,10,118,191,12,0,BUKIT SEBANG ,UNDI BIASA
3,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,2.0,368,79,12,276,367,1,0,BUKIT SEBANG ,UNDI BIASA
3,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,3.0,366,80,24,260,364,2,0,BUKIT SEBANG ,UNDI BIASA
3,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,4.0,365,69,59,234,362,3,0,BUKIT SEBANG ,UNDI BIASA
4,135/07/02,SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,1.0,268,55,10,195,260,7,1,PEKAN PULAU SEBANG ,UNDI BIASA
4,135/07/02,SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,2.0,364,50,13,297,360,4,0,PEKAN PULAU SEBANG ,UNDI BIASA
5,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,1.0,257,118,28,107,253,4,0,KUALA INA ,UNDI BIASA
5,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,2.0,544,207,83,229,519,25,0,KUALA INA ,UNDI BIASA
5,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,3.0,537,179,65,282,526,11,0,KUALA INA ,UNDI BIASA
5,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,4.0,499,103,83,312,498,1,0,KUALA INA ,UNDI BIASA
5,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,5.0,517,141,92,281,514,3,0,KUALA INA ,UNDI BIASA
6,135/07/04,SEKOLAH KEBANGSAAN PULAU SEBANG,1.0,300,189,37,69,295,5,0,ARONGAN ,UNDI BIASA
6,135/07/04,SEKOLAH KEBANGSAAN PULAU SEBANG,2.0,288,134,48,101,283,5,0,ARONGAN ,UNDI BIASA
7,135/07/05,SEK. REN. AGAMA (JAIM) PADANG SEBANG,1.0,521,276,136,104,516,5,0,TANJUNG RIMAU ,UNDI BIASA
8,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,1.0,271,167,48,49,264,7,0,PADANG SEBANG ,UNDI BIASA
8,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,2.0,574,247,133,180,560,14,0,PADANG SEBANG ,UNDI BIASA
8,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,3.0,493,134,117,238,489,4,0,PADANG SEBANG ,UNDI BIASA
9,135/07/07,SEK. REN. AGAMA (JAIM) PAYA DATOK,1.0,302,184,67,41,292,10,0,PAYA DATUK ,UNDI BIASA
9,135/07/07,SEK. REN. AGAMA (JAIM) PAYA DATOK,2.0,377,162,125,88,375,2,0,PAYA DATUK ,UNDI BIASA
10,135/07/08,SEKOLAH KEBANGSAAN PEGOH,1.0,292,177,51,55,283,9,0,PEGOH ,UNDI BIASA
10,135/07/08,SEKOLAH KEBANGSAAN PEGOH,2.0,297,137,80,77,294,3,0,PEGOH ,UNDI BIASA
11,135/07/09,SEKOLAH KEBANGSAAN GANUN,1.0,580,265,112,196,573,7,0,GANUN ,UNDI BIASA
12,135/07/10,SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN,1.0,282,168,41,64,273,9,0,PEKAN GADEK ,UNDI BIASA
12,135/07/10,SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN,2.0,535,253,102,173,528,6,1,PEKAN GADEK ,UNDI BIASA
12,135/07/10,SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN,3.0,483,175,118,186,479,4,0,PEKAN GADEK ,UNDI BIASA
12,135/07/10,SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN,4.0,466,163,133,163,459,7,0,PEKAN GADEK ,UNDI BIASA
