Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KOH NAI KWONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GINIE LIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ WAN ZAHIDI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,118,54,14,9,77,14,27,UNDI POS,UNDI POS
2,135/08/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH ALOR GAJAH,1.0,344,267,35,41,343,1,0,UNDI AWAL,UNDI AWAL
3,135/08/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) PEKAN TEBONG,1.0,235,133,86,9,228,7,0,TEBONG ,UNDI BIASA
3,135/08/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) PEKAN TEBONG,2.0,487,222,240,17,479,8,0,TEBONG ,UNDI BIASA
3,135/08/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) PEKAN TEBONG,3.0,453,154,264,27,445,4,4,TEBONG ,UNDI BIASA
3,135/08/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) PEKAN TEBONG,4.0,440,121,287,29,437,3,0,TEBONG ,UNDI BIASA
4,135/08/02,SEKOLAH KEBANGSAAN HUTAN PERCHA,1.0,289,174,90,20,284,5,0,FELDA HUTAN PERCHA ,UNDI BIASA
4,135/08/02,SEKOLAH KEBANGSAAN HUTAN PERCHA,2.0,420,211,168,36,415,4,1,FELDA HUTAN PERCHA ,UNDI BIASA
4,135/08/02,SEKOLAH KEBANGSAAN HUTAN PERCHA,3.0,401,169,179,49,397,4,0,FELDA HUTAN PERCHA ,UNDI BIASA
5,135/08/03,SEKOLAH KEBANGSAAN KEMUNING,1.0,494,305,96,84,485,9,0,KEMUNING ,UNDI BIASA
6,135/08/04,SEKOLAH KEBANGSAAN MENGGONG,1.0,314,220,52,38,310,4,0,SOLOK MENGGONG ,UNDI BIASA
6,135/08/04,SEKOLAH KEBANGSAAN MENGGONG,2.0,310,181,82,45,308,2,0,SOLOK MENGGONG ,UNDI BIASA
7,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,1.0,298,87,203,1,291,6,1,MACHAP BARU ,UNDI BIASA
7,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,2.0,445,126,312,2,440,5,0,MACHAP BARU ,UNDI BIASA
7,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,3.0,438,95,337,3,435,3,0,MACHAP BARU ,UNDI BIASA
7,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,4.0,434,73,359,1,433,1,0,MACHAP BARU ,UNDI BIASA
7,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,5.0,436,118,315,2,435,0,1,MACHAP BARU ,UNDI BIASA
8,135/08/06,SEK. REN. AGAMA (JAIM) KAMPUNG AYER PASIR MACHAP,1.0,501,230,236,25,491,10,0,AYER PASIR ,UNDI BIASA
9,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,1.0,293,89,184,5,278,15,0,MACHAP UMBOR ,UNDI BIASA
9,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,2.0,474,106,358,3,467,7,0,MACHAP UMBOR ,UNDI BIASA
9,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,3.0,471,82,381,7,470,1,0,MACHAP UMBOR ,UNDI BIASA
9,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,4.0,471,51,405,14,470,1,0,MACHAP UMBOR ,UNDI BIASA
10,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,1.0,291,179,79,19,277,14,0,MELAKA PINDAH ,UNDI BIASA
10,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,2.0,491,250,169,64,483,8,0,MELAKA PINDAH ,UNDI BIASA
10,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,3.0,479,215,200,60,475,4,0,MELAKA PINDAH ,UNDI BIASA
10,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,4.0,437,143,213,77,433,4,0,MELAKA PINDAH ,UNDI BIASA
10,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,5.0,454,159,206,88,453,1,0,MELAKA PINDAH ,UNDI BIASA
