Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. MOHSIN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SOFI WAHAB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AB WAHAB BIN AB LATIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,214,23,36,98,157,27,30,UNDI POS,UNDI POS
2,135/09/00,BILIK PENERANGAN BALAI POLIS DURIAN TUNGGAL,1.0,19,4,2,13,19,0,0,UNDI AWAL,UNDI AWAL
3,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,1.0,290,20,82,181,283,7,0,PARIT MELANA ,UNDI BIASA
3,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,2.0,485,53,158,264,475,10,0,PARIT MELANA ,UNDI BIASA
3,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,3.0,470,51,178,236,465,4,1,PARIT MELANA ,UNDI BIASA
3,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,4.0,441,57,204,176,437,3,1,PARIT MELANA ,UNDI BIASA
3,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,5.0,446,37,189,217,443,3,0,PARIT MELANA ,UNDI BIASA
4,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,1.0,310,35,50,197,282,28,0,BELIMBING DALAM ,UNDI BIASA
4,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,2.0,517,105,139,269,513,4,0,BELIMBING DALAM ,UNDI BIASA
4,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,3.0,484,117,156,211,484,0,0,BELIMBING DALAM ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,1.0,278,22,118,129,269,9,0,BUKIT TAMBUN ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,2.0,519,46,247,216,509,9,1,BUKIT TAMBUN ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,3.0,506,58,265,168,491,15,0,BUKIT TAMBUN ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,4.0,475,67,250,154,471,4,0,BUKIT TAMBUN ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,5.0,468,56,276,134,466,2,0,BUKIT TAMBUN ,UNDI BIASA
5,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,6.0,470,64,242,162,468,2,0,BUKIT TAMBUN ,UNDI BIASA
6,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,1.0,281,12,133,117,262,19,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
6,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,2.0,555,30,303,203,536,19,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
6,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,3.0,523,50,309,161,520,3,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
6,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,4.0,500,58,316,124,498,2,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,1.0,273,23,102,129,254,19,0,GANGSA ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,2.0,582,70,250,257,577,5,0,GANGSA ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,3.0,567,87,287,192,566,1,0,GANGSA ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,4.0,560,75,337,147,559,1,0,GANGSA ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,5.0,526,81,301,143,525,1,0,GANGSA ,UNDI BIASA
7,135/09/05,SEKOLAH KEBANGSAAN GANGSA,6.0,530,90,283,152,525,5,0,GANGSA ,UNDI BIASA
