Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL GHAFAR BIN ATAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAMZURI ARIFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. AZLAN BIN MADDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,275,147,24,23,194,36,45,UNDI POS,UNDI POS
2,135/10/00,BILIK MESYUARAT BALAI POLIS SELANDAR,1.0,30,23,3,4,30,0,0,UNDI AWAL,UNDI AWAL
3,135/10/01,SEKOLAH JENIS KEBANGSAAN (CINA) ON LOK,1.0,313,95,201,6,302,11,0,SIMPANG TEBONG ,UNDI BIASA
3,135/10/01,SEKOLAH JENIS KEBANGSAAN (CINA) ON LOK,2.0,413,91,316,4,411,2,0,SIMPANG TEBONG ,UNDI BIASA
4,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,1.0,274,124,128,9,261,13,0,PEKAN SELANDAR ,UNDI BIASA
4,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,2.0,483,191,261,28,480,3,0,PEKAN SELANDAR ,UNDI BIASA
4,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,3.0,438,129,282,24,435,3,0,PEKAN SELANDAR ,UNDI BIASA
4,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,4.0,429,104,266,52,422,6,1,PEKAN SELANDAR ,UNDI BIASA
5,135/10/03,SEKOLAH KEBANGSAAN SERI MACHAP BUKIT SEDANAN,1.0,308,224,46,33,303,5,0,BUKIT SEDANAN ,UNDI BIASA
5,135/10/03,SEKOLAH KEBANGSAAN SERI MACHAP BUKIT SEDANAN,2.0,433,250,128,55,433,0,0,BUKIT SEDANAN ,UNDI BIASA
6,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,1.0,272,151,103,11,265,7,0,BATANG MELAKA ,UNDI BIASA
6,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,2.0,433,181,221,23,425,8,0,BATANG MELAKA ,UNDI BIASA
6,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,3.0,395,141,227,23,391,4,0,BATANG MELAKA ,UNDI BIASA
6,135/10/04,SEKOLAH KEBANGSAAN BATANG MELAKA,4.0,404,149,206,46,401,3,0,BATANG MELAKA ,UNDI BIASA
7,135/10/05,SEKOLAH KEBANGSAAN JUS,1.0,390,207,144,29,380,10,0,JUS ,UNDI BIASA
8,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,1.0,287,202,66,16,284,3,0,BUKIT SENGGEH ,UNDI BIASA
8,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,2.0,291,162,91,36,289,2,0,BUKIT SENGGEH ,UNDI BIASA
8,135/10/06,SEKOLAH KEBANGSAAN BUKIT SENGGEH,3.0,279,135,108,33,276,3,0,BUKIT SENGGEH ,UNDI BIASA
9,135/10/07,SEKOLAH KEBANGSAAN NYALAS,1.0,292,165,86,33,284,7,1,PEKAN NYALAS ,UNDI BIASA
