Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK NOR AZMAN HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) UST HJ ABDUL HALIM MAIDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JUHARI OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,225,104,31,28,163,31,31,UNDI POS,UNDI POS
2,136/12/00,BILIK TAKLIMAT BALAI POLIS TANJUNG KLING,1.0,10,9,0,1,10,0,0,UNDI AWAL,UNDI AWAL
3,136/12/01,SEKOLAH JENIS KEBANGSAAN (CINA) ST. MARY,1.0,297,77,5,202,284,13,0,AYER SALAK ,UNDI BIASA
3,136/12/01,SEKOLAH JENIS KEBANGSAAN (CINA) ST. MARY,2.0,457,60,6,386,452,5,0,AYER SALAK ,UNDI BIASA
4,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,1.0,292,183,29,64,276,16,0,PAYA LUBOH ,UNDI BIASA
4,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,2.0,487,240,74,141,455,32,0,PAYA LUBOH ,UNDI BIASA
4,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,3.0,459,230,87,135,452,7,0,PAYA LUBOH ,UNDI BIASA
4,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,4.0,411,190,72,146,408,3,0,PAYA LUBOH ,UNDI BIASA
4,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,5.0,437,215,66,153,434,3,0,PAYA LUBOH ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,1.0,262,151,27,66,244,18,0,PANTAI PUTERI ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,2.0,556,281,64,193,538,18,0,PANTAI PUTERI ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,3.0,538,281,73,179,533,4,1,PANTAI PUTERI ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,4.0,509,223,84,198,505,4,0,PANTAI PUTERI ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,5.0,477,196,72,205,473,4,0,PANTAI PUTERI ,UNDI BIASA
5,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,6.0,479,201,83,191,475,4,0,PANTAI PUTERI ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,1.0,280,168,40,58,266,14,0,KAMPUNG GELAM ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,2.0,525,270,90,153,513,12,0,KAMPUNG GELAM ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,3.0,498,237,95,164,496,2,0,KAMPUNG GELAM ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,4.0,467,181,95,190,466,1,0,KAMPUNG GELAM ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,5.0,460,185,101,173,459,1,0,KAMPUNG GELAM ,UNDI BIASA
6,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,6.0,473,203,104,165,472,1,0,KAMPUNG GELAM ,UNDI BIASA
7,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,1.0,280,145,43,86,274,6,0,PENGKALAN PERIGI ,UNDI BIASA
7,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,2.0,457,218,82,151,451,6,0,PENGKALAN PERIGI ,UNDI BIASA
7,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,3.0,421,188,82,143,413,8,0,PENGKALAN PERIGI ,UNDI BIASA
7,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,4.0,392,175,72,141,388,4,0,PENGKALAN PERIGI ,UNDI BIASA
8,136/12/06,SEKOLAH JENIS KEBANGSAAN (CINA) EK TE,1.0,297,140,18,133,291,6,0,PENGKALAN LANJUT ,UNDI BIASA
8,136/12/06,SEKOLAH JENIS KEBANGSAAN (CINA) EK TE,2.0,548,210,93,243,546,2,0,PENGKALAN LANJUT ,UNDI BIASA
9,136/12/07,SEKOLAH KEBANGSAAN LEREH,1.0,247,120,15,107,242,5,0,SUNGAI LEREH ,UNDI BIASA
9,136/12/07,SEKOLAH KEBANGSAAN LEREH,2.0,454,186,51,202,439,15,0,SUNGAI LEREH ,UNDI BIASA
9,136/12/07,SEKOLAH KEBANGSAAN LEREH,3.0,455,180,54,215,449,6,0,SUNGAI LEREH ,UNDI BIASA
9,136/12/07,SEKOLAH KEBANGSAAN LEREH,4.0,428,163,53,210,426,2,0,SUNGAI LEREH ,UNDI BIASA
9,136/12/07,SEKOLAH KEBANGSAAN LEREH,5.0,420,163,75,179,417,3,0,SUNGAI LEREH ,UNDI BIASA
