Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RAFIE AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK WIRA DR. ABU BAKAR BIN MOHAMAD DIAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD RAFIQ NAIZAMOHIDEEN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,392,19,205,70,294,90,8,UNDI POS,UNDI POS
2,136/13/00,BILIK TAKLIMAT BALAI POLIS TANJUNG MINYAK,1.0,25,2,20,3,25,0,0,UNDI AWAL,UNDI AWAL
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,1.0,265,20,123,119,262,3,0,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,2.0,645,22,250,363,635,10,0,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,3.0,635,59,214,348,621,14,0,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,4.0,634,57,187,387,631,3,0,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,5.0,602,42,174,383,599,2,1,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,6.0,601,36,129,429,594,7,0,HUJONG PADANG ,UNDI BIASA
3,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,7.0,592,43,140,405,588,4,0,HUJONG PADANG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,1.0,286,14,159,107,280,6,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,2.0,654,27,309,303,639,15,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,3.0,656,38,282,326,646,8,2,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,4.0,651,63,276,308,647,4,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,5.0,642,55,263,324,642,0,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,6.0,641,53,251,336,640,1,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,7.0,592,49,223,318,590,2,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,8.0,594,31,197,364,592,2,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,9.0,588,45,180,358,583,5,0,KERUBONG ,UNDI BIASA
4,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,10.0,581,43,204,330,577,4,0,KERUBONG ,UNDI BIASA
5,136/13/03,SEKOLAH KEBANGSAAN CHENG,1.0,286,10,123,150,283,3,0,PANTAI CHENG ,UNDI BIASA
5,136/13/03,SEKOLAH KEBANGSAAN CHENG,2.0,515,18,171,307,496,19,0,PANTAI CHENG ,UNDI BIASA
5,136/13/03,SEKOLAH KEBANGSAAN CHENG,3.0,508,31,132,342,505,3,0,PANTAI CHENG ,UNDI BIASA
5,136/13/03,SEKOLAH KEBANGSAAN CHENG,4.0,491,18,118,352,488,3,0,PANTAI CHENG ,UNDI BIASA
5,136/13/03,SEKOLAH KEBANGSAAN CHENG,5.0,470,30,73,367,470,0,0,PANTAI CHENG ,UNDI BIASA
6,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,1.0,307,16,115,170,301,6,0,CHENG PERDANA ,UNDI BIASA
6,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,2.0,561,54,209,295,558,3,0,CHENG PERDANA ,UNDI BIASA
6,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,3.0,521,42,108,371,521,0,0,CHENG PERDANA ,UNDI BIASA
6,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,4.0,498,47,135,315,497,1,0,CHENG PERDANA ,UNDI BIASA
6,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,5.0,514,41,139,330,510,3,1,CHENG PERDANA ,UNDI BIASA
7,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,1.0,291,14,109,157,280,11,0,CHENG ,UNDI BIASA
7,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,2.0,564,41,193,325,559,4,1,CHENG ,UNDI BIASA
7,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,3.0,531,44,141,341,526,5,0,CHENG ,UNDI BIASA
7,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,4.0,520,24,194,301,519,1,0,CHENG ,UNDI BIASA
7,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,5.0,504,45,169,288,502,2,0,CHENG ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,1.0,294,19,130,137,286,8,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,2.0,628,37,356,228,621,7,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,3.0,632,65,315,250,630,2,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,4.0,618,63,294,259,616,2,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,5.0,589,49,229,311,589,0,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,6.0,559,42,176,337,555,4,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,7.0,540,35,179,323,537,3,0,TANJUNG MINYAK ,UNDI BIASA
8,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,8.0,565,49,249,265,563,2,0,TANJUNG MINYAK ,UNDI BIASA
