Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SHAFIQ ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GUE TECK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK LIM BAN HONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,293,46,33,137,216,33,44,UNDI POS,UNDI POS
2,136/14/00,BILIK TAKLIMAT BALAI POLIS BATANG TIGA,1.0,15,0,1,14,15,0,0,UNDI AWAL,UNDI AWAL
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,1.0,306,39,101,156,296,10,0,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,2.0,571,90,176,277,543,27,1,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,3.0,537,109,190,233,532,5,0,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,4.0,523,140,183,198,521,2,0,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,5.0,501,80,240,180,500,1,0,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,6.0,496,135,200,159,494,2,0,SEBERANG GAJAH ,UNDI BIASA
3,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,7.0,478,123,170,181,474,4,0,SEBERANG GAJAH ,UNDI BIASA
4,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,1.0,266,15,83,162,260,6,0,BUKIT RAMBAI ,UNDI BIASA
4,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,2.0,564,36,168,335,539,25,0,BUKIT RAMBAI ,UNDI BIASA
