Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YUNUS BIN HITAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI ADLY BIN ZAHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAT PUHAT BIN BEDOL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,585,269,114,63,446,72,67,UNDI POS,UNDI POS
2,137/17/00,DEWAN SRI BERUANG KEM ASKAR WATANIAH,1.0,254,163,53,35,251,3,0,UNDI AWAL ,UNDI AWAL
2,137/17/00,BILIK MAKLUMAT BALAI POLIS BUKIT BARU,1.0,29,24,4,1,29,0,0,UNDI AWAL ,UNDI AWAL
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,1.0,277,113,147,10,270,7,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,2.0,570,233,292,36,561,9,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,3.0,566,200,311,45,556,10,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,4.0,561,193,306,61,560,1,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,5.0,530,168,290,72,530,0,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,6.0,512,153,268,78,499,13,0,BUKIT BERUANG ,UNDI BIASA
3,137/17/01,SEKOLAH MENENGAH KEBANGSAAN BUKIT BARU,7.0,549,183,304,61,548,1,0,BUKIT BERUANG ,UNDI BIASA
4,137/17/02,SEK. REN. AGAMA (JAIM) PADANG JAMBU,1.0,297,95,183,12,290,7,0,PADANG JAMBU ,UNDI BIASA
4,137/17/02,SEK. REN. AGAMA (JAIM) PADANG JAMBU,2.0,539,159,342,35,536,3,0,PADANG JAMBU ,UNDI BIASA
4,137/17/02,SEK. REN. AGAMA (JAIM) PADANG JAMBU,3.0,503,112,342,47,501,2,0,PADANG JAMBU ,UNDI BIASA
4,137/17/02,SEK. REN. AGAMA (JAIM) PADANG JAMBU,4.0,495,137,313,43,493,2,0,PADANG JAMBU ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,1.0,257,72,177,3,252,5,0,BUKIT BARU DALAM ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,2.0,492,159,311,20,490,2,0,BUKIT BARU DALAM ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,3.0,492,119,349,23,491,1,0,BUKIT BARU DALAM ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,4.0,490,131,326,33,490,0,0,BUKIT BARU DALAM ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,5.0,496,134,317,42,493,3,0,BUKIT BARU DALAM ,UNDI BIASA
5,137/17/03,SEKOLAH JENIS KEBANGSAAN (CINA) KEH SENG,6.0,475,132,298,42,472,3,0,BUKIT BARU DALAM ,UNDI BIASA
6,137/17/04,SEKOLAH KEBANGSAAN JALAN DATUK PALEMBANG,1.0,298,121,157,17,295,3,0,PAYA IKAN ,UNDI BIASA
6,137/17/04,SEKOLAH KEBANGSAAN JALAN DATUK PALEMBANG,2.0,438,153,220,59,432,6,0,PAYA IKAN ,UNDI BIASA
6,137/17/04,SEKOLAH KEBANGSAAN JALAN DATUK PALEMBANG,3.0,409,123,228,58,409,0,0,PAYA IKAN ,UNDI BIASA
7,137/17/05,SEK. REN. AGAMA (JAIM) BUKIT PULAU,1.0,253,116,118,15,249,4,0,BUKIT PULAU ,UNDI BIASA
7,137/17/05,SEK. REN. AGAMA (JAIM) BUKIT PULAU,2.0,481,233,201,39,473,8,0,BUKIT PULAU ,UNDI BIASA
7,137/17/05,SEK. REN. AGAMA (JAIM) BUKIT PULAU,3.0,473,217,210,45,472,1,0,BUKIT PULAU ,UNDI BIASA
7,137/17/05,SEK. REN. AGAMA (JAIM) BUKIT PULAU,4.0,471,257,161,45,463,8,0,BUKIT PULAU ,UNDI BIASA
8,137/17/06,SEKOLAH KEBANGSAAN BUKIT BARU,1.0,268,89,159,8,256,12,0,KAMPUNGKU SAYANG ,UNDI BIASA
