Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JANTAN BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FARHAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RAHMAD BIN MARIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PROFESOR MADYA DR. KAMAROLZAMAN BIN MOHD JIDI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,442,70,81,185,3,339,48,55,UNDI POS,UNDI POS
2,137/18/00,BILIK GERAKAN BALAI POLIS TIANG DUA,1.0,16,2,0,14,0,16,0,0,UNDI AWAL,UNDI AWAL
3,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,1.0,315,43,61,207,2,313,2,0,PENGKALAN MINYAK ,UNDI BIASA
3,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,2.0,629,117,208,293,2,620,6,3,PENGKALAN MINYAK ,UNDI BIASA
3,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,3.0,603,100,239,259,3,601,2,0,PENGKALAN MINYAK ,UNDI BIASA
3,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,4.0,529,97,229,194,3,523,6,0,PENGKALAN MINYAK ,UNDI BIASA
3,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,5.0,551,106,222,213,5,546,5,0,PENGKALAN MINYAK ,UNDI BIASA
4,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,1.0,313,27,101,178,2,308,5,0,TAMBAK PAYA ,UNDI BIASA
4,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,2.0,442,44,208,186,0,438,4,0,TAMBAK PAYA ,UNDI BIASA
4,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,3.0,387,31,191,162,2,386,1,0,TAMBAK PAYA ,UNDI BIASA
