Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG CHOON KOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SEAH SHOO CHIN (ALLEX SEAH),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,462,4,251,86,341,37,84,UNDI POS,UNDI POS
2,138/19/00,BILIK BERTEMU PELANGGAN BALAI POLIS MALIM,1.0,32,1,27,4,32,0,0,UNDI AWAL,UNDI AWAL
3,138/19/01,BALAI RAYA TAMAN MERDEKA,1.0,321,2,149,161,312,9,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,2.0,554,1,200,347,548,6,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,3.0,536,5,122,409,536,0,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,4.0,523,2,119,398,519,4,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,5.0,490,5,120,359,484,6,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,6.0,496,3,98,389,490,6,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,BALAI RAYA TAMAN MERDEKA,7.0,526,6,107,411,524,2,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,1.0,322,1,115,199,315,7,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,2.0,532,7,159,360,526,6,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,3.0,523,6,125,387,518,5,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,4.0,486,4,97,385,486,0,0,TAMAN MERDEKA ,UNDI BIASA
3,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,5.0,469,4,131,333,468,1,0,TAMAN MERDEKA ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,1.0,270,5,71,188,264,5,1,BATU BERENDAM ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,2.0,546,5,148,387,540,6,0,BATU BERENDAM ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,3.0,562,5,127,423,555,6,1,BATU BERENDAM ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,4.0,545,5,113,424,542,3,0,BATU BERENDAM ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,5.0,534,7,110,413,530,4,0,BATU BERENDAM ,UNDI BIASA
4,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,6.0,522,3,126,390,519,3,0,BATU BERENDAM ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,1.0,277,9,75,187,271,6,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,2.0,546,3,123,413,539,7,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,3.0,549,5,127,400,532,17,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,4.0,543,6,107,424,537,6,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,5.0,520,8,111,397,516,4,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,6.0,498,3,94,398,495,3,0,TAMAN MELAKA BARU ,UNDI BIASA
5,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,7.0,492,2,132,351,485,7,0,TAMAN MELAKA BARU ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,1.0,285,7,54,208,269,16,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,2.0,622,7,111,498,616,6,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,3.0,620,11,69,534,614,6,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,4.0,615,7,55,551,613,2,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,5.0,612,11,46,550,607,5,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,6.0,583,5,51,525,581,2,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,7.0,601,8,56,536,600,1,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,8.0,568,7,40,514,561,7,0,MALIM JAYA ,UNDI BIASA
6,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,9.0,582,3,54,516,573,6,3,MALIM JAYA ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,1.0,275,4,109,153,266,9,0,BERTAM ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,2.0,602,11,206,379,596,6,0,BERTAM ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,3.0,586,4,144,434,582,4,0,BERTAM ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,4.0,573,4,133,430,567,5,1,BERTAM ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,5.0,571,3,135,430,568,3,0,BERTAM ,UNDI BIASA
7,138/19/05,SEKOLAH KEBANGSAAN MALIM,6.0,571,8,107,452,567,4,0,BERTAM ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,10.0,279,2,61,213,276,3,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,11.0,551,11,165,366,542,9,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,12.0,573,8,163,400,571,2,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,13.0,569,5,107,455,567,2,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,14.0,553,8,139,403,550,2,1,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,15.0,542,7,124,410,541,1,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,16.0,533,4,140,385,529,4,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,17.0,537,10,131,394,535,2,0,TAMAN ASEAN ,UNDI BIASA
8,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,18.0,556,9,136,407,552,3,1,TAMAN ASEAN ,UNDI BIASA
9,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,1.0,296,3,129,153,285,11,0,KAMPUNG PADANG ,UNDI BIASA
9,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,2.0,459,5,210,236,451,8,0,KAMPUNG PADANG ,UNDI BIASA
9,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,3.0,448,2,174,267,443,5,0,KAMPUNG PADANG ,UNDI BIASA
9,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,4.0,441,2,193,242,437,4,0,KAMPUNG PADANG ,UNDI BIASA
10,138/19/08,SEKOLAH KEBANGSAAN BACHANG,1.0,279,2,115,158,275,4,0,BAKAR BATU ,UNDI BIASA
10,138/19/08,SEKOLAH KEBANGSAAN BACHANG,2.0,594,4,254,329,587,7,0,BAKAR BATU ,UNDI BIASA
10,138/19/08,SEKOLAH KEBANGSAAN BACHANG,3.0,556,9,192,341,542,14,0,BAKAR BATU ,UNDI BIASA
10,138/19/08,SEKOLAH KEBANGSAAN BACHANG,4.0,516,7,233,267,507,9,0,BAKAR BATU ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,1.0,231,6,76,143,225,6,0,LIMBONGAN ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,2.0,526,6,194,316,516,9,1,LIMBONGAN ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,3.0,538,10,185,330,525,13,0,LIMBONGAN ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,4.0,493,3,169,315,487,6,0,LIMBONGAN ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,5.0,495,3,165,323,491,4,0,LIMBONGAN ,UNDI BIASA
11,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,6.0,463,6,159,294,459,4,0,LIMBONGAN ,UNDI BIASA
