Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE KIAT LEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LIM JAK WONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KAMARUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAMIAN BABA YEO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,391,164,0,79,53,296,39,56,UNDI POS,UNDI POS
2,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,1.0,233,46,3,8,168,225,8,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
2,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,2.0,463,98,3,15,341,457,6,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
2,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,3.0,479,73,1,26,376,476,3,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
2,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,4.0,470,88,2,38,340,468,2,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
3,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,1.0,261,82,3,3,170,258,3,0,DURIAN DAUN ,UNDI BIASA
3,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,2.0,501,111,3,19,364,497,4,0,DURIAN DAUN ,UNDI BIASA
3,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,3.0,500,114,5,51,329,499,1,0,DURIAN DAUN ,UNDI BIASA
3,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,4.0,459,87,2,53,316,458,1,0,DURIAN DAUN ,UNDI BIASA
4,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,1.0,287,102,5,28,146,281,6,0,KG PADANG SEMABOK ,UNDI BIASA
4,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,2.0,510,142,8,68,287,505,5,0,KG PADANG SEMABOK ,UNDI BIASA
4,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,3.0,482,78,3,78,320,479,3,0,KG PADANG SEMABOK ,UNDI BIASA
5,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,1.0,267,107,2,36,112,257,10,0,SEMABOK ,UNDI BIASA
5,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,2.0,542,206,3,93,232,534,8,0,SEMABOK ,UNDI BIASA
5,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,3.0,513,192,2,89,230,513,0,0,SEMABOK ,UNDI BIASA
