Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHIN CHOONG SEONG,"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE CHONG LENG, SHAUN",Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TEY KOK KIEW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,139,0,66,39,105,4,30,UNDI POS,UNDI POS
2,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,1.0,315,0,273,37,310,5,0,UNDI AWAL,UNDI AWAL
2,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,2.0,319,1,285,27,313,6,0,UNDI AWAL,UNDI AWAL
3,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,1.0,218,3,32,179,214,4,0,BUNGA RAYA ,UNDI BIASA
3,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,2.0,423,6,47,366,419,4,0,BUNGA RAYA ,UNDI BIASA
3,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,3.0,455,7,32,411,450,5,0,BUNGA RAYA ,UNDI BIASA
3,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,4.0,461,2,24,432,458,3,0,BUNGA RAYA ,UNDI BIASA
4,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,1.0,186,0,36,147,183,3,0,BUKIT CHINA ,UNDI BIASA
4,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,2.0,438,6,71,359,436,2,0,BUKIT CHINA ,UNDI BIASA
4,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,3.0,468,1,57,408,466,1,1,BUKIT CHINA ,UNDI BIASA
4,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,4.0,479,5,70,401,476,3,0,BUKIT CHINA ,UNDI BIASA
4,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,5.0,460,6,77,376,459,1,0,BUKIT CHINA ,UNDI BIASA
5,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,1.0,243,4,46,189,239,3,1,BUKIT GEDONG ,UNDI BIASA
5,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,2.0,448,4,73,368,445,3,0,BUKIT GEDONG ,UNDI BIASA
5,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,3.0,449,0,70,377,447,2,0,BUKIT GEDONG ,UNDI BIASA
5,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,4.0,429,3,45,380,428,1,0,BUKIT GEDONG ,UNDI BIASA
5,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,5.0,445,3,46,396,445,0,0,BUKIT GEDONG ,UNDI BIASA
6,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,1.0,214,3,35,172,210,4,0,BANDAR KABA ,UNDI BIASA
6,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,2.0,522,8,65,446,519,3,0,BANDAR KABA ,UNDI BIASA
6,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,3.0,496,7,88,401,496,0,0,BANDAR KABA ,UNDI BIASA
7,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,1.0,255,3,40,208,251,4,0,BANDAR HILIR TENGAH ,UNDI BIASA
7,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,2.0,517,7,43,467,517,0,0,BANDAR HILIR TENGAH ,UNDI BIASA
7,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,3.0,515,6,30,479,515,0,0,BANDAR HILIR TENGAH ,UNDI BIASA
8,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,1.0,255,6,72,175,253,2,0,LORONG PANJANG ,UNDI BIASA
8,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,2.0,448,2,95,348,445,3,0,LORONG PANJANG ,UNDI BIASA
8,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,3.0,456,1,75,376,452,4,0,LORONG PANJANG ,UNDI BIASA
8,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,4.0,461,2,87,368,457,4,0,LORONG PANJANG ,UNDI BIASA
8,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,5.0,444,2,97,339,438,6,0,LORONG PANJANG ,UNDI BIASA
9,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,1.0,221,1,40,174,215,6,0,KG BANDAR HILIR ,UNDI BIASA
9,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,2.0,406,3,63,334,400,6,0,KG BANDAR HILIR ,UNDI BIASA
9,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,3.0,407,2,46,356,404,2,1,KG BANDAR HILIR ,UNDI BIASA
9,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,4.0,431,6,48,377,431,0,0,KG BANDAR HILIR ,UNDI BIASA
9,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,5.0,397,2,51,341,394,3,0,KG BANDAR HILIR ,UNDI BIASA
10,138/22/08,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 1,1.0,297,2,21,272,295,2,0,MELAKA RAYA ,UNDI BIASA
11,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,7.0,283,4,54,220,278,5,0,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
11,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,8.0,578,4,73,497,574,4,0,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
11,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,9.0,535,6,34,486,526,6,3,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,1.0,194,3,37,152,192,2,0,UJONG PASIR PANTAI ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,2.0,458,3,66,388,457,1,0,UJONG PASIR PANTAI ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,3.0,485,0,40,442,482,3,0,UJONG PASIR PANTAI ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,4.0,479,2,35,442,479,0,0,UJONG PASIR PANTAI ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,5.0,462,3,21,437,461,1,0,UJONG PASIR PANTAI ,UNDI BIASA
12,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,6.0,471,2,19,449,470,1,0,UJONG PASIR PANTAI ,UNDI BIASA
