Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. WONG FORT PIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK KOH CHIN HAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SUHAIMI HARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,396,52,158,73,283,55,58,UNDI POS,UNDI POS
2,139/24/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH JASIN,1.0,307,28,234,42,304,3,0,UNDI AWAL,UNDI AWAL
3,139/24/01,BALAI RAYA DESA KESANG,1.0,290,88,175,22,285,5,0,PONDOK KEMPAS ,UNDI BIASA
3,139/24/01,BALAI RAYA DESA KESANG,2.0,314,137,113,62,312,2,0,PONDOK KEMPAS ,UNDI BIASA
4,139/24/02,SEK. REN. AGAMA (JAIM) FELDA TUN GHAFFAR AYER KANGKONG,1.0,477,165,230,76,471,6,0,AYER KANGKONG ,UNDI BIASA
5,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,1.0,274,84,135,50,269,5,0,KESANG TUA ,UNDI BIASA
5,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,2.0,510,180,228,97,505,5,0,KESANG TUA ,UNDI BIASA
5,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,3.0,486,191,188,99,478,8,0,KESANG TUA ,UNDI BIASA
5,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,4.0,458,198,151,106,455,3,0,KESANG TUA ,UNDI BIASA
5,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,5.0,448,205,150,92,447,1,0,KESANG TUA ,UNDI BIASA
6,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,1.0,317,112,142,62,316,1,0,KESANG JAYA ,UNDI BIASA
6,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,2.0,549,257,171,117,545,4,0,KESANG JAYA ,UNDI BIASA
6,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,3.0,524,234,137,149,520,4,0,KESANG JAYA ,UNDI BIASA
7,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,1.0,239,112,101,20,233,6,0,AYER BAROK ,UNDI BIASA
7,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,2.0,425,185,156,81,422,3,0,AYER BAROK ,UNDI BIASA
7,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,3.0,417,198,139,77,414,3,0,AYER BAROK ,UNDI BIASA
7,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,4.0,395,192,110,91,393,2,0,AYER BAROK ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,1.0,292,133,116,34,283,9,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,2.0,534,255,192,77,524,10,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,3.0,513,274,176,59,509,4,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,4.0,474,276,115,79,470,4,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,5.0,499,286,103,108,497,2,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,6.0,457,266,91,96,453,4,0,TAMAN MAJU ,UNDI BIASA
8,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,7.0,483,279,107,93,479,3,1,TAMAN MAJU ,UNDI BIASA
9,139/24/07,SEKOLAH MENENGAH KEBANGSAAN SERI BEMBAN,1.0,300,120,132,43,295,5,0,AYER PANAS ,UNDI BIASA
9,139/24/07,SEKOLAH MENENGAH KEBANGSAAN SERI BEMBAN,2.0,410,185,133,90,408,2,0,AYER PANAS ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,1.0,289,156,118,9,283,6,0,SERI BEMBAN ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,2.0,577,259,250,52,561,16,0,SERI BEMBAN ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,3.0,575,295,193,81,569,6,0,SERI BEMBAN ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,4.0,551,310,149,87,546,5,0,SERI BEMBAN ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,5.0,522,281,133,105,519,3,0,SERI BEMBAN ,UNDI BIASA
10,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,6.0,525,262,162,99,523,2,0,SERI BEMBAN ,UNDI BIASA
11,139/24/09,SEKOLAH KEBANGSAAN TEHEL,1.0,291,89,155,25,269,22,0,TEHEL ,UNDI BIASA
11,139/24/09,SEKOLAH KEBANGSAAN TEHEL,2.0,538,214,248,72,534,4,0,TEHEL ,UNDI BIASA
11,139/24/09,SEKOLAH KEBANGSAAN TEHEL,3.0,530,219,187,121,527,3,0,TEHEL ,UNDI BIASA
11,139/24/09,SEKOLAH KEBANGSAAN TEHEL,4.0,513,221,175,116,512,1,0,TEHEL ,UNDI BIASA
