Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK ROSLAN BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI YUHAIZAD ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL MALEK BIN YUSOF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,285,149,47,29,225,22,38,UNDI POS,UNDI POS
2,139/27/00,BILIK PENERANGAN BALAI POLIS MERLIMAU,1.0,28,23,4,0,27,1,0,UNDI AWAL,UNDI AWAL
3,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,1.0,311,136,152,15,303,8,0,AYER MERBAU ,UNDI BIASA
3,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,2.0,331,108,178,39,325,6,0,AYER MERBAU ,UNDI BIASA
3,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,3.0,300,84,179,31,294,6,0,AYER MERBAU ,UNDI BIASA
4,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,1.0,294,153,124,10,287,5,2,JASIN LALANG ,UNDI BIASA
4,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,2.0,518,205,265,43,513,5,0,JASIN LALANG ,UNDI BIASA
5,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,1.0,300,149,134,12,295,5,0,MERLIMAU UTARA ,UNDI BIASA
5,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,2.0,406,189,177,35,401,5,0,MERLIMAU UTARA ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,1.0,298,163,120,9,292,6,0,MERLIMAU PASIR ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,2.0,500,213,241,43,497,3,0,MERLIMAU PASIR ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,3.0,498,215,243,38,496,2,0,MERLIMAU PASIR ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,4.0,481,162,274,40,476,5,0,MERLIMAU PASIR ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,5.0,477,157,270,46,473,4,0,MERLIMAU PASIR ,UNDI BIASA
6,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,6.0,456,144,275,33,452,4,0,MERLIMAU PASIR ,UNDI BIASA
7,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,1.0,294,198,65,22,285,9,0,SEMPANG ,UNDI BIASA
7,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,2.0,560,337,134,76,547,13,0,SEMPANG ,UNDI BIASA
7,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,3.0,501,241,153,103,497,3,1,SEMPANG ,UNDI BIASA
7,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,4.0,509,216,206,86,508,1,0,SEMPANG ,UNDI BIASA
8,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,1.0,269,155,97,15,267,2,0,PENGKALAN SAMAK ,UNDI BIASA
8,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,2.0,518,242,233,40,515,3,0,PENGKALAN SAMAK ,UNDI BIASA
8,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,3.0,519,199,253,62,514,5,0,PENGKALAN SAMAK ,UNDI BIASA
8,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,4.0,464,171,242,51,464,0,0,PENGKALAN SAMAK ,UNDI BIASA
8,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,5.0,481,170,263,36,469,11,1,PENGKALAN SAMAK ,UNDI BIASA
9,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,1.0,279,176,82,17,275,4,0,PERMATANG SERAI ,UNDI BIASA
9,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,2.0,520,295,177,45,517,3,0,PERMATANG SERAI ,UNDI BIASA
9,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,3.0,491,244,182,64,490,1,0,PERMATANG SERAI ,UNDI BIASA
9,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,4.0,479,196,198,83,477,2,0,PERMATANG SERAI ,UNDI BIASA
9,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,5.0,482,200,192,85,477,5,0,PERMATANG SERAI ,UNDI BIASA
