Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZALINA ABDUL RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAKARIYA BIN KASNIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,228,34,121,18,173,22,33,UNDI POS,UNDI POS
2,139/28/00,DEWAN SERBAGUNA BALAI POLIS SUNGAI RAMBAI,1.0,18,0,13,3,16,2,0,UNDI AWAL,UNDI AWAL
3,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,1.0,283,88,154,8,250,33,0,SERI MENDAPAT ,UNDI BIASA
3,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,2.0,444,154,234,52,440,4,0,SERI MENDAPAT ,UNDI BIASA
3,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,3.0,431,187,201,40,428,3,0,SERI MENDAPAT ,UNDI BIASA
4,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,1.0,283,85,155,33,273,10,0,BATU GAJAH ,UNDI BIASA
4,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,2.0,435,148,228,54,430,5,0,BATU GAJAH ,UNDI BIASA
4,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,3.0,411,161,169,78,408,3,0,BATU GAJAH ,UNDI BIASA
4,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,4.0,409,172,180,53,405,4,0,BATU GAJAH ,UNDI BIASA
5,139/28/03,SEKOLAH KEBANGSAAN SEBATU,1.0,271,71,167,27,265,6,0,SEBATU ,UNDI BIASA
5,139/28/03,SEKOLAH KEBANGSAAN SEBATU,2.0,555,178,298,70,546,9,0,SEBATU ,UNDI BIASA
5,139/28/03,SEKOLAH KEBANGSAAN SEBATU,3.0,544,178,272,90,540,4,0,SEBATU ,UNDI BIASA
5,139/28/03,SEKOLAH KEBANGSAAN SEBATU,4.0,508,213,205,88,506,2,0,SEBATU ,UNDI BIASA
5,139/28/03,SEKOLAH KEBANGSAAN SEBATU,5.0,488,187,203,97,487,0,1,SEBATU ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,1.0,273,79,160,21,260,13,0,PARIT PUTAT ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,2.0,490,151,290,41,482,8,0,PARIT PUTAT ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,3.0,490,153,269,68,490,0,0,PARIT PUTAT ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,4.0,461,183,192,84,459,2,0,PARIT PUTAT ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,5.0,441,169,210,57,436,5,0,PARIT PUTAT ,UNDI BIASA
6,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,6.0,476,164,237,69,470,6,0,PARIT PUTAT ,UNDI BIASA
7,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,1.0,292,73,193,19,285,7,0,PARIT PERAWAS ,UNDI BIASA
7,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,2.0,493,130,285,66,481,12,0,PARIT PERAWAS ,UNDI BIASA
7,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,3.0,476,170,223,82,475,1,0,PARIT PERAWAS ,UNDI BIASA
7,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,4.0,460,156,210,91,457,3,0,PARIT PERAWAS ,UNDI BIASA
7,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,5.0,454,135,219,96,450,4,0,PARIT PERAWAS ,UNDI BIASA
