Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PROF. MADYA RUSNAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK ZALI MAT YASIN.,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN GURU UST ZULKIFLI ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,2681,437,1373,473,2283,241,157,UNDI POS,UNDI POS
2,136/11/00,BILIK TAKLIMAT BALAI POLIS SUNGAI UDANG,1.0,16,1,14,0,15,1,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK 1,1.0,394,110,195,81,386,8,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK 1,2.0,426,113,197,109,419,7,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK 1,3.0,397,79,226,73,378,19,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,1.0,528,145,271,97,513,14,1,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,2.0,533,101,263,151,515,18,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,3.0,547,118,235,184,537,10,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,4.0,538,101,331,100,532,6,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,5.0,471,95,263,96,454,17,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH KEBANGSAAN KEM TERENDAK II,6.0,468,92,241,115,448,20,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,1.0,330,84,170,70,324,6,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,2.0,316,71,143,88,302,14,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,3.0,322,64,149,105,318,4,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,4.0,309,69,131,103,303,6,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,5.0,331,71,164,85,320,11,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,6.0,371,95,199,66,360,11,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,SEKOLAH MENENGAH KEBANGSAAN KEM TERENDAK,7.0,420,73,249,91,413,7,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,DEWAN BORHAN,1.0,359,104,135,109,348,11,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,DEWAN BORHAN,2.0,373,64,115,189,368,5,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,DEWAN BORHAN,3.0,378,83,148,140,371,7,0,UNDI AWAL ,UNDI AWAL
2,136/11/00,DEWAN BORHAN,4.0,347,77,171,94,342,5,0,UNDI AWAL ,UNDI AWAL
3,136/12/00,BILIK TAKLIMAT BALAI POLIS TANJUNG KLING,1.0,10,1,9,0,10,0,0,UNDI AWAL ,UNDI AWAL
4,136/13/00,BILIK TAKLIMAT BALAI POLIS TANJUNG MINYAK,1.0,25,1,21,3,25,0,0,UNDI AWAL ,UNDI AWAL
5,136/14/00,BILIK TAKLIMAT BALAI POLIS BATANG TIGA,1.0,15,1,14,0,15,0,0,UNDI AWAL ,UNDI AWAL
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,1.0,283,110,136,27,273,10,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,2.0,579,231,282,56,569,10,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,3.0,547,205,233,106,544,3,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,4.0,503,226,160,116,502,1,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,5.0,506,271,148,84,503,3,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,6.0,506,260,159,84,503,3,0,BUKIT TERENDAK ,UNDI BIASA
6,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,7.0,497,250,170,74,494,3,0,BUKIT TERENDAK ,UNDI BIASA
7,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,1.0,280,66,180,28,274,6,0,PEKAN SUNGAI UDANG ,UNDI BIASA
7,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,2.0,529,212,239,73,524,5,0,PEKAN SUNGAI UDANG ,UNDI BIASA
7,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,3.0,501,214,212,74,500,1,0,PEKAN SUNGAI UDANG ,UNDI BIASA
8,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,1.0,304,44,201,52,297,7,0,PAYA RUMPUT JAYA ,UNDI BIASA
8,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,2.0,556,123,275,154,552,4,0,PAYA RUMPUT JAYA ,UNDI BIASA
8,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,3.0,539,203,235,92,530,9,0,PAYA RUMPUT JAYA ,UNDI BIASA
9,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,1.0,297,151,119,10,280,17,0,BERTAM HULU ,UNDI BIASA
9,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,2.0,601,290,244,50,584,17,0,BERTAM HULU ,UNDI BIASA
9,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,3.0,575,318,215,38,571,4,0,BERTAM HULU ,UNDI BIASA
9,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,4.0,546,324,175,43,542,3,1,BERTAM HULU ,UNDI BIASA
9,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,5.0,515,289,172,50,511,4,0,BERTAM HULU ,UNDI BIASA
10,136/12/01,SEKOLAH JENIS KEBANGSAAN (CINA) ST. MARY,1.0,297,207,67,7,281,16,0,AYER SALAK ,UNDI BIASA
10,136/12/01,SEKOLAH JENIS KEBANGSAAN (CINA) ST. MARY,2.0,457,398,47,8,453,4,0,AYER SALAK ,UNDI BIASA
11,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,1.0,292,63,185,29,277,15,0,PAYA LUBOH ,UNDI BIASA
11,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,2.0,487,148,244,67,459,28,0,PAYA LUBOH ,UNDI BIASA
11,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,3.0,459,148,213,90,451,8,0,PAYA LUBOH ,UNDI BIASA
11,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,4.0,411,165,182,60,407,4,0,PAYA LUBOH ,UNDI BIASA
11,136/12/02,SEKOLAH KEBANGSAAN TANGGA BATU,5.0,437,159,217,57,433,4,0,PAYA LUBOH ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,1.0,262,74,141,31,246,16,0,PANTAI PUTERI ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,2.0,556,204,268,67,539,17,0,PANTAI PUTERI ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,3.0,538,196,246,91,533,5,0,PANTAI PUTERI ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,4.0,509,212,210,81,503,6,0,PANTAI PUTERI ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,5.0,477,227,182,63,472,5,0,PANTAI PUTERI ,UNDI BIASA
12,136/12/03,SEKOLAH KEBANGSAAN PANTAI KUNDOR,6.0,479,216,189,69,474,5,0,PANTAI PUTERI ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,1.0,280,62,170,29,261,19,0,KAMPUNG GELAM ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,2.0,525,178,262,76,516,9,0,KAMPUNG GELAM ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,3.0,498,184,226,86,496,2,0,KAMPUNG GELAM ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,4.0,467,209,187,70,466,1,0,KAMPUNG GELAM ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,5.0,460,201,175,83,459,1,0,KAMPUNG GELAM ,UNDI BIASA
13,136/12/04,SEKOLAH KEBANGSAAN KAMPONG GELAM,6.0,473,194,193,82,469,4,0,KAMPUNG GELAM ,UNDI BIASA
14,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,1.0,280,91,136,48,275,5,0,PENGKALAN PERIGI ,UNDI BIASA
14,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,2.0,457,164,192,95,451,6,0,PENGKALAN PERIGI ,UNDI BIASA
14,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,3.0,421,160,189,67,416,5,0,PENGKALAN PERIGI ,UNDI BIASA
14,136/12/05,SEK REN AGAMA ISLAM PENGKALAN PERIGI,4.0,393,152,176,60,388,4,1,PENGKALAN PERIGI ,UNDI BIASA
15,136/12/06,SEKOLAH JENIS KEBANGSAAN (CINA) EK TE,1.0,297,137,133,20,290,7,0,PENGKALAN LANJUT ,UNDI BIASA
15,136/12/06,SEKOLAH JENIS KEBANGSAAN (CINA) EK TE,2.0,548,261,196,89,546,2,0,PENGKALAN LANJUT ,UNDI BIASA
16,136/12/07,SEKOLAH KEBANGSAAN LEREH,1.0,247,117,115,10,242,5,0,SUNGAI LEREH ,UNDI BIASA
16,136/12/07,SEKOLAH KEBANGSAAN LEREH,2.0,454,209,180,50,439,15,0,SUNGAI LEREH ,UNDI BIASA
16,136/12/07,SEKOLAH KEBANGSAAN LEREH,3.0,455,223,176,50,449,6,0,SUNGAI LEREH ,UNDI BIASA
16,136/12/07,SEKOLAH KEBANGSAAN LEREH,4.0,428,222,155,49,426,2,0,SUNGAI LEREH ,UNDI BIASA
16,136/12/07,SEKOLAH KEBANGSAAN LEREH,5.0,420,199,153,65,417,3,0,SUNGAI LEREH ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,1.0,265,120,122,13,255,10,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,2.0,645,362,247,26,635,10,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,3.0,635,349,217,57,623,12,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,4.0,634,389,171,64,624,10,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,5.0,602,395,151,54,600,2,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,6.0,601,432,119,48,599,2,0,HUJONG PADANG ,UNDI BIASA
17,136/13/01,SEKOLAH KEBANGSAAN PAYA RUMPUT,7.0,592,413,129,48,590,2,0,HUJONG PADANG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,1.0,286,115,157,11,283,3,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,2.0,654,305,289,39,633,21,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,3.0,656,338,273,40,651,5,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,4.0,651,312,267,69,648,3,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,5.0,643,335,240,67,642,0,1,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,6.0,641,355,215,64,634,6,1,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,7.0,592,323,214,51,588,4,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,8.0,594,371,179,43,593,1,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,9.0,588,368,168,49,585,3,0,KERUBONG ,UNDI BIASA
18,136/13/02,SEKOLAH KEBANGSAAN KERUBONG,10.0,581,331,191,54,576,5,0,KERUBONG ,UNDI BIASA
19,136/13/03,SEKOLAH KEBANGSAAN CHENG,1.0,286,155,118,10,283,3,0,PANTAI CHENG ,UNDI BIASA
19,136/13/03,SEKOLAH KEBANGSAAN CHENG,2.0,515,308,164,30,502,13,0,PANTAI CHENG ,UNDI BIASA
19,136/13/03,SEKOLAH KEBANGSAAN CHENG,3.0,508,350,118,36,504,4,0,PANTAI CHENG ,UNDI BIASA
19,136/13/03,SEKOLAH KEBANGSAAN CHENG,4.0,491,369,99,20,488,3,0,PANTAI CHENG ,UNDI BIASA
19,136/13/03,SEKOLAH KEBANGSAAN CHENG,5.0,470,367,81,21,469,1,0,PANTAI CHENG ,UNDI BIASA
20,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,1.0,307,168,114,19,301,6,0,CHENG PERDANA ,UNDI BIASA
20,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,2.0,561,300,197,60,557,4,0,CHENG PERDANA ,UNDI BIASA
20,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,3.0,521,378,92,51,521,0,0,CHENG PERDANA ,UNDI BIASA
20,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,4.0,498,331,107,59,497,1,0,CHENG PERDANA ,UNDI BIASA
20,136/13/04,SEKOLAH KEBANGSAAN TANJUNG MINYAK,5.0,514,336,126,48,510,3,1,CHENG PERDANA ,UNDI BIASA
21,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,1.0,291,164,101,14,279,12,0,CHENG ,UNDI BIASA
21,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,2.0,564,346,168,49,563,1,0,CHENG ,UNDI BIASA
21,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,3.0,531,344,122,62,528,3,0,CHENG ,UNDI BIASA
21,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,4.0,520,316,167,37,520,0,0,CHENG ,UNDI BIASA
21,136/13/05,SEKOLAH MENENGAH KEBANGSAAN TUN HAJI ABDUL MALEK,5.0,504,301,149,53,503,1,0,CHENG ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,1.0,294,146,125,14,285,9,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,2.0,628,245,324,52,621,7,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,3.0,634,255,283,92,630,4,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,4.0,618,256,268,90,614,4,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,5.0,589,327,198,64,589,0,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,6.0,561,341,160,56,557,2,2,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,7.0,540,332,159,45,536,4,0,TANJUNG MINYAK ,UNDI BIASA
22,136/13/06,SEKOLAH KEBANGSAAN TANJUNG MINYAK 2,8.0,565,284,215,64,563,2,0,TANJUNG MINYAK ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,1.0,306,115,145,36,296,10,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,2.0,570,208,300,54,562,8,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,3.0,537,226,237,71,534,3,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,4.0,523,239,196,87,522,1,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,5.0,501,190,169,141,500,1,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,6.0,496,263,162,69,494,2,0,SEBERANG GAJAH ,UNDI BIASA
23,136/14/01,SEKOLAH KEBANGSAAN TAMAN BUKIT RAMBAI,7.0,478,222,165,84,471,7,0,SEBERANG GAJAH ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,1.0,266,91,153,14,258,8,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,2.0,564,192,329,29,550,14,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,3.0,554,251,252,48,551,3,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,4.0,558,286,205,63,554,4,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,5.0,521,248,222,49,519,2,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,6.0,509,232,230,45,507,2,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,7.0,488,242,207,36,485,3,0,BUKIT RAMBAI ,UNDI BIASA
24,136/14/02,SEKOLAH KEBANGSAAN BUKIT RAMBAI,8.0,464,205,200,51,456,8,0,BUKIT RAMBAI ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,1.0,268,132,112,14,258,10,0,KAMPUNG PINANG ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,2.0,542,276,231,33,540,2,0,KAMPUNG PINANG ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,3.0,534,277,204,51,532,2,0,KAMPUNG PINANG ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,4.0,499,300,141,56,497,2,0,KAMPUNG PINANG ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,5.0,491,272,168,50,490,1,0,KAMPUNG PINANG ,UNDI BIASA
25,136/14/03,SEKOLAH MENENGAH KEBANGSAAN KLEBANG BESAR,6.0,481,253,173,51,477,3,1,KAMPUNG PINANG ,UNDI BIASA
26,136/14/04,BALAI RAYA PERSIARAN BALIK BULUH,1.0,271,119,132,11,262,9,0,KELEBANG BESAR ,UNDI BIASA
26,136/14/04,BALAI RAYA PERSIARAN BALIK BULUH,2.0,467,288,150,26,464,3,0,KELEBANG BESAR ,UNDI BIASA
26,136/14/04,BALAI RAYA PERSIARAN BALIK BULUH,3.0,454,281,140,32,453,1,0,KELEBANG BESAR ,UNDI BIASA
26,136/14/04,BALAI RAYA PERSIARAN BALIK BULUH,4.0,451,267,137,44,448,3,0,KELEBANG BESAR ,UNDI BIASA
27,136/14/05,SEK REN AGAMA (JAIM) KLEBANG BESAR (KHATIB HJ ABD HAMID),1.0,296,139,133,12,284,12,0,PULAU GADONG ,UNDI BIASA
27,136/14/05,SEK REN AGAMA (JAIM) KLEBANG BESAR (KHATIB HJ ABD HAMID),2.0,582,334,194,47,575,7,0,PULAU GADONG ,UNDI BIASA
27,136/14/05,SEK REN AGAMA (JAIM) KLEBANG BESAR (KHATIB HJ ABD HAMID),3.0,582,332,208,41,581,1,0,PULAU GADONG ,UNDI BIASA
27,136/14/05,SEK REN AGAMA (JAIM) KLEBANG BESAR (KHATIB HJ ABD HAMID),4.0,555,291,203,58,552,3,0,PULAU GADONG ,UNDI BIASA
28,136/14/06,SEKOLAH KEBANGSAAN KELEBANG BESAR,1.0,228,153,67,6,226,2,0,PEKAN KELEBANG BESAR ,UNDI BIASA
28,136/14/06,SEKOLAH KEBANGSAAN KELEBANG BESAR,2.0,415,263,128,16,407,8,0,PEKAN KELEBANG BESAR ,UNDI BIASA
28,136/14/06,SEKOLAH KEBANGSAAN KELEBANG BESAR,3.0,417,312,75,30,417,0,0,PEKAN KELEBANG BESAR ,UNDI BIASA
29,136/14/07,SEKOLAH JENIS JEN KEBANGSAAN (CINA) LIH,1.0,262,157,90,5,252,10,0,KELEBANG KECHIL ,UNDI BIASA
29,136/14/07,SEKOLAH JENIS JEN KEBANGSAAN (CINA) LIH,2.0,542,383,143,8,534,8,0,KELEBANG KECHIL ,UNDI BIASA
29,136/14/07,SEKOLAH JENIS JEN KEBANGSAAN (CINA) LIH,3.0,561,355,166,35,556,5,0,KELEBANG KECHIL ,UNDI BIASA
