Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1667,853,393,14,1260,60,347,UNDI POS,UNDI POS
2,138/19/00,BILIK BERTEMU PELANGGAN BALAI POLIS MALIM,1.0,32,26,4,1,31,1,0,UNDI AWAL ,UNDI AWAL
3,138/20/00,BILIK MESYUARAT BALAI POLIS TENGKERA,1.0,24,22,2,0,24,0,0,UNDI AWAL ,UNDI AWAL
4,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,1.0,315,276,36,1,313,2,0,UNDI AWAL ,UNDI AWAL
4,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,2.0,319,282,31,1,314,5,0,UNDI AWAL ,UNDI AWAL
5,138/23/00,BILIK GERAKAN BALAI POLIS KANDANG,1.0,16,11,3,0,14,2,0,UNDI AWAL ,UNDI AWAL
6,138/19/01,BALAI RAYA TAMAN MERDEKA,1.0,321,138,176,2,316,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,2.0,554,192,357,2,551,3,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,3.0,536,106,422,5,533,2,1,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,4.0,523,112,404,3,519,4,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,5.0,490,112,367,6,485,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,6.0,496,90,399,0,489,7,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,7.0,528,93,425,5,523,2,3,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,1.0,322,101,212,4,317,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,2.0,532,142,374,7,523,9,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,3.0,523,116,396,6,518,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,4.0,486,86,398,1,485,1,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,5.0,469,123,344,2,469,0,0,TAMAN MERDEKA ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,1.0,270,65,190,8,263,6,1,BATU BERENDAM ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,2.0,546,133,405,3,541,5,0,BATU BERENDAM ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,3.0,562,119,429,7,555,6,1,BATU BERENDAM ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,4.0,545,97,442,5,544,1,0,BATU BERENDAM ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,5.0,534,104,424,5,533,1,0,BATU BERENDAM ,UNDI BIASA
7,138/19/02,SEKOLAH KEBANGSAAN BATU BERENDAM,6.0,522,113,404,2,519,3,0,BATU BERENDAM ,UNDI BIASA
8,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,1.0,277,74,193,5,272,5,0,TAMAN MELAKA BARU ,UNDI BIASA
8,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,2.0,546,113,424,2,539,7,0,TAMAN MELAKA BARU ,UNDI BIASA
8,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,3.0,547,115,418,5,538,9,0,TAMAN MELAKA BARU ,UNDI BIASA
8,138/19/03,SEKOLAH KEBANGSAAN BATU BERENDAM 2,4.0,543,101,433,6,540,3,0,TAMAN MELAKA BARU ,UNDI BIASA
