Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KARIM SHAHIMI BIN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD RAZI BIN MOHD ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAINAL FIKRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,526,37,353,47,437,4,85,UNDI POS,UNDI POS
2,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,1.0,375,21,340,12,373,2,0,UNDI AWAL ,UNDI AWAL
2,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,2.0,361,23,323,10,356,4,1,UNDI AWAL ,UNDI AWAL
2,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,3.0,410,7,380,9,396,14,0,UNDI AWAL ,UNDI AWAL
3,126/03/01,SEKOLAH KEBANGSAAN SUNGAI LUI,1.0,280,15,152,101,268,12,0,SUNGAI LUI ,UNDI BIASA
3,126/03/01,SEKOLAH KEBANGSAAN SUNGAI LUI,2.0,450,26,235,178,439,11,0,SUNGAI LUI ,UNDI BIASA
4,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,1.0,312,39,210,59,308,4,0,LUI TIMUR ,UNDI BIASA
4,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,2.0,471,50,309,103,462,9,0,LUI TIMUR ,UNDI BIASA
4,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,3.0,404,62,199,136,397,6,1,LUI TIMUR ,UNDI BIASA
4,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,4.0,408,64,203,138,405,3,0,LUI TIMUR ,UNDI BIASA
