Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD RAHMAN RAMLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ SHAMSHULKAHAR BIN HJ MOHD DELI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AL ZUKRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,505,62,269,39,370,34,101,UNDI POS,UNDI POS
2,127/05/00,DEWAN SERBAGUNA IPD JEMPOL BILIK A,1.0,247,17,203,23,243,4,0,UNDI AWAL,UNDI AWAL
3,127/05/01,SEKOLAH KEBANGSAAN SERTING ULU,1.0,284,52,180,45,277,7,0,SERTING ULU ,UNDI BIASA
3,127/05/01,SEKOLAH KEBANGSAAN SERTING ULU,2.0,384,94,202,85,381,3,0,SERTING ULU ,UNDI BIASA
4,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,1.0,288,38,205,39,282,6,0,KAMPONG SERTING TENGAH ,UNDI BIASA
4,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,2.0,317,83,186,45,314,3,0,KAMPONG SERTING TENGAH ,UNDI BIASA
4,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,3.0,298,80,170,45,295,3,0,KAMPONG SERTING TENGAH ,UNDI BIASA
5,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,1.0,266,43,171,36,250,16,0,KAMPUNG SERTING ILIR ,UNDI BIASA
5,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,2.0,506,139,277,86,502,4,0,KAMPUNG SERTING ILIR ,UNDI BIASA
5,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,3.0,478,173,192,110,475,3,0,KAMPUNG SERTING ILIR ,UNDI BIASA
5,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,4.0,469,176,185,107,468,1,0,KAMPUNG SERTING ILIR ,UNDI BIASA
6,127/05/04,SEKOLAH KEBANGSAAN TUNKU MUDA SERTING,1.0,152,122,20,7,149,3,0,LUBOK GADONG ,UNDI BIASA
7,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,1.0,272,163,88,10,261,11,0,MAHSAN JAYA ,UNDI BIASA
7,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,2.0,514,373,120,12,505,9,0,MAHSAN JAYA ,UNDI BIASA
7,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,3.0,492,402,70,11,483,9,0,MAHSAN JAYA ,UNDI BIASA
7,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,4.0,479,401,62,12,475,4,0,MAHSAN JAYA ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,1.0,323,48,231,27,306,17,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,2.0,562,82,413,51,546,16,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,3.0,553,90,389,46,525,28,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,4.0,467,105,299,62,466,1,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,5.0,456,118,267,70,455,1,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,6.0,460,121,270,66,457,3,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,7.0,466,131,253,73,457,9,0,FELDA RAJA ALIAS ,UNDI BIASA
8,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,8.0,460,111,275,62,448,12,0,FELDA RAJA ALIAS ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,1.0,322,52,245,19,316,6,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,2.0,567,135,364,41,540,27,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,3.0,567,95,424,40,559,6,2,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,4.0,510,108,368,30,506,4,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,5.0,425,143,238,43,424,0,1,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,6.0,451,141,258,46,445,6,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,7.0,445,131,274,37,442,3,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
9,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,8.0,469,111,290,58,459,10,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
10,127/05/08,SEKOLAH JENIS KEBANGSAAN (TAMIL & TELUGU) LADANG GEDDES,1.0,239,170,59,3,232,7,0,KAMPONG GEDDES ,UNDI BIASA
11,127/05/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,1.0,218,121,85,2,208,10,0,KAMPONG GEDDES TENGAH ,UNDI BIASA
11,127/05/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,2.0,416,299,103,6,408,8,0,KAMPONG GEDDES TENGAH ,UNDI BIASA
11,127/05/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,3.0,394,337,55,0,392,2,0,KAMPONG GEDDES TENGAH ,UNDI BIASA
12,127/05/10,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SG SEBALING,1.0,91,50,39,1,90,1,0,LADANG SUNGAI SEBALING ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,1.0,326,52,246,22,320,4,2,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,2.0,559,135,368,48,551,8,0,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,3.0,524,116,355,49,520,4,0,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,4.0,474,138,278,57,473,1,0,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,5.0,448,141,257,46,444,4,0,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,6.0,464,160,239,64,463,1,0,BANDAR SERI JEMPOL ,UNDI BIASA
13,127/05/11,SEKOLAH KEBANGSAAN (FELDA) BANDAR BARU SERTING,7.0,456,155,240,56,451,5,0,BANDAR SERI JEMPOL ,UNDI BIASA
